date,year,coach,opposition,tournament,test,h / a,ireland irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,2016,js,canada,,,h,,,,,w,,,,healy,cronin,bealham,dillane,"holland, b",o'mahony,o'brien,o'donoghue,marmion,jackson,earls,marshall,ringrose,gilroy,o'halloran,,,,,,,,
,2016,js,nz,,,h,,,,,l,,,,mcgrath,best,furlong,"ryan, d",toner,stander,o'brien,heaslip,murray,sexton,zebo,henshaw,payne,trimble,kearney,,,,,,,,
,2016,js,australia,,,h,,,,,w,,,,mcgrath,best,furlong,henderson,toner,stander,van der flier,heaslip,murray,jackson,earls,ringrose,payne,trimble,kearney,,,,,,,,
,2017,js,scotland,,,a,,,,,l,,,,mcgrath,best,furlong,henderson,toner,stander,o'brien,heaslip,murray,jackson,zebo,henshaw,ringrose,earls,kearney,,,,,,,,
,2017,js,italy,,,a,,,,,w,,,,healy,"scannell, n",furlong,"ryan, d",toner,stander,o'brien,heaslip,murray,jackson,zebo,henshaw,ringrose,earls,kearney,,,,,,,,
,2017,js,france,,,h,,,,,w,,,,mcgrath,best,furlong,"ryan, d",toner,stander,o'brien,heaslip,murray,sexton,zebo,henshaw,ringrose,earls,kearney,,,,,,,,
,2017,js,wales,,,a,,,,,l,,,,mcgrath,best,furlong,"ryan, d",toner,stander,o'brien,heaslip,murray,sexton,zebo,henshaw,ringrose,earls,kearney,,,,,,,,
,2017,js,england,,,h,,,,,w,,,,mcgrath,best,furlong,"ryan, d",henderson,o'mahony,o'brien,stander,marmion,sexton,zebo,henshaw,ringrose,earls,payne,,,,,,,,
,2017,js,usa,,,a,,,,,w,,,,healy,"scannell, n","ryan, j",roux,toner,ruddock,van der flier,conan,marmion,carbery,stockdale,marshall,ringrose,earls,o'halloran,,,,,,,,
,2017,js,japan,,,a,,,,,w,,,,healy,"scannell, n","ryan, j",roux,toner,ruddock,leavy,conan,mcgrath,jackson,earls,"scannell, r",ringrose,conway,zebo,,,,,,,,
,2017,js,japan,,,a,,,,,w,,,,healy,tracy,"ryan, j",treadwell,toner,ruddock,van der flier,conan,marmion,jackson,stockdale,marshall,ringrose,earls,conway,,,,,,,,
,2017,js,sa,,,h,,,,,w,,,,healy,best,furlong,henderson,toner,o'mahony,o'brien,stander,murray,sexton,stockdale,aki,henshaw,conway,kearney,,,,,,,,
,2017,js,fiji,,,h,,,,,w,,,,mcgrath,herring,porter,dillane,toner,ruddock,"murphy, j",conan,marmion,carbery,"kearney, d",mccloskey,farrell,sweetnam,conway,,,,,,,,
,2017,js,argentina,,,h,,,,,w,,,,healy,best,furlong,ryan,henderson,o'mahony,o'brien,stander,murray,sexton,stockdale,aki,farrell,"byrne, a",kearney,,,,,,,,
,2018,js,france,,,a,,,,,w,,,,healy,best,furlong,henderson,ryan,o'mahony,van der flier,stander,murray,sexton,stockdale,aki,henshaw,earls,kearney,,,,,,,,
,2018,js,italy,,,h,,,,,w,,,,mcgrath,best,furlong,henderson,toner,o'mahony,leavy,conan,murray,sexton,stockdale,aki,henshaw,earls,kearney,,,,,,,,
,2018,js,wales,,,h,,,,,w,,,,healy,best,porter,ryan,toner,o'mahony,leavy,stander,murray,sexton,stockdale,aki,farrell,earls,kearney,,,,,,,,
,2018,js,scotland,,,h,,,,,w,,,,healy,best,furlong,ryan,toner,o'mahony,leavy,stander,murray,sexton,stockdale,aki,ringrose,earls,kearney,,,,,,,,
,2018,js,england,,,a,,,,,w,,,,healy,best,furlong,ryan,henderson,o'mahony,leavy,stander,murray,sexton,stockdale,aki,ringrose,earls,kearney,,,,,,,,
,2018,js,australia,,,a,,,,,l,,,,mcgrath,herring,"ryan, j",henderson,ryan,o'mahony,"murphy, j",stander,murray,carbery,stockdale,aki,henshaw,earls,kearney,,,,,,,,
,2018,js,australia,,,a,,,,,w,,,,healy,"scannell, n",furlong,toner,ryan,o'mahony,leavy,stander,murray,sexton,earls,henshaw,ringrose,conway,kearney,,,,,,,,
,2018,js,australia,,,a,,,,,w,,,,mcgrath,"scannell, n",furlong,toner,ryan,stander,o'mahony,conan,murray,sexton,stockdale,aki,henshaw,earls,kearney,,,,,,,,
01/02/2020,2020,af,scotland,6n,yes,h,5,9,4,,w,19,12,7,healy,herring,furlong,henderson,ryan,stander,van der flier,doris,murray,sexton,stockdale,aki,ringrose,conway,larmour,kelleher,kilcoyne,porter,toner,o'mahony,cooney,"byrne, r",henshaw
08/02/2020,2020,af,wales,6n,yes,h,5,4,-1,,w,24,14,10,healy,herring,furlong,henderson,ryan,o'mahony,van der flier,stander,murray,sexton,stockdale,aki,henshaw,conway,larmour,kelleher,kilcoyne,porter,toner,deegan,cooney,"byrne, r",earls
23/02/2020,2020,af,england,6n,yes,a,4,3,-1,,l,12,24,-12,healy,herring,furlong,toner,ryan,o'mahony,van der flier,stander,murray,sexton,stockdale,aki,henshaw,conway,larmour,kelleher,kilcoyne,porter,dillane,doris,cooney,"byrne, r",earls
24/10/2020,2020,af,italy,,yes,h,4,14,10,,w,50,17,33,healy,herring,porter,beirne,ryan,doris,connors,stander,murray,sexton,keenan,aki,ringrose,conway,stockdale,heffernan,"byrne, e",bealham,dillane,o'mahony,gibson-park,"byrne, r",henshaw
31/10/2020,2020,af,france,,yes,a,4,5,1,,l,27,35,-8,healy,herring,porter,beirne,ryan,doris,connors,stander,murray,sexton,keenan,aki,henshaw,conway,stockdale,heffernan,"byrne, e",bealham,dillane,o'mahony,gibson-park,"byrne, r","farrell, c"
