date,year,coach,opposition,tournament,test,h / a,ireland irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
16/07/2022,2022,af,nz,tour,yes,a,2,4,2,,w,32,22,10,porter,sheehan,furlong,beirne,ryan,o'mahony,van der flier,doris,gibson-park,sexton,lowe,aki,ringrose,hansen,keenan,herring,healy,bealham,treadwall,conan,murray,carbery,earls
05/11/2022,2022,af,sa,eoyt,yes,h,1,3,2,,w,19,16,3,porter,sheehan,furlong,beirne,ryan,o'mahony,van der flier,doris,murray,sexton,hansen,mccloskey,ringrose,baloucoune,keenan,herring,healy,bealham,treadwall,conan,gibson-park,carbery,"o'brien, j"
12/11/2022,2022,af,fiji,eoyt,yes,h,1,11,10,,w,35,17,18,loughman,herring,furlong,beirne,treadwell,doris,timoney,conan,gibson-park,carbery,hansen,mccloskey,henshaw,baloucoune,"o'brien, j",sheehan,healy,o'toole,"prendergast, c",conan,casey,crowley,ringrose
19/11/2022,2022,af,australia,eoyt,yes,h,1,7,6,,w,13,10,3,porter,sheehan,furlong,beirne,ryan,o'mahony,van der flier,doris,gibson-park,crowley,"o'brien, j",mccloskey,ringrose,hansen,keenan,herring,healy,bealham,"mccarthy, j",,casey,"byrne, r",aki
04/02/2023,2023,af,wales,6n,yes,a,1,9,8,,w,34,10,24,porter,sheehan,bealham,beirne,ryan,o'mahony,van der flier,doris,murray,sexton,lowe,mccloskey,ringrose,hansen,keenan,herring,healy,o'toole,henderson,conan,casey,"byrne, r",aki
11/02/2023,2023,af,france,6n,yes,h,1,2,1,,w,32,19,13,porter,herring,bealham,beirne,ryan,o'mahony,van der flier,doris,murray,sexton,lowe,mccloskey,ringrose,hansen,keenan,kelleher,kilcoyne,o'toole,henderson,conan,casey,"byrne, r",aki
25/02/2023,2023,af,italy,6n,yes,a,1,13,12,,w,34,20,14,porter,kelleher,bealham,henderson,ryan,doris,van der flier,conan,casey,"byrne, r",lowe,aki,ringrose,hansen,keenan,sheehan,kilcoyne,o'toole,baird,o'mahony,murray,crawley,"o'brien, j"
12/03/2023,2023,af,scotland,6n,yes,a,1,5,4,,w,22,7,15,porter,sheehan,furlong,henderson,ryan,o'mahony,van der flier,doris,murray,sexton,lowe,aki,ringrose,hansen,keenan,kelleher,healy,o'toole,baird,conan,gibson-park,"byrne, r",henshaw
18/03/2023,2023,af,england,6n,yes,h,1,6,5,,w,29,16,13,porter,sheehan,furlong,baird,ryan,o'mahony,van der flier,doris,gibson-park,sexton,lowe,aki,henshaw,hansen,keenan,herring,healy,o'toole,treadwell,conan,murray,"byrne, r","o'brien, j"
05/08/2023,2023,af,italy,friendly,yes,h,1,14,13,,w,33,17,16,kilcoyne,herring,o'toole,henderson,"mccarthy, j",baird,doris,conan,casey,crowley,stockdale,mccloskey,henshaw,earls,"o'brien, j",stewart,healy,furlong,beirne,"prendergast, c",blade,frawley,nash
19/08/2023,2023,af,england,friendly,yes,h,1,6,5,,w,29,10,19,porter,sheehan,furlong,beirne,ryan,o'mahony,van der flier,"prendergast, c",gibson-park,"byrne, r",lowe,aki,ringrose,hansen,keenan,herring,loughman,bealham,"mccarthy, j",doris,murray,crowley,earls
26/08/2023,2023,af,samoa,friendly,yes,h,1,12,11,,w,17,13,4,healy,stewart,bealham,henderson,beirne,baird,van der flier,doris,murray,crowley,earls,mccloskey,henshaw,hansen,"o'brien, j",herring,loughman,o'toole,ryan,o'mahony,casey,"byrne, r",ringrose
09/09/2023,2023,af,romania,wc,yes,n,1,19,18,,w,82,8,74,porter,herring,furlong,"mccarthy, j",ryan,beirne,o'mahony,doris,gibson-park,sexton,lowe,aki,ringrose,earls,keenan,kelleher,loughman,o'toole,henderson,van der flier,murray,crowley,hansen
16/09/2023,2023,af,tonga,wc,yes,n,1,15,14,,w,59,16,43,porter,kelleher,furlong,beirne,ryan,o'mahony,van der flier,doris,murray,sexton,lowe,aki,ringrose,hansen,keenan,herring,kilcoyne,bealham,henderson,baird,casey,"byrne, r",henshaw
23/09/2023,2023,af,sa,wc,yes,n,1,2,1,,w,13,8,5,porter,kelleher,furlong,beirne,ryan,o'mahony,van der flier,doris,gibson-park,sexton,lowe,aki,ringrose,hansen,keenan,sheehan,kilcoyne,bealham,henderson,baird,murray,crowley,henshaw
07/10/2023,2023,af,scotland,wc,yes,n,1,5,4,,w,36,14,22,porter,sheehan,furlong,beirne,henderson,o'mahony,van der flier,doris,gibson-park,sexton,lowe,aki,ringrose,hansen,keenan,kelleher,kilcoyne,bealham,ryan,conan,murray,crowley,mccloskey
14/10/2023,2023,af,nz,wc,yes,n,1,4,3,,l,28,24,4,porter,sheehan,furlong,beirne,henderson,o'mahony,van der flier,doris,gibson-park,sexton,lowe,aki,ringrose,hansen,keenan,kelleher,kilcoyne,bealham,"mccarthy, j",conan,murray,crowley,"o'brien, j"
02/02/2024,2024,af,france,6n,yes,a,2,4,2,,w,38,17,21,porter,sheehan,furlong,"mccarthy, j",beirne,o'mahony,van der flier,doris,gibson-park,crowley,lowe,aki,henshaw,nash,keenan,kelleher,healy,bealham,ryan,baird,conan,murray,frawley
11/02/2024,2024,af,italy,6n,yes,h,2,11,9,,w,36,0,36,porter,sheehan,bealham,"mccarthy, j",ryan,baird,doris,conan,casey,crowley,lowe,mccloskey,henshaw,nash,keenan,kelleher,loughman,o'toole,henderson,van der flier,gibson-park,"byrne, h",larmour
24/02/2024,2024,af,wales,6n,yes,h,2,8,6,,w,31,7,24,porter,sheehan,furlong,"mccarthy, j",beirne,o'mahony,van der flier,doris,gibson-park,crowley,lowe,aki,henshaw,nash,frawley,kelleher,healy,jager,ryan,baird,conan,murray,mccloskey
09/03/2024,2024,af,england,6n,yes,a,2,5,3,,l,22,23,-1,porter,sheehan,furlong,"mccarthy, j",beirne,o'mahony,van der flier,doris,gibson-park,crowley,lowe,aki,henshaw,nash,keenan,kelleher,healy,bealham,henderson,baird,conan,murray,frawley
16/03/2024,2024,af,scotland,6n,yes,h,2,6,4,,w,17,13,4,porter,sheehan,furlong,"mccarthy, j",beirne,o'mahony,van der flier,doris,gibson-park,crowley,lowe,aki,henshaw,nash,keenan,kelleher,healy,bealham,baird,conan,murray,"byrne, h",ringrose
06/07/2024,2024,af,sa,tour,yes,a,2,1,-1,,l,20,27,-7,porter,sheehan,furlong,"mccarthy, j",beirne,o'mahony,van der flier,doris,casey,crowley,lowe,aki,henshaw,nash,osborne,kelleher,healy,bealham,ryan,baird,murray,frawley,ringrose
13/07/2024,2024,af,sa,tour,yes,a,2,1,-1,,w,25,24,1,porter,kelleher,furlong,"mccarthy, j",ryan,beirne,van der flier,doris,murray,crowley,lowe,henshaw,ringrose,nash,osborne,herring,healy,bealham,baird,o'mahony,blade,frawley,mccloskey
08/11/2024,2024,af,nz,eoyt,yes,h,1,3,2,,l,13,23,-10,porter,kelleher,bealham,"mccarthy, j",ryan,beirne,van der flier,doris,gibson-park,crowley,lowe,aki,ringrose,hansen,keenan,herring,healy,o'toole,henderson,o'mahony,murray,frawley,osborne
15/11/2024,2024,af,argentina,eoyt,yes,h,3,5,2,,w,22,19,3,porter,kelleher,bealham,"mccarthy, j",ryan,beirne,van der flier,doris,gibson-park,crowley,lowe,henshaw,ringrose,hansen,keenan,herring,healy,clarkson,baird,o'mahony,casey,"prendergast, s",osborne
23/11/2024,2024,af,fiji,eoyt,yes,h,2,9,7,,w,52,17,35,porter,"mccarthy, g",bealham,"mccarthy, j",beirne,izuchukwu,van der flier,doris,casey,"prendergast, s",stockdale,aki,henshaw,hansen,osborne,kelleher,o'toole,clarkson,henderson,"prendergast, c",murray,frawley,mccloskey
30/11/2024,2024,af,australia,eoyt,yes,h,2,8,6,,w,22,19,3,porter,kelleher,bealham,"mccarthy, j",ryan,beirne,van der flier,doris,gibson-park,"prendergast, s",lowe,aki,henshaw,hansen,keenan,"mccarthy, g",healy,o'toole,henderson,o'mahony,casey,crowley,ringrose
01/02/2025,2025,se,england,6n,yes,h,2,7,5,,w,27,22,5,porter,kelleher,bealham,ryan,beirne,baird,van der flier,doris,gibson-park,"prendergast, s",lowe,aki,ringrose,hansen,keenan,sheehan,healy,clarkson,henderson,conan,murray,crowley,henshaw
09/02/2025,2025,se,scotland,6n,yes,a,2,6,4,,w,32,18,14,porter,kelleher,bealham,ryan,beirne,o'mahony,van der flier,doris,gibson-park,"prendergast, s",lowe,aki,henshaw,nash,keenan,sheehan,healy,clarkson,baird,conan,murray,crowley,ringrose
22/02/2025,2025,se,wales,6n,yes,a,2,12,10,,w,27,18,9,porter,sheehan,clarkson,"mccarthy, j",beirne,o'mahony,van der flier,doris,gibson-park,"prendergast, s",lowe,henshaw,ringrose,hansen,osborne,"mccarthy, g",boyle,bealham,ryan,baird,murray,crowley,aki
08/03/2025,2025,se,france,6n,yes,h,2,4,2,,l,27,42,-15,porter,sheehan,bealham,"mccarthy, j",beirne,o'mahony,van der flier,doris,gibson-park,"prendergast, s",lowe,aki,henshaw,osborne,keenan,herring,healy,clarkson,ryan,conan,baird,murray,crowley
15/03/2025,2025,se,italy,6n,yes,a,3,10,7,,w,22,17,5,porter,sheehan,bealham,ryan,beirne,conan,van der flier,doris,gibson-park,crowley,lowe,henshaw,ringrose,hansen,keenan,"mccarthy, g",boyle,furlong,"mccarthy, j",o'mahony,murray,"prendergast, s",aki
05/07/2025,2025,poc,georgia,tour,yes,a,3,11,8,,w,34,5,29,boyle,"mccarthy, g",clarkson,izuchukwu,"murray, d",baird,timoney,coombes,casey,"prendergast, s",stockdale,mccloskey,osborne,"o'brien, t","o'brien, j",stewart,milne,aungier,ahern,deegan,"murphy, b",crowley,nash
12/07/2025,2025,poc,portugal,tour,yes,a,3,18,15,,w,106,7,99,boyle,"mccarthy, g",clarkson,ahern,"murray, d",baird,kendellen,"prendergast, c",casey,crowley,bolton,mccloskey,osborne,"o'brien, t","o'brien, j",stewart,milne,o'toole,izuchukwu,deegan,"murphy, b",frawley,gavin
01/11/2025,2025,af,nz,eoyt,yes,n,3,2,-1,,l,13,26,-13,porter,sheehan,furlong,ryan,beirne,baird,van der flier,conan,gibson-park,crowley,lowe,mccloskey,ringrose,"o'brien, t",osborne,kelleher,"mccarthy, p",bealham,henderson,doris,casey,"prendergast, s",aki
08/11/2025,2025,af,japan,eoyt,yes,h,3,13,10,,w,41,10,31,porter,kelleher,clarkson,ryan,beirne,baird,timoney,doris,casey,crowley,stockdale,henshaw,"farrell, t","o'brien, t",osborne,"mccarthy, g","mccarthy, p",bealham,"prendergast, c",conan,blade,"prendergast, s","o'brien, j"
15/11/2025,2025,af,australia,eoyt,yes,h,3,7,4,,w,46,19,27,"mccarthy, p",sheehan,furlong,ryan,beirne,baird,doris,conan,gibson-park,"prendergast, s",lowe,mccloskey,henshaw,"o'brien, t",hansen,kelleher,porter,clarkson,"prendergast, c",timoney,casey,crowley,aki
22/11/2025,2025,af,sa,eoyt,yes,h,4,1,-3,,l,13,24,-11,porter,sheehan,furlong,ryan,beirne,baird,van der flier,doris,gibson-park,"prendergast, s",lowe,aki,ringrose,"o'brien, t",hansen,kelleher,"mccarthy, p",bealham,"prendergast, c",conan,casey,crowley,"farrell, t"
05/02/2026,2026,af,france,6n,yes,a,4,5,1,,l,14,36,-22,loughman,sheehan,clarkson,"mccarthy, j",beirne,"prendergast, c",van der flier,doris,gibson-park,"prendergast, s",stockdale,mccloskey,ringrose,"o'brien, t",osborne,kelleher,milne,bealham,ryan,conan,timoney,casey,crowley
14/02/2026,2026,af,italy,6n,yes,h,5,9,4,,w,20,13,7,loughman,sheehan,clarkson,"mccarthy, j",ryan,izuchukwu,doris,conan,casey,"prendergast, s",lowe,mccloskey,ringrose,baloucoune,osborne,kelleher,o'toole,furlong,"edogbo, e",beirne,timoney,gibson-park,crowley
21/02/2026,2026,af,england,6n,yes,a,5,4,-1,,w,42,21,21,loughman,sheehan,furlong,"mccarthy, j",ryan,beirne,van der flier,doris,gibson-park,crowley,lowe,mccloskey,ringrose,baloucoune,osborne,kelleher,o'toole,bealham,"prendergast, c",timoney,casey,frawley,"o'brien, t"
06/03/2026,2026,af,wales,6n,yes,h,3,12,9,,w,27,17,10,o'toole,kelleher,furlong,ryan,beirne,conan,timoney,doris,gibson-park,crowley,stockdale,mccloskey,ringrose,baloucoune,osborne,stewart,milne,clarkson,"mccarthy, j",van der flier,doak,"farrell, t",frawley
14/03/2026,2026,af,scotland,6n,yes,h,3,7,,,,,,,o'toole,sheehan,furlong,"mccarthy, j",beirne,conan,van der flier,doris,gibson-park,crowley,"o'brien, t",mccloskey,ringrose,baloucoune,osborne,kelleher,milne,bealham,"murray, d",timoney,casey,frawley,aki
04/07/2026,2026,af,australia,nc,yes,a,3,8,5,,w,33,31,2,o'toole,sheehan,furlong,"mccarthy, j",ryan,"prendergast, c",van der flier,conan,gibson-park,"prendergast, s",osborne,mccloskey,ringrose,"o'brien, j",keenan,kelleher,loughman,clarkson,beirne,timoney,casey,frawley,aki
11/07/2026,2026,af,japan,nc,yes,a,3,12,9,,w,36,20,16,o'toole,kelleher,clarkson,beirne,ryan,conan,timoney,jansen,casey,frawley,stockdale,mccloskey,henshaw,"o'brien, j",osborne,stewart,bohan,illo,izuchukwu,ward,doak,"byrne, h",aki
18/07/2026,2026,af,nz,nc,yes,a,3,2,-1,,l,21,40,-19,o'toole,sheehan,furlong,"mccarthy, j",ryan,beirne,van der flier,conan,gibson-park,"prendergast, s","o'brien, j",mccloskey,ringrose,baloucoune,keenan,kelleher,loughman,clarkson,timoney,jansen,casey,frawley,aki
