date,year,coach,opposition,tournament,test,h / a,wales irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
12/11/2022,2022,wp,argentina,eoyt,yes,h,9,6,-3,,w,20,13,7,"thomas, g",owens,lewis,rowlands,beard,lydiate,tipuric,faletau,"williams, to",anscombe,dyer,tompkins,north,cuthbert,rees-zammit,elias,"jones, r","wainwright, s",carter,"morgan, j",hardy,priestland,watkin
19/11/2022,2022,wp,georgia,eoyt,yes,h,7,14,7,,l,12,13,-1,"thomas, g",owens,lewis,carter,beard,"morgan, j",tipuric,macleod,"williams, to",priestland,adams,watkin,north,cuthbert,rees-zammit,"roberts, br","jones, r","wainwright, s","jenkins, d",faletau,blacker,costelow,halfpenny
26/11/2022,2022,wp,australia,eoyt,yes,h,9,8,-1,,l,34,39,-5,"thomas, g",owens,lewis,beard,"jones, a","morgan, j",tipuric,faletau,"williams, to",anscombe,dyer,hawkins,north,cuthbert,adams,elias,"jones, r",francis,carter,macleod,hardy,priestland,costelow
04/02/2023,2023,wg,ireland,6n,yes,h,9,1,-8,,l,10,34,-24,"thomas, g",owens,francis,beard,"jones, a","morgan, j",tipuric,faletau,"williams, to",biggar,dyer,hawkins,north,adams,"williams, li",baldwin,carre,lewis,"jenkins, d",reffell,webb,"williams, ow",cuthbert
11/02/2023,2023,wg,scotland,6n,yes,a,9,5,-4,,l,7,35,-28,"jones, w",owens,lewis,"jenkins, d",beard,tshiunza,reffell,"morgan, j","williams, to",biggar,dyer,hawkins,north,adams,"williams, li",baldwin,carre,brown,"davies, rh",faletau,webb,patchell,cuthbert
25/02/2023,2023,wg,england,6n,yes,h,9,6,-3,,l,10,20,-10,"thomas, g",owens,francis,beard,"jones, a",tshiunza,tipuric,faletau,"williams, to","williams, ow",rees-zammit,hawkins,grady,adams,halfpenny,"roberts, br",carre,lewis,"jenkins, d",reffell,hardy,biggar,tompkins
11/03/2023,2023,wg,italy,6n,yes,a,10,13,3,,w,29,17,12,"jones, w",owens,francis,beard,"jenkins, d","morgan, j",tipuric,faletau,webb,"williams, ow",dyer,hawkins,grady,adams,"williams, li",baldwin,"thomas, g",lewis,"davies, rh",reffell,"williams, to",north,rees-zammit
18/03/2023,2023,wg,france,6n,yes,a,9,2,-7,,l,28,41,-13,"jones, w",owens,francis,beard,"jones, a","wainwright, a",tipuric,faletau,webb,biggar,dyer,tompkins,north,adams,rees-zammit,"roberts, br","thomas, g",lewis,"jenkins, d",reffell,"williams, to","williams, ow",halfpenny
05/08/2023,2023,wg,england,friendly,yes,h,9,6,-3,,w,20,9,11,domachowski,elias,assiratti,"jenkins, d",rowlands,tshiunza,"morgan, j","wainwright, a","davies, ga",costelow,dyer,llewellyn,north,rees-zammit,halfpenny,dee,smith,"thomas, h",carter,plumtree,"williams, to",biggar,grady
12/08/2023,2023,wg,england,friendly,yes,a,9,6,-3,,l,17,19,-2,"thomas, g",lake,francis,"davies, rh",beard,lydiate,reffell,plumtree,"williams, to","williams, ow",rogers,tompkins,"roberts, jo",adams,"williams, li",parry,mathias,lewis,tshiunza,basham,"davies, ga",biggar,"williams, ke"
19/08/2023,2023,wg,sa,friendly,yes,h,10,4,-6,,l,16,52,-36,domachowski,dee,assiratti,carter,rowlands,lydiate,"morgan, j","wainwright, a",hardy,costelow,dyer,"williams, jo",grady,rogers,"evans, c",parry,smith,"thomas, h","williams, te",basham,"williams, to",llewellyn,rees-zammit
10/09/2023,2023,wg,fiji,wc,yes,n,10,7,-3,,w,32,26,6,"thomas, g",elias,francis,rowlands,beard,"wainwright, a","morgan, j",faletau,"davies, ga",biggar,adams,tompkins,north,rees-zammit,"williams, li",dee,domachowski,lewis,"jenkins, d",reffell,"williams, to",costelow,dyer
16/09/2023,2023,wg,portugal,wc,yes,n,8,16,8,,w,28,8,20,smith,lake,lewis,tshiunza,"jenkins, d",lydiate,"morgan, j",faletau,"williams, to",anscombe,dyer,"williams, jo",grady,rees-zammit,halfpenny,elias,domachowski,francis,beard,basham,"davies, ga",costelow,adams
