date,year,coach,opposition,tournament,test,h / a,wales irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
05/11/2016,2016,wg,australia,eoyt,yes,h,5,3,-2,,l,8,32,-24,"jenkins, g",owens,lee,"davies, br",charteris,lydiate,tipuric,moriarty,webb,biggar,north,"roberts, ja","williams, sc",cuthbert,halfpenny,baldwin,smith,francis,hill,king,"davies, ga","davies, sa",amos
12/11/2016,2016,wg,argentina,eoyt,yes,h,7,6,-1,,w,24,20,4,"jenkins, g",owens,francis,charteris,"jones, a",warburton,tipuric,moriarty,"davies, ga",biggar,"williams, li","williams, sc","davies, jo",north,halfpenny,baldwin,smith,lee,hill,king,"williams, ll",anscombe,"roberts, ja"
19/11/2016,2016,wg,japan,eoyt,yes,h,6,11,5,,w,33,30,3,smith,baldwin,lee,hill,"jones, a",lydiate,warburton,king,"williams, ll",anscombe,cuthbert,"roberts, ja","davies, jo",halfpenny,"williams, li",dacey,gill,andrews,ball,moriarty,"davies, ga","davies, sa",giles
26/11/2016,2016,wg,sa,eoyt,yes,h,6,5,-1,,w,27,13,14,"jenkins, g",owens,francis,charteris,"jones, a",lydiate,tipuric,moriarty,"davies, ga",biggar,"williams, li","williams, sc","davies, jo",north,halfpenny,baldwin,smith,lee,hill,faletau,"williams, ll","davies, sa","roberts, ja"
05/02/2017,2017,wg,italy,6n,yes,a,5,13,8,,w,33,7,26,smith,owens,lee,ball,"jones, a",warburton,tipuric,moriarty,webb,biggar,"williams, li","williams, sc","davies, jo",north,halfpenny,baldwin,"evans, r",francis,hill,king,"davies, ga","davies, sa","roberts, ja"
11/02/2017,2017,wg,england,6n,yes,h,5,2,-3,,l,16,21,-5,"evans, r",owens,francis,ball,"jones, a",warburton,tipuric,moriarty,webb,biggar,"williams, li","williams, sc","davies, jo",cuthbert,halfpenny,baldwin,smith,lee,hill,faletau,"davies, ga","davies, sa","roberts, ja"
25/02/2017,2017,wg,scotland,6n,yes,a,5,8,3,,l,13,29,-16,"evans, r",owens,francis,ball,"jones, a",warburton,tipuric,moriarty,webb,biggar,"williams, li","williams, sc","davies, jo",north,halfpenny,baldwin,smith,lee,charteris,faletau,"davies, ga","davies, sa","roberts, ja"
10/03/2017,2017,wg,ireland,6n,yes,h,7,4,-3,,w,22,9,13,"evans, r",owens,francis,ball,"jones, a",warburton,tipuric,moriarty,webb,biggar,"williams, li","williams, sc","davies, jo",north,halfpenny,baldwin,smith,lee,charteris,faletau,"davies, ga","davies, sa","roberts, ja"
18/03/2017,2017,wg,france,6n,yes,a,6,8,2,,l,18,20,-2,"evans, r",owens,francis,ball,"jones, a",warburton,tipuric,moriarty,webb,biggar,"williams, li","williams, sc","davies, jo",north,halfpenny,baldwin,smith,lee,charteris,faletau,"davies, ga","davies, sa","roberts, ja"
16/06/2017,2017,wg,tonga,tour,yes,a,7,13,6,,w,24,6,18,smith,dacey,francis,"davies, se",hill,shingler,young,navidi,"davies, ga","davies, sa","evans, s","roberts, ja","williams, sc",cuthbert,anscombe,elias,"jones, w",lewis,"jenkins, e",griffiths,"davies, al","williams, ow",allen
23/06/2017,2017,wg,samoa,tour,yes,a,7,14,7,,w,19,17,2,smith,elias,lewis,"davies, se",thornton,shingler,"jenkins, e",navidi,"davies, al","davies, sa","evans, s","roberts, ja","morgan, t",allen,anscombe,baldwin,"jones, w","jones, r",beard,young,"williams, to","williams, ow","williams, sc"
11/11/2017,2017,wg,australia,eoyt,yes,h,7,3,-4,,l,21,29,-8,"evans, r",owens,francis,ball,"jones, a",shingler,navidi,faletau,"davies, ga",biggar,"evans, s","williams, ow","davies, jo","williams, li",halfpenny,dacey,smith,brown,hill,cross,"davies, al",watkin,amos
18/11/2017,2017,wg,georgia,eoyt,yes,h,7,12,5,,w,13,6,7,smith,dacey,brown,beard,hill,lydiate,cross,"davies, se",webb,priestland,amos,watkin,"williams, sc",cuthbert,"williams, li",dee,"jones, w",francis,navidi,faletau,"davies, al",biggar,"williams, ow"
25/11/2017,2017,wg,nz,eoyt,yes,h,7,1,-6,,l,18,33,-15,"evans, r",owens,francis,ball,"jones, a",shingler,navidi,faletau,webb,biggar,"evans, s","williams, ow","williams, sc",amos,halfpenny,dacey,"jones, w",brown,hill,tipuric,"davies, ga",priestland,"roberts, ja"
02/12/2017,2017,wg,sa,eoyt,yes,h,7,5,-2,,w,24,22,2,"evans, r",dacey,andrews,hill,"jones, a",shingler,navidi,faletau,"davies, al",biggar,"evans, s",parkes,"williams, sc",amos,halfpenny,dee,"jones, w","jones, r","davies, se",lydiate,webb,patchell,watkin
03/02/2018,2018,wg,scotland,6n,yes,h,7,5,-2,,w,34,7,27,"evans, r",owens,lee,hill,"jones, a",shingler,navidi,moriarty,"davies, ga",patchell,"evans, s",parkes,"williams, sc",adams,halfpenny,dee,"jones, w",francis,"davies, br",tipuric,"davies, al",anscombe,watkin
10/02/2018,2018,wg,england,6n,yes,a,6,2,-4,,l,6,12,-6,"evans, r",owens,lee,hill,"jones, a",shingler,navidi,moriarty,"davies, ga",patchell,"evans, s",parkes,"williams, sc",adams,anscombe,dee,"jones, w",francis,"davies, br",tipuric,"davies, al",watkin,north
24/02/2018,2018,wg,ireland,6n,yes,a,6,3,-3,,l,27,37,-10,"evans, r",owens,lee,hill,"jones, a",shingler,navidi,moriarty,"davies, ga",biggar,"evans, s",parkes,"williams, sc","williams, li",halfpenny,dee,"jones, w",francis,"davies, br",tipuric,"davies, al",anscombe,north
11/03/2018,2018,wg,italy,6n,yes,h,7,14,7,,w,38,14,24,smith,dee,francis,hill,"davies, br",tipuric,"davies, ja",faletau,"davies, ga",anscombe,"evans, s",parkes,watkin,north,"williams, li",owens,"evans, r","jones, r","davies, se","jenkins, e","davies, al",patchell,halfpenny
17/03/2018,2018,wg,france,6n,yes,h,7,8,1,,w,14,13,1,"evans, r",owens,francis,hill,"jones, a",tipuric,navidi,faletau,"davies, ga",biggar,"williams, li",parkes,"williams, sc",north,halfpenny,dee,smith,lee,"davies, br",shingler,"davies, al",anscombe,"evans, s"
02/06/2018,2018,wg,sa,tour,yes,a,7,6,-1,,w,22,20,2,smith,dee,lewis,"davies, br",hill,"davies, se",moriarty,"jenkins, e","williams, to",anscombe,"evans, s",watkin,north,prydie,amos,elias,"jones, w","jones, r",beard,"wainwright, a","davies, al",patchell,parkes
09/06/2018,2018,wg,argentina,tour,yes,a,5,9,4,,w,23,10,13,"evans, r",dee,lewis,beard,hill,"davies, se","davies, ja",moriarty,"davies, ga",patchell,north,parkes,"williams, sc",adams,amos,elias,smith,francis,turnbull,"wainwright, a","davies, al",anscombe,watkin
16/06/2018,2018,wg,argentina,tour,yes,a,5,10,5,,w,30,12,18,"evans, r",elias,francis,beard,hill,"jenkins, e","davies, ja",moriarty,"davies, al",patchell,north,watkin,"williams, sc",adams,amos,dee,smith,lewis,"davies, br",turnbull,"williams, to",anscombe,prydie
03/11/2018,2018,wg,scotland,eoyt,yes,h,3,6,3,,w,21,10,11,smith,owens,lewis,hill,"jones, a",lydiate,tipuric,moriarty,"davies, ga",anscombe,"morgan, l",parkes,"davies, jo",north,halfpenny,dee,"evans, r",brown,beard,"wainwright, a","williams, to","evans, j","evans, s"
10/11/2018,2018,wg,australia,eoyt,yes,h,3,6,3,,w,9,6,3,smith,owens,francis,beard,"jones, a",lydiate,tipuric,moriarty,"davies, ga",anscombe,adams,parkes,"davies, jo",north,halfpenny,dee,"evans, r",lewis,hill,"jenkins, e","williams, to",biggar,"williams, li"
17/11/2018,2018,wg,tonga,eoyt,yes,h,3,12,9,,w,74,24,50,"jones, w",dee,brown,ball,beard,"wainwright, a","jenkins, e","davies, se","williams, to",biggar,"evans, s",watkin,"morgan, t","williams, li",holmes,elias,"evans, r",francis,hill,moriarty,"davies, al",patchell,adams
24/11/2018,2018,wg,sa,eoyt,yes,h,3,5,2,,w,20,11,9,smith,owens,francis,beard,"jones, a","jenkins, e",tipuric,moriarty,"davies, ga",anscombe,adams,parkes,"davies, jo",north,"williams, li",dee,"evans, r",lewis,hill,"wainwright, a","williams, to",biggar,watkin
01/02/2019,2019,wg,france,6n,yes,a,3,9,6,,w,24,19,5,"evans, r",owens,francis,beard,"jones, a",navidi,tipuric,moriarty,"williams, to",anscombe,adams,parkes,"davies, jo",north,"williams, li",dee,"jones, w",lee,hill,"wainwright, a","davies, ga",biggar,watkin
09/02/2019,2019,wg,italy,6n,yes,a,4,15,11,,w,26,15,11,smith,dee,lee,ball,beard,"wainwright, a",young,navidi,"davies, al",biggar,adams,watkin,"davies, jo",holmes,"williams, li",elias,"jones, w",lewis,"jones, a",moriarty,"davies, ga",anscombe,amos
23/02/2019,2019,wg,england,6n,yes,h,4,3,-1,,w,21,13,8,"evans, r",owens,francis,hill,"jones, a",navidi,tipuric,moriarty,"davies, ga",anscombe,adams,parkes,"davies, jo",north,"williams, li",dee,smith,lewis,beard,"wainwright, a","davies, al",biggar,watkin
09/03/2019,2019,wg,scotland,6n,yes,a,3,7,4,,w,18,11,7,"evans, r",owens,francis,beard,"jones, a",navidi,tipuric,moriarty,"davies, ga",anscombe,adams,parkes,"davies, jo",north,"williams, li",dee,smith,lewis,ball,"wainwright, a","davies, al",biggar,watkin
16/03/2019,2019,wg,ireland,6n,yes,h,3,2,-1,,w,25,7,18,"evans, r",owens,francis,beard,"jones, a",navidi,tipuric,moriarty,"davies, ga",anscombe,adams,parkes,"davies, jo",north,"williams, li",dee,smith,lewis,ball,"wainwright, a","davies, al",biggar,watkin
11/08/2019,2019,wg,england,friendly,yes,a,2,5,3,,l,19,33,-14,smith,owens,francis,beard,"jones, a","wainwright, a",tipuric,moriarty,"davies, ga",anscombe,adams,parkes,"davies, jo",north,"williams, li",dee,"jones, w",lewis,ball,shingler,"davies, al",biggar,watkin
17/08/2019,2019,wg,england,friendly,yes,h,2,4,2,,w,13,6,7,smith,owens,francis,ball,"jones, a","wainwright, a","davies, ja",moriarty,"davies, ga",biggar,adams,parkes,"davies, jo",north,halfpenny,dee,"jones, w",lewis,shingler,navidi,"davies, al","evans, j",watkin
31/08/2019,2019,wg,ireland,friendly,yes,h,1,4,3,,l,17,22,-5,carre,elias,lee,beard,"davies, br",shingler,"davies, ja",navidi,"davies, al","evans, j","evans, s",watkin,"williams, sc",lane,amos,dee,"evans, r",brown,ball,"wainwright, a","williams, to",patchell,holmes
07/09/2019,2019,wg,ireland,friendly,yes,a,4,2,-2,,l,10,19,-9,"jones, w",dee,francis,ball,"jones, a","wainwright, a",tipuric,moriarty,"williams, to",patchell,adams,parkes,"davies, jo",north,halfpenny,owens,smith,lewis,beard,navidi,"davies, ga",biggar,"williams, li"
23/09/2019,2019,wg,georgia,wc,yes,n,5,12,7,,w,43,14,29,"jones, w",owens,francis,ball,"jones, a","wainwright, a",tipuric,navidi,"davies, ga",biggar,adams,parkes,"davies, jo",north,"williams, li",dee,smith,lewis,shingler,moriarty,"williams, to",patchell,halfpenny
29/09/2019,2019,wg,australia,wc,yes,n,4,6,2,,w,29,25,4,"jones, w",owens,francis,ball,"jones, a","wainwright, a",tipuric,navidi,"davies, ga",biggar,adams,parkes,"davies, jo",north,"williams, li",dee,smith,lewis,shingler,moriarty,"williams, to",patchell,watkin
09/10/2019,2019,wg,fiji,wc,yes,n,2,11,9,,w,29,17,12,"jones, w",owens,francis,ball,"jones, a",navidi,"davies, ja",moriarty,"davies, ga",biggar,adams,parkes,"davies, jo",north,"williams, li",dee,carre,lewis,shingler,"wainwright, a","williams, to",patchell,watkin
13/10/2019,2019,wg,uruguay,wc,yes,n,2,18,16,,w,35,13,22,smith,elias,lewis,"davies, br",beard,shingler,tipuric,"wainwright, a","davies, al",patchell,amos,parkes,watkin,adams,halfpenny,dee,carre,"jones, w",ball,moriarty,"davies, ja","williams, to","davies, ga"
20/10/2019,2019,wg,france,wc,yes,n,2,8,6,,w,20,19,1,"jones, w",owens,francis,ball,"jones, a","wainwright, a",tipuric,navidi,"davies, ga",biggar,adams,parkes,watkin,north,"williams, li",dee,carre,lewis,beard,moriarty,"williams, to",patchell,halfpenny
27/10/2019,2019,wg,sa,wc,yes,n,3,4,1,,l,16,19,-3,"jones, w",owens,francis,ball,"jones, a","wainwright, a",tipuric,moriarty,"davies, ga",biggar,adams,parkes,"davies, jo",north,halfpenny,dee,carre,lewis,beard,shingler,"williams, to",patchell,watkin
01/11/2019,2019,wg,nz,wc,yes,n,4,3,-1,,l,17,40,-23,smith,owens,lewis,beard,"jones, a",tipuric,"davies, ja",moriarty,"williams, to",patchell,adams,watkin,"davies, jo",lane,amos,dee,carre,"jones, w",ball,shingler,"davies, ga",biggar,parkes
01/02/2020,2020,wp,italy,6n,yes,h,4,12,8,,w,42,0,42,"jones, w",owens,lewis,ball,"jones, a","wainwright, a",tipuric,faletau,"williams, to",biggar,adams,parkes,north,mcnicholl,halfpenny,elias,"evans, r",brown,hill,moriarty,webb,"evans, j",tompkins
08/02/2020,2020,wp,ireland,6n,yes,a,4,5,1,,l,14,24,-10,"jones, w",owens,lewis,ball,"jones, a","wainwright, a",tipuric,faletau,"williams, to",biggar,adams,parkes,tompkins,north,halfpenny,elias,carre,brown,beard,moriarty,"davies, ga","evans, j",mcnicholl
22/02/2020,2020,wp,france,6n,yes,h,5,6,1,,l,23,27,-4,"jones, w",owens,lewis,ball,"jones, a",moriarty,tipuric,faletau,"davies, ga",biggar,adams,parkes,tompkins,north,halfpenny,elias,"evans, r",brown,rowlands,"wainwright, a","williams, to","evans, j",mcnicholl
07/03/2020,2020,wp,england,6n,yes,a,6,3,-3,,l,30,33,-3,"evans, r",owens,lewis,ball,"jones, a",moriarty,tipuric,navidi,"williams, to",biggar,"williams, li",parkes,tompkins,north,halfpenny,elias,carre,brown,shingler,faletau,webb,"evans, j",mcnicholl
24/10/2020,2020,wp,france,friendly,yes,a,7,6,-1,,l,21,38,-17,carre,elias,lee,hill,"jones, a","wainwright, a",tipuric,faletau,webb,biggar,adams,tompkins,"davies, jo",north,halfpenny,parry,smith,lewis,"davies, se","davies, ja","davies, ga",patchell,rees-zammit
31/10/2020,2020,wp,scotland,6n,yes,h,7,8,1,,l,10,14,-4,carre,elias,francis,rowlands,"jones, a",lewis-hughes,"davies, ja",faletau,"davies, ga",biggar,adams,watkin,"davies, jo","williams, li",halfpenny,parry,"jones, w",lewis,hill,"wainwright, a","williams, ll",patchell,tompkins
13/11/2020,2020,wp,ireland,tour,yes,a,8,5,-3,,l,9,32,-23,carre,elias,francis,rowlands,"jones, a",lewis-hughes,tipuric,faletau,"davies, ga",biggar,adams,watkin,"davies, jo","williams, li",halfpenny,dee,"jones, w",lee,ball,"wainwright, a","williams, ll",sheedy,north
21/11/2020,2020,wp,georgia,eoyt,yes,h,9,12,3,,w,18,0,18,"jones, w",dee,lee,ball,"davies, se",botham,tipuric,"wainwright, a",hardy,sheedy,rees-zammit,"williams, jo",tompkins,mcnicholl,"williams, li",parry,smith,brown,hill,"davies, ja",webb,"lloyd, i",holmes
28/11/2020,2020,wp,england,eoyt,yes,h,9,2,-7,,l,13,24,-11,"jones, w",elias,lee,ball,"jones, a",lewis-hughes,botham,faletau,"williams, ll",biggar,rees-zammit,"williams, jo",tompkins,adams,halfpenny,dee,carre,francis,rowlands,"wainwright, a",webb,sheedy,watkin
05/12/2020,2020,wp,italy,eoyt,yes,h,9,14,5,,w,38,18,20,smith,parry,francis,rowlands,"jones, a",botham,tipuric,faletau,hardy,sheedy,rees-zammit,"davies, jo",north,adams,"williams, li",dee,"jones, w",brown,hill,"wainwright, a","davies, ga","lloyd, i",holmes
07/02/2021,2021,wp,ireland,6n,yes,h,9,5,-4,,w,21,16,5,"jones, w",owens,francis,beard,"jones, a",lydiate,tipuric,faletau,"williams, to",biggar,amos,"williams, jo",north,rees-zammit,halfpenny,dee,"jones, r",brown,rowlands,navidi,"davies, ga",sheedy,tompkins
