date,year,coach,opposition,tournament,test,h / a,nz irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
19/10/2019,2019,sh,ireland,wc,yes,n,1,4,3,,w,46,14,32,moody,taylor,laulala,retallick,"whitelock, s","savea, a",cane,read,"smith, a",mo'unga,bridge,lienert-brown,goodhue,reece,"barrett, b",coles,tuungafasi,ta'avao,"barrett, s",todd,perenara,"williams, s","barrett, j"
26/10/2019,2019,sh,england,wc,yes,n,1,2,1,,l,7,19,-12,moody,taylor,laulala,retallick,"whitelock, s","barrett, s","savea, a",read,"smith, a",mo'unga,bridge,lienert-brown,goodhue,reece,"barrett, b",coles,tuungafasi,ta'avao,tuipulotu,cane,perenara,"williams, s","barrett, j"
01/11/2019,2019,sh,wales,wc,yes,n,3,4,1,,w,40,17,23,moody,coles,laulala,retallick,"barrett, s",frizell,cane,read,"smith, a",mo'unga,"ioane, r","williams, s",crotty,"smith, b","barrett, b",coltman,moli,ta'avao,tuipulotu,todd,weber,lienert-brown,"barrett, j"
11/10/2020,2020,if,australia,rc,yes,h,2,7,5,,d,16,16,0,moody,taylor,tuungafasi,tuipulotu,"whitelock, s",frizell,cane,"savea, a","smith, a",mo'unga,bridge,goodhue,"ioane, r","barrett, j",mckenzie,coles,tu'inukuafe,lomax,vaa'i,sotutu,perenara,lienert-brown,clarke
18/10/2020,2020,if,australia,rc,yes,h,2,5,3,,w,27,7,20,moody,coles,tuungafasi,tuipulotu,vaa'i,frizell,cane,"savea, a","smith, a",mo'unga,clarke,goodhue,lienert-brown,"barrett, j","barrett, b",taylor,hodgman,laulala,"barrett, s",sotutu,perenara,umaga-jensen,mckenzie
31/10/2020,2020,if,australia,rc,yes,a,2,6,4,,w,43,5,38,tu'inukuafe,coles,tuungafasi,tuipulotu,"whitelock, s",frizell,cane,sotutu,"smith, a",mo'unga,clarke,goodhue,lienert-brown,"barrett, j","barrett, b",taylor,hodgman,lomax,"barrett, s",papali'i,perenara,laumape,"ioane, r"
07/11/2020,2020,if,australia,tour,yes,a,2,6,4,,l,22,24,-2,tu'inukuafe,taylor,tuungafasi,"barrett, s","whitelock, s","ioane, a",cane,"savea, a",perenara,"barrett, b","ioane, r",laumape,lienert-brown,reece,"barrett, j",aumua,hodgman,lomax,vaa'i,grace,weber,mckenzie,jordan
14/11/2020,2020,if,argentina,tour,yes,a,2,10,8,,l,15,25,-10,moody,coles,lomax,tuipulotu,"whitelock, s",frizell,cane,"savea, a","smith, a",mo'unga,clarke,goodhue,lienert-brown,"barrett, j","barrett, b",taylor,hodgman,laulala,vaa'i,sotutu,weber,"ioane, r",mckenzie
28/11/2020,2020,if,argentina,tour,yes,a,3,8,5,,w,38,0,38,moody,coles,laulala,"barrett, s","whitelock, s","ioane, a",cane,"savea, a","smith, a",mo'unga,clarke,goodhue,lienert-brown,"barrett, j","barrett, b",taylor,tu'inukuafe,lomax,tuipulotu,sotutu,perenara,"ioane, r",jordan
03/07/2021,2021,if,tonga,tour,yes,h,2,13,11,,w,102,0,102,tu'inukuafe,coles,ta'avao,"barrett, s","whitelock, s","ioane, a",papali'i,jacobson,weber,mo'unga,bridge,tupaea,"ioane, r",jordan,mckenzie,aumua,bower,lomax,tuipulotu,blackadder,christie,"barrett, b","barrett, j"
10/07/2021,2021,if,fiji,tour,yes,h,2,11,9,,w,57,23,34,bower,taylor,laulala,tuipulotu,retallick,frizell,blackadder,sotutu,"smith, a","barrett, b",bridge,havili,"ioane, r",reece,"barrett, j",coles,de groot,lomax,"whitelock, s",jacobson,christie,mckenzie,jordan
17/07/2021,2021,if,fiji,tour,yes,h,2,11,9,,w,60,13,47,bower,taylor,laulala,"barrett, s","whitelock, s","ioane, a","savea, a",jacobson,"smith, a",mo'unga,reece,havili,lienert-brown,jordan,mckenzie,taukei'aho,de groot,ta'avao,retallick,frizell,weber,"barrett, b","ioane, r"
07/08/2021,2021,if,australia,rc,yes,h,2,6,4,,w,33,25,8,bower,taylor,laulala,retallick,"whitelock, s","ioane, a",papali'i,"savea, a","smith, a",mo'unga,"ioane, r",havili,lienert-brown,reece,mckenzie,,tu'inukuafe,ta'avao,tuipulotu,jacobson,weber,"barrett, b","barrett, j"
14/08/2021,2021,if,australia,rc,yes,h,2,6,4,,w,57,22,35,bower,taylor,laulala,retallick,"whitelock, s","ioane, a",papali'i,"savea, a","smith, a",mo'unga,reece,havili,"ioane, r",jordan,mckenzie,taukei'aho,tu'inukuafe,ta'avao,"barrett, s",jacobson,perenara,"barrett, b","barrett, j"
05/09/2021,2021,if,australia,rc,yes,a,2,6,4,,w,38,21,17,bower,taylor,laulala,retallick,"barrett, s","ioane, a",papali'i,"savea, a",weber,"barrett, b","ioane, r",havili,lienert-brown,jordan,"barrett, j",taukei'aho,tu'inukuafe,ta'avao,vaa'i,blackadder,perenara,mckenzie,bridge
12/09/2021,2021,if,argentina,rc,yes,a,2,6,4,,w,39,0,39,tu'inukuafe,aumua,laulala,retallick,"barrett, s","ioane, a",papali'i,jacobson,perenara,"barrett, b",bridge,havili,"ioane, r",reece,"barrett, j",taukei'aho,moody,lomax,vaa'i,blackadder,weber,mckenzie,tupaea
18/09/2021,2021,if,argentina,rc,yes,a,2,7,5,,w,36,13,23,moody,taukei'aho,lomax,tuipulotu,vaa'i,blackadder,"savea, a",sotutu,perenara,mckenzie,bridge,tupaea,"ioane, r",jordan,"barrett, j",taylor,bower,tuungafasi,"barrett, s",jacobson,christie,"barrett, b",ennor
25/09/2021,2021,if,sa,rc,yes,a,1,2,1,,w,19,17,2,moody,taylor,laulala,retallick,"barrett, s","ioane, a",blackadder,"savea, a",perenara,"barrett, b",bridge,havili,"ioane, r",jordan,"barrett, j",taukei'aho,tu'inukuafe,tuungafasi,tuipulotu,sotutu,weber,mckenzie,tupaea
02/10/2021,2021,if,sa,rc,yes,a,1,2,1,,l,29,31,-2,moody,taylor,laulala,retallick,"barrett, s","ioane, a","savea, a",jacobson,weber,"barrett, b","ioane, r",havili,lienert-brown,reece,"barrett, j",aumua,bower,tuungafasi,tuipulotu,blackadder,perenara,mo'unga,mckenzie
23/10/2021,2021,if,usa,tour,yes,a,2,17,15,,w,104,14,90,de groot,aumua,ta'avao,"whitelock, s",vaa'i,jacobson,papali'i,sotutu,christie,mo'unga,bridge,tupaea,ennor,jordan,mckenzie,coles,bower,lomax,lord,cane,perenara,"barrett, b",lienert-brown
30/10/2021,2021,if,wales,tour,yes,a,2,9,7,,w,54,16,38,moody,taylor,laulala,retallick,"whitelock, s",blackadder,papali'i,"savea, a",perenara,"barrett, b","ioane, r",havili,lienert-brown,jordan,"barrett, j",taukei'aho,tu'inukuafe,lomax,vaa'i,"ioane, a",weber,mo'unga,reece
06/11/2021,2021,if,italy,tour,yes,a,1,14,13,,w,47,9,38,bower,coles,lomax,vaa'i,lord,jacobson,cane,sotutu,weber,mo'unga,bridge,tupaea,ennor,reece,mckenzie,aumua,de groot,tuungafasi,"whitelock, s",frizell,christie,havili,"barrett, j"
13/11/2021,2021,if,ireland,tour,yes,a,1,5,4,,l,20,29,-9,moody,taylor,laulala,retallick,"whitelock, s",blackadder,papali'i,"savea, a",perenara,"barrett, b",reece,lienert-brown,"ioane, r",jordan,"barrett, j",coles,tu'inukuafe,lomax,vaa'i,"ioane, a",christie,mo'unga,havili
20/11/2021,2021,if,france,tour,yes,a,2,6,4,,l,25,40,-15,moody,coles,laulala,retallick,"whitelock, s","ioane, a",cane,"savea, a","smith, a",mo'unga,bridge,tupaea,"ioane, r",jordan,"barrett, j",taukei'aho,bower,tuungafasi,vaa'i,frizell,weber,mckenzie,havili
02/07/2022,2022,if,ireland,tour,yes,h,3,4,1,,w,42,19,23,bower,taylor,tuungafasi,retallick,"whitelock, s","barrett, s",cane,"savea, a","smith, a","barrett, b",fainga'anuku,tupaea,"ioane, r",reece,"barrett, j",taukei'aho,tu'inukuafe,ta'avao,sowakula,papali'i,christie,mo'unga,ennor
09/07/2022,2022,if,ireland,tour,yes,h,2,4,2,,l,12,23,-11,bower,taylor,tuungafasi,retallick,"barrett, s",papali'i,cane,"savea, a","smith, a","barrett, b",fainga'anuku,tupaea,"ioane, r",reece,"barrett, j",taukei'aho,ross,ta'avao,tuipulotu,sowakula,fakatava,mo'unga,jordan
16/07/2022,2022,if,ireland,tour,yes,h,4,2,-2,,l,22,32,-10,bower,taylor,laulala,retallick,"whitelock, s","ioane, a",cane,"savea, a","smith, a","barrett, b",reece,havili,"ioane, r",jordan,"barrett, j",coles,tu'inukuafe,tuungafasi,vaa'i,papali'i,fakatava,mo'unga,tuivasa-sheck
06/08/2022,2022,if,sa,rc,yes,a,4,3,-1,,l,10,26,-16,bower,taukei'aho,ta'avao,"whitelock, s","barrett, s","ioane, a",cane,"savea, a","smith, a","barrett, b",clarke,havili,"ioane, r",jordan,"barrett, j",coles,de groot,lomax,vaa'i,frizell,christie,mo'unga,tupaea
13/08/2022,2022,if,sa,rc,yes,a,5,3,-2,,w,35,23,12,de groot,taukei'aho,lomax,"whitelock, s","barrett, s",frizell,cane,"savea, a","smith, a",mo'unga,clarke,havili,"ioane, r",jordan,"barrett, j",taylor,bower,newell,vaa'i,"ioane, a",christie,"barrett, b",tupaea
27/08/2022,2022,if,argentina,rc,yes,h,4,9,5,,l,18,25,-7,de groot,taukei'aho,lomax,"whitelock, s","barrett, s",frizell,cane,"savea, a","smith, a",mo'unga,clarke,havili,"ioane, r",jordan,"barrett, j",taylor,bower,newell,vaa'i,"ioane, a",christie,perofeta,tupaea
03/09/2022,2022,if,argentina,rc,yes,h,5,7,2,,w,53,3,50,de groot,taukei'aho,lomax,"whitelock, s","barrett, s",frizell,cane,"savea, a","smith, a",mo'unga,clarke,havili,"ioane, r",jordan,"barrett, j",coles,bower,newell,retallick,papali'i,christie,"barrett, b",tupaea
15/09/2022,2022,if,australia,rc,yes,a,4,8,4,,w,39,37,2,de groot,taukei'aho,lomax,retallick,"whitelock, s","barrett, s",cane,sotutu,"smith, a",mo'unga,clarke,havili,"ioane, r",jordan,"barrett, j",coles,bower,newell,"ioane, a",papali'i,christie,"barrett, b",tupaea
24/09/2022,2022,if,australia,rc,yes,h,4,9,5,,w,40,14,26,de groot,taylor,lomax,retallick,"whitelock, s","ioane, a",papali'i,"savea, a","smith, a",mo'unga,clarke,"barrett, j","ioane, r",jordan,"barrett, b",taukei'aho,tuungafasi,laulala,vaa'i,sotutu,christie,tuivasa-sheck,reece
29/10/2022,2022,if,japan,tour,yes,a,4,10,6,,w,38,31,7,bower,taukei'aho,laulala,retallick,vaa'i,frizell,cane,sotutu,christie,mo'unga,clarke,tuivasa-sheck,ennor,reece,perofeta,taylor,tuungafasi,lomax,tuipulotu,papali'i,"smith, a",havili,lienert-brown
05/11/2022,2022,if,wales,tour,yes,a,4,7,3,,w,55,23,32,de groot,taylor,lomax,"whitelock, s","barrett, s",frizell,papali'i,"savea, a","smith, a",mo'unga,clarke,"barrett, j","ioane, r",reece,"barrett, b",taukei'aho,tuungafasi,newell,vaa'i,"ioane, a",weber,havili,lienert-brown
