date,year,coach,opposition,tournament,test,h / a,nz irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
16/08/2025,2025,sr,argentina,rc,yes,a,2,7,5,,w,41,24,17,de groot,taylor,newell,"barrett, s",holland,vaa'i,kirifi,"savea, a",ratima,"barrett, b","ioane, r","barrett, j","proctor, b",reece,jordan,taukei'aho,norris,tosi,tuipulotu,finau,christie,lienert-brown,mckenzie
23/08/2025,2025,sr,argentina,rc,yes,a,1,7,6,,l,23,29,-6,de groot,taylor,newell,"barrett, s",holland,vaa'i,"savea, a",parker,ratima,"barrett, b","ioane, r","barrett, j","proctor, b",reece,jordan,taukei'aho,"williams, t",tosi,lord,sititi,christie,tupaea,mckenzie
06/09/2025,2025,sr,sa,rc,yes,h,1,2,1,,w,24,17,7,de groot,taylor,newell,"barrett, s",vaa'i,parker,"savea, a",sititi,christie,"barrett, b","ioane, r","barrett, j","proctor, b",narawa,jordan,taukei'aho,"williams, t",lomax,holland,kirifi,preston,tupaea,mckenzie
13/09/2025,2025,sr,sa,rc,yes,h,1,3,2,,l,10,43,-33,de groot,taukei'aho,lomax,"barrett, s",vaa'i,parker,"savea, a",sititi,hotham,"barrett, b","carter, l","barrett, j","proctor, b",jordan,mckenzie,mcalister,"williams, t",newell,holland,kirifi,christie,tupaea,love
27/09/2025,2025,sr,australia,rc,yes,h,3,7,4,,w,33,24,9,de groot,taylor,lomax,holland,vaa'i,parker,"savea, a",sititi,roigard,"barrett, b",clarke,"barrett, j","proctor, b","carter, l",jordan,taukei'aho,"williams, t",newell,tuipulotu,lakai,ratima,tupaea,mckenzie
04/10/2025,2025,sr,australia,rc,yes,a,3,7,4,,w,28,14,14,"williams, t",taylor,newell,"barrett, s",holland,parker,"savea, a",lakai,roigard,mckenzie,fainga'anuku,"barrett, j",tupaea,"carter, l",jordan,taukei'aho,bower,tosi,tuipulotu,sititi,ratima,"ioane, r",love
01/11/2025,2025,sr,ireland,tour,yes,a,2,3,1,,w,26,13,13,de groot,taylor,newell,"barrett, s",holland,parker,"savea, a",lakai,roigard,"barrett, b",clarke,"barrett, j",tupaea,"carter, l",jordan,taukei'aho,"williams, t",tosi,lord,sititi,ratima,fainga'anuku,mckenzie
08/11/2025,2025,sr,scotland,tour,yes,a,2,8,6,,w,25,17,8,de groot,taylor,newell,lord,holland,sititi,"savea, a",lakai,roigard,"barrett, b",clarke,tupaea,fainga'anuku,"carter, l",jordan,taukei'aho,"williams, t",tosi,darry,kirifi,ratima,"proctor, b",mckenzie
15/11/2025,2025,sr,england,tour,yes,a,2,4,2,,l,19,33,-14,de groot,taylor,newell,"barrett, s",,parker,"savea, a",lakai,roigard,"barrett, b",fainga'anuku,tupaea,"proctor, b","carter, l",jordan,taukei'aho,"williams, t",tosi,lord,sititi,ratima,lienert-brown,mckenzie
22/11/2025,2025,sr,wales,tour,yes,a,2,12,10,,w,52,26,26,"williams, t",taukei'aho,tosi,"barrett, s",holland,parker,kirifi,sititi,ratima,mckenzie,clarke,lienert-brown,"ioane, r",jordan,love,bell,newell,bower,lord,lio-willie,christie,fainga'anuku,reece
04/07/2026,2026,sr,france,nc,yes,h,2,4,2,,w,34,32,2,de groot,taylor,newell,lord,darry,lakai,jacobson,"savea, a",roigard,love,clarke,"barrett, j",tupaea,jordan,mckenzie,aumua,numia,lomax,hannah,sititi,ratima,"proctor, b",fineanganofo
11/07/2026,2026,sr,italy,nc,yes,h,2,10,8,,w,47,17,30,de groot,taylor,lomax,darry,vaa'i,sititi,jacobson,"savea, a",roigard,love,"carter, l","barrett, j","proctor, b",jordan,mckenzie,taukei'aho,bower,tosi,lord,segner,ratima,lienert-brown,moorby
18/07/2026,2026,sr,ireland,nc,yes,h,2,3,1,,w,40,21,19,de groot,taylor,lomax,lord,tuipulotu,vaa'i,jacobson,"savea, a",roigard,love,moorby,"barrett, j",tupaea,jordan,mckenzie,aumua,numia,newell,segner,lakai,ratima,lienert-brown,clarke
22/08/2026,2026,sr,sa,tour,yes,a,2,1,-1,,w,33,16,17,de groot,taylor,lomax,lord,holland,vaa'i,jacobson,"savea, a",roigard,love,moorby,"barrett, j",tupaea,jordan,mckenzie,aumua,bower,newell,lakai,parker,preston,lienert-brown,"carter, l"
