date,year,coach,opposition,tournament,test,h / a,france irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
05/02/2023,2023,fg,italy,6n,yes,a,2,12,10,,w,29,24,5,baille,marchand,atonio,flament,willemse,jelonch,ollivon,alldritt,dupont,ntamack,dumortier,moefana,fickou,penaud,ramos,barlot,wardi,falatea,"taofifenua, ro",lavault,macalou,le garrec,jalibert
11/02/2023,2023,fg,ireland,6n,yes,a,2,1,-1,,l,19,32,-13,baille,marchand,atonio,flament,willemse,jelonch,ollivon,alldritt,dupont,ntamack,dumortier,moefana,fickou,penaud,ramos,barlot,wardi,falatea,"taofifenua, ro",cros,macalou,couilloud,jalibert
26/02/2023,2023,fg,scotland,6n,yes,h,2,5,3,,w,32,21,11,baille,marchand,haouas,flament,willemse,jelonch,ollivon,alldritt,dupont,ntamack,dumortier,moefana,fickou,penaud,ramos,barlot,wardi,falatea,"taofifenua, ro",cros,macalou,couilloud,jalibert
11/03/2023,2023,fg,england,6n,yes,a,2,6,4,,w,53,10,43,baille,marchand,aldegheri,flament,willemse,cros,ollivon,alldritt,dupont,ntamack,dumortier,danty,fickou,penaud,ramos,mauvaka,wardi,falatea,"taofifenua, ro",macalou,lucu,moefana,jaminet
18/03/2023,2023,fg,wales,6n,yes,h,2,9,7,,w,41,28,13,baille,marchand,atonio,flament,"taofifenua, ro",cros,ollivon,alldritt,dupont,ntamack,dumortier,danty,fickou,penaud,ramos,mauvaka,wardi,falatea,chalureau,macalou,lucu,moefana,jaminet
05/08/2023,2023,fg,scotland,friendly,yes,a,3,5,2,,l,21,25,-4,gros,bourgarit,bamba,woki,chalureau,boudehent,macalou,tanga,couilloud,jalibert,dumortier,moefana,gailleton,bielle-biarrey,dulin,mauvaka,wardi,falatea,willemse,cretin,serin,hastoy,vincent
12/08/2023,2023,fg,scotland,friendly,yes,h,3,5,2,,w,30,27,3,baille,marchand,aldegheri,woki,flament,boudehent,ollivon,alldritt,dupont,ntamack,villiere,danty,fickou,penaud,ramos,bourgarit,gros,atonio,chalureau,verhaeghe,macalou,lucu,bielle-biarrey
19/08/2023,2023,fg,fiji,friendly,yes,h,3,9,6,,w,34,17,17,wardi,mauvaka,atonio,verhaeghe,willemse,cros,cretin,alldritt,lucu,hastoy,moefana,danty,vincent,bielle-biarrey,jaminet,bourgarit,gros,laclayat,chalureau,flament,macalou,serin,jalibert
27/08/2023,2023,fg,australia,friendly,yes,h,4,8,4,,w,41,17,24,gros,marchand,atonio,flament,willemse,cros,ollivon,alldritt,dupont,jalibert,villiere,danty,fickou,penaud,ramos,mauvaka,"taofifenua, s",aldegheri,"taofifenua, ro",woki,boudehent,couilloud,jaminet
08/09/2023,2023,fg,nz,wc,yes,h,3,4,1,,w,27,13,14,wardi,marchand,atonio,woki,flament,cros,ollivon,alldritt,dupont,jalibert,villiere,moefana,fickou,penaud,ramos,mauvaka,gros,aldegheri,"taofifenua, ro",boudehent,lucu,vincent,jaminet
14/09/2023,2023,fg,uruguay,wc,yes,h,3,17,14,,w,27,12,15,gros,bourgarit,aldegheri,woki,"taofifenua, ro",boudehent,macalou,jelonch,lucu,hastoy,villiere,moefana,vincent,bielle-biarrey,jaminet,mauvaka,wardi,falatea,chalureau,flament,cros,couilloud,ramos
21/09/2023,2023,fg,namibia,wc,yes,h,3,21,18,,w,96,0,96,baille,mauvaka,atonio,woki,flament,cros,ollivon,jelonch,dupont,jalibert,bielle-biarrey,danty,fickou,penaud,ramos,bourgarit,wardi,aldegheri,"taofifenua, ro",boudehent,couilloud,moefana,jaminet
06/10/2023,2023,fg,italy,wc,yes,h,2,11,9,,w,60,7,53,baille,mauvaka,atonio,woki,flament,jelonch,ollivon,alldritt,lucu,jalibert,bielle-biarrey,danty,fickou,penaud,ramos,bourgarit,wardi,aldegheri,"taofifenua, ro",cros,couilloud,moefana,jaminet
15/10/2023,2023,fg,sa,wc,yes,l,2,3,1,,l,28,29,-1,baille,mauvaka,atonio,woki,flament,jelonch,ollivon,alldritt,dupont,jalibert,bielle-biarrey,danty,fickou,penaud,ramos,bourgarit,wardi,aldegheri,"taofifenua, ro",cros,macalou,lucu,moefana
02/02/2024,2024,fg,ireland,6n,yes,h,4,2,-2,,l,17,38,-21,baille,mauvaka,atonio,gabrillagues,willemse,cros,ollivon,alldritt,lucu,jalibert,moefana,danty,fickou,penaud,ramos,marchand,wardi,aldegheri,"tuilagi, p",woki,boudehent,le garrec,bielle-biarrey
10/02/2024,2024,fg,scotland,6n,yes,a,4,6,2,,w,20,16,4,baille,mauvaka,atonio,woki,gabrillagues,cros,ollivon,alldritt,lucu,jalibert,bielle-biarrey,danty,fickou,penaud,ramos,marchand,"taofifenua, s",aldegheri,"tuilagi, p","roumat, a",boudehent,le garrec,moefana
25/02/2024,2024,fg,italy,6n,yes,h,4,11,7,,d,13,13,0,baille,mauvaka,atonio,woki,"tuilagi, p",boudehent,ollivon,cros,lucu,jalibert,bielle-biarrey,danty,fickou,penaud,ramos,marchand,"taofifenua, s",aldegheri,"taofifenua, ro","roumat, a",abadie,le garrec,moefana
10/03/2024,2024,fg,wales,6n,yes,a,4,8,4,,w,45,24,21,baille,marchand,atonio,flament,meafou,cros,ollivon,alldritt,le garrec,ramos,bielle-biarrey,depoortere,fickou,penaud,barre,mauvaka,"taofifenua, s",colombe,"taofifenua, ro","roumat, a",boudehent,lucu,moefana
16/03/2024,2024,fg,england,6n,yes,h,4,5,1,,w,33,31,2,baille,marchand,atonio,flament,meafou,cros,ollivon,alldritt,le garrec,ramos,bielle-biarrey,depoortere,fickou,penaud,barre,mauvaka,"taofifenua, s",colombe,"taofifenua, ro","roumat, a",boudehent,lucu,moefana
06/07/2024,2024,fg,argentina,tour,yes,a,4,7,3,,w,28,13,15,gros,barlot,colombe,"auradou, h",pesenti,nouchi,jegou,joseph,serin,hastoy,etien,frisch,gailleton,attissogbe,barre,baubigny,"taofifenua, s",bamba,"tuilagi, p",guillard,diallo,couilloud,jaminet
10/07/2024,2024,fg,uruguay,tour,yes,a,4,17,13,,w,43,28,15,beria,baubigny,laclayat,azagoh,vanverberghe,diallo,briatte,tixeront,couilloud,berdeu,jurand,darricarrere,vincent,favre,dubois,tarrit,"taofifenua, s",bamba,"tuilagi, p",peysson,jauneau,segonds,hulleu
13/07/2024,2024,fg,argentina,tour,yes,a,4,7,3,,l,25,33,-8,gros,barlot,colombe,guillard,pesenti,nouchi,cancoriet,joseph,serin,hastoy,etien,frisch,gailleton,attissogbe,barre,baubigny,"taofifenua, s",bamba,"tuilagi, p",briatte,briatte,jauneau,berdeu
09/11/2024,2024,fg,japan,eoyt,yes,h,4,14,10,,w,52,12,40,gros,mauvaka,tatafu,flament,meafou,cros,"roumat, a",alldritt,dupont,ramos,bielle-biarrey,moefana,gailleton,attissogbe,barre,marchand,wardi,colombe,guillard,boudehent,lucu,jalibert,fickou
16/11/2024,2024,fg,nz,eoyt,yes,h,4,2,-2,,w,30,29,1,gros,mauvaka,tatafu,flament,meafou,boudehent,"roumat, a",alldritt,dupont,ramos,bielle-biarrey,moefana,fickou,villiere,buros,marchand,wardi,colombe,"taofifenua, ro",guillard,ollivon,le garrec,gailleton
22/11/2024,2024,fg,argentina,eoyt,yes,h,4,5,1,,w,37,23,14,gros,mauvaka,atonio,flament,meafou,cros,boudehent,ollivon,dupont,ramos,bielle-biarrey,moefana,fickou,villiere,barre,marchand,wardi,colombe,"roumat, a",guillard,gazzotti,le garrec,gailleton
31/01/2025,2025,fg,wales,6n,yes,h,4,11,7,,w,43,0,43,gros,mauvaka,atonio,"roumat, a",meafou,cros,boudehent,alldritt,dupont,ntamack,bielle-biarrey,moefana,barassi,attissogbe,ramos,marchand,baille,colombe,"auradou, h",guillard,jegou,le garrec,gailleton
08/02/2025,2025,fg,england,6n,yes,a,4,7,3,,l,25,26,-1,gros,mauvaka,atonio,"roumat, a",meafou,cros,boudehent,alldritt,dupont,jalibert,bielle-biarrey,moefana,barassi,penaud,ramos,marchand,baille,colombe,"auradou, h",guillard,jegou,le garrec,gailleton
23/02/2025,2025,fg,italy,6n,yes,h,4,10,6,,w,73,24,49,gros,mauvaka,atonio,flament,guillard,cros,boudehent,alldritt,dupont,ramos,bielle-biarrey,moefana,barassi,attissogbe,barre,marchand,baille,aldegheri,"taofifenua, ro","roumat, a",jegou,jelonch,lucu
08/03/2025,2025,fg,ireland,6n,yes,a,4,2,-2,,w,42,27,15,wardi,mauvaka,atonio,flament,guillard,cros,boudehent,alldritt,dupont,ntamack,bielle-biarrey,moefana,barassi,penaud,ramos,marchand,baille,aldegheri,"auradou, h",meafou,jegou,jelonch,lucu
