date,year,coach,opposition,tournament,test,h / a,aus irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
09/07/2022,2022,dr,england,tour,yes,h,5,6,1,,l,17,25,-8,bell,porecki,tupou,philip,neville,leota,"hooper, m",valetini,white,lolesio,koroibete,kerevi,paisami,wright,petaia,"fainga'a, f",sio,slipper,frost,samu,"gordon, j",o'connor,perese
16/07/2022,2022,dr,england,tour,yes,h,6,5,-1,,l,17,21,-4,slipper,porecki,tupou,frost,philip,wilson,"hooper, m",valetini,white,lolesio,koroibete,kerevi,paisami,wright,hodge,"fainga'a, f",bell,alaalatoa,leota,samu,mcdermott,ikitau,vunivalu
06/08/2022,2022,dr,argentina,rc,yes,a,6,9,3,,w,41,26,15,slipper,fainga'a,alaalatoa,swain,philip,holloway,mcreight,valetini,white,cooper,koroibete,paisami,ikitau,petaia,wright,lonergan,gibbon,tupou,frost,leota,samu,"gordon, j",hodge
13/08/2022,2022,dr,argentina,rc,yes,a,6,9,3,,l,17,48,-31,slipper,lonergan,tupou,"arnold, ro",swain,holloway,mcreight,valetini,white,o'connor,koroibete,foketi,ikitau,petaia,wright,pollard,gibbon,fa'amausili,frost,samu,mcdermott,simone,hodge
27/08/2022,2022,dr,sa,rc,yes,h,7,3,-4,,w,25,17,8,slipper,"fainga'a, f",alaalatoa,"arnold, ro",philip,holloway,mcreight,valetini,white,lolesio,koroibete,paisami,ikitau,wright,hodge,porecki,sio,tupou,swain,leota,samu,mcdermott,kellaway
03/09/2022,2022,dr,sa,rc,yes,a,6,3,-3,,l,8,24,-16,slipper,"fainga'a, f",alaalatoa,"arnold, ro",philip,holloway,mcreight,valetini,white,lolesio,koroibete,paisami,ikitau,wright,hodge,porecki,sio,tupou,swain,leota,samu,"gordon, j",kellaway
15/09/2022,2022,dr,nz,rc,yes,h,8,4,-4,,l,37,39,-2,slipper,porecki,alaalatoa,holloway,philip,leota,samu,valetini,"gordon, j",foley,koroibete,foketi,ikitau,wright,kellaway,"fainga'a, f",sio,fa'amausili,swain,mcreight,white,hodge,petaia
24/09/2022,2022,dr,nz,rc,yes,a,9,4,-5,,l,14,40,-26,slipper,porecki,alaalatoa,holloway,neville,valetini,samu,wilson,"gordon, j",foley,koroibete,foketi,ikitau,wright,kellaway,"fainga'a, f",bell,fa'amausili,frost,mcreight,white,hodge,petaia
30/10/2022,2022,dr,scotland,tour,yes,a,9,6,-3,,w,16,15,1,slipper,porecki,alaalatoa,frost,neville,holloway,"hooper, m",valetini,mcdermott,foley,wright,paisami,ikitau,kellaway,banks,"fainga'a, f",gibbon,tupou,hanigan,gleeson,white,lolesio,campbell
05/11/2022,2022,dr,france,tour,yes,a,6,2,-4,,l,29,30,-1,slipper,porecki,tupou,frost,neville,holloway,"hooper, m",valetini,white,foley,wright,foketi,ikitau,kellaway,campbell,"fainga'a, f",gibbon,robertson,skelton,samu,"gordon, j",paisami,hodge
12/11/2022,2022,dr,italy,tour,yes,a,7,12,5,,l,27,28,-1,gibbon,"fainga'a, f",alaalatoa,swain,skelton,hanigan,mcreight,samu,gordon,lolesio,wright,paisami,ikitau,nawaqanitawase,campbell,lonergan,robertson,tupou,"neville,",gleeson,mcdermott,donaldson,petaia
19/11/2022,2022,dr,ireland,tour,yes,a,8,1,-7,,l,10,13,-3,slipper,porecki,alaalatoa,frost,neville,holloway,"hooper, m",valetini,white,foley,wright,paisami,ikitau,nawaqanitawase,kellaway,"fainga'a, f",robertson,tupou,skelton,samu,"gordon, j",lolesio,petaia
26/11/2022,2022,dr,wales,tour,yes,a,8,9,1,,w,39,34,5,slipper,"fainga'a, f",alaalatoa,frost,neville,holloway,mcreight,gleeson,"gordon, j",donaldson,nawaqanitawase,hodge,ikitau,petaia,wright,lonergan,robertson,talakai,hanigan,samu,mcdermott,lolesio,campbell
08/07/2023,2023,ej,sa,rc,yes,a,7,4,-3,,l,12,43,-31,slipper,porecki,alaalatoa,frost,skelton,hooper,hooper,valetini,white,cooper,koroibete,hodge,ikitau,vunivalu,wright,uelese,gibbon,nonggorr,arnold,samu,mcdermott,kerevi,gordon
15/07/2023,2023,ej,argentina,rc,yes,h,7,8,1,,l,31,34,-3,slipper,porecki,alaalatoa,"arnold, richie",skelton,holloway,mcreight,valetini,white,cooper,koroibete,kerevi,ikitau,nawaqanitawase,wright,uelese,bell,fa'amausili,philip,leota,kemeny,mcdermott,gordon
29/07/2023,2023,ej,nz,rc,yes,h,8,3,-5,,l,7,38,-31,bell,porecki,alaalatoa,frost,skelton,holloway,hooper,valetini,mcdermott,gordon,koroibete,kerevi,petaia,nawaqanitawase,kellaway,uelese,slipper,tupou,"arnold, richie",leota,white,cooper,perese
05/08/2023,2023,ej,nz,rc,yes,a,8,2,-6,,l,20,23,-3,bell,porecki,fa'amausili,frost,"arnold, ri","hooper, t",mcreight,valetini,mcdermott,gordon,koroibete,kerevi,petaia,nawaqanitawase,kellaway,faessler,slipper,nonggorr,skelton,leota,white,cooper,perese
27/08/2023,2023,ej,france,friendly,yes,a,8,4,-4,,l,17,41,-24,bell,porecki,tupou,"arnold, ri",skelton,"hooper, t",mcreight,valetini,mcdermott,gordon,vunivalu,foketi,petaia,nawaqanitawase,kellaway,faessler,"schoupp, b",nonggorr,philip,leota,gleeson,fines-leleiwasa,donaldson
09/09/2023,2023,ej,georgia,wc,yes,n,9,11,2,,w,35,15,20,bell,porecki,tupou,"arnold, richie",skelton,hooper,mcreight,valetini,mcdermott,gordon,koroibete,kerevi,petaia,nawaqanitawase,donaldson,faessler,schoupp,nonggorr,leota,gleeson,white,foketi,vunivalu
