date,opposition,shirt,player,started,minutes
21/03/2015,Ireland,22,Greig Tonks,n,10
21/03/2015,Ireland,12,Matt Scott,y,70
21/03/2015,Ireland,5,Jonny Gray,y,80
21/03/2015,Ireland,4,Jim Hamilton,y,53
15/08/2015,Ireland,6,Blair Cowan,y,58
15/08/2015,Ireland,11,Tim Visser,y,80
15/08/2015,Ireland,13,Richie Vernon,y,60
15/08/2015,Ireland,20,John Barclay,n,22
15/08/2015,Ireland,12,Pete Horne,y,80
15/08/2015,Ireland,17,Gordon Reid,n,35
15/08/2015,Ireland,2,Fraser Brown,y,52
15/08/2015,Ireland,5,Grant Gilchrist,y,80
15/08/2015,Ireland,1,Ryan Grant,y,45
15/08/2015,Ireland,16,Ross Ford,n,28
15/08/2015,Ireland,18,Mike Cusack,n,33
15/08/2015,Ireland,19,Rob Harley,n,24
15/08/2015,Ireland,14,Sean Lamont,y,80
15/08/2015,Ireland,21,Sam Hidalgo-Clyne,n,13
15/08/2015,Ireland,9,Henry Pyrgos,y,67
15/08/2015,Ireland,8,David Denton,y,80
15/08/2015,Ireland,15,Ruaridh Jackson,y,80
15/08/2015,Ireland,10,Greig Tonks,y,80
15/08/2015,Ireland,3,Jon Welsh,y,47
15/08/2015,Ireland,23,Matt Scott,n,20
15/08/2015,Ireland,22,Duncan Weir,n,0
15/08/2015,Ireland,7,Hugh Blake,y,80
15/08/2015,Ireland,4,Jim Hamilton,y,56
22/08/2015,Italy,19,Kevin Bryce,n,0
22/08/2015,Italy,13,Richie Vernon,y,69
22/08/2015,Italy,8,Adam Ashe,y,80
22/08/2015,Italy,7,John Hardie,y,56
22/08/2015,Italy,23,Damien Hoyland,n,17
22/08/2015,Italy,22,Pete Horne,n,11
22/08/2015,Italy,1,Gordon Reid,y,44
22/08/2015,Italy,17,Alasdair Dickinson,n,36
22/08/2015,Italy,11,Rory Hughes,y,63
22/08/2015,Italy,2,Stuart McInally,y,52
22/08/2015,Italy,20,Hamish Watson,n,24
22/08/2015,Italy,16,Ross Ford,n,28
22/08/2015,Italy,3,Mike Cusack,y,47
22/08/2015,Italy,4,Richie Gray,y,80
22/08/2015,Italy,6,Alasdair Strokosch,y,80
22/08/2015,Italy,14,Sean Lamont,y,80
22/08/2015,Italy,9,Sam Hidalgo-Clyne,y,62
22/08/2015,Italy,21,Henry Pyrgos,n,18
22/08/2015,Italy,15,Greig Tonks,y,80
22/08/2015,Italy,12,Matt Scott,y,80
22/08/2015,Italy,18,WP Nel,n,33
22/08/2015,Italy,10,Duncan Weir,y,80
22/08/2015,Italy,5,Jim Hamilton,y,80
29/08/2015,Italy,20,Blair Cowan,n,19
29/08/2015,Italy,11,Tim Visser,y,80
29/08/2015,Italy,7,John Barclay,y,61
29/08/2015,Italy,12,Pete Horne,y,52
29/08/2015,Italy,13,Mark Bennett,y,80
29/08/2015,Italy,17,Gordon Reid,n,17
29/08/2015,Italy,1,Alasdair Dickinson,y,63
29/08/2015,Italy,5,Grant Gilchrist,y,61
29/08/2015,Italy,16,Stuart McInally,n,24
29/08/2015,Italy,2,Ross Ford,y,56
29/08/2015,Italy,9,Greig Laidlaw,y,66
29/08/2015,Italy,10,Finn Russell,y,80
29/08/2015,Italy,19,Rob Harley,n,19
29/08/2015,Italy,14,Sean Lamont,y,80
29/08/2015,Italy,21,Henry Pyrgos,n,14
29/08/2015,Italy,6,Ryan Wilson,y,80
29/08/2015,Italy,8,David Denton,y,80
29/08/2015,Italy,22,Ruaridh Jackson,n,11
29/08/2015,Italy,15,Stuart Hogg,y,69
29/08/2015,Italy,18,Jon Welsh,n,17
29/08/2015,Italy,23,Matt Scott,n,28
29/08/2015,Italy,3,WP Nel,y,63
29/08/2015,Italy,4,Jonny Gray,y,80
05/09/2015,France,11,Tim Visser,y,80
05/09/2015,France,7,John Hardie,y,80
05/09/2015,France,13,Mark Bennett,y,80
05/09/2015,France,17,Gordon Reid,n,74
05/09/2015,France,1,Alasdair Dickinson,y,6
05/09/2015,France,16,Fraser Brown,n,15
05/09/2015,France,15,Sean Maitland,y,80
05/09/2015,France,2,Ross Ford,y,65
05/09/2015,France,14,Tommy Seymour,y,67
05/09/2015,France,9,Greig Laidlaw,y,80
05/09/2015,France,10,Finn Russell,y,80
05/09/2015,France,4,Richie Gray,y,80
05/09/2015,France,20,Alasdair Strokosch,n,26
05/09/2015,France,23,Sean Lamont,n,13
05/09/2015,France,21,Sam Hidalgo-Clyne,n,0
05/09/2015,France,19,Tim Swinson,n,18
05/09/2015,France,6,Ryan Wilson,y,54
05/09/2015,France,8,David Denton,y,80
05/09/2015,France,18,Jon Welsh,n,21
05/09/2015,France,12,Matt Scott,y,80
05/09/2015,France,3,WP Nel,y,59
05/09/2015,France,22,Duncan Weir,n,0
05/09/2015,France,5,Jonny Gray,y,62
23/09/2015,Japan,7,John Hardie,y,80
23/09/2015,Japan,22,Pete Horne,n,5
23/09/2015,Japan,13,Mark Bennett,y,75
23/09/2015,Japan,1,Alasdair Dickinson,y,65
23/09/2015,Japan,16,Fraser Brown,n,10
23/09/2015,Japan,4,Grant Gilchrist,y,50
23/09/2015,Japan,23,Sean Maitland,n,15
23/09/2015,Japan,17,Ryan Grant,n,15
23/09/2015,Japan,2,Ross Ford,y,70
23/09/2015,Japan,14,Tommy Seymour,y,80
23/09/2015,Japan,9,Greig Laidlaw,y,80
23/09/2015,Japan,10,Finn Russell,y,80
23/09/2015,Japan,19,Richie Gray,n,30
23/09/2015,Japan,20,Josh Strauss,n,23
23/09/2015,Japan,11,Sean Lamont,y,80
23/09/2015,Japan,21,Henry Pyrgos,n,0
23/09/2015,Japan,6,Ryan Wilson,y,57
23/09/2015,Japan,8,David Denton,y,80
23/09/2015,Japan,15,Stuart Hogg,y,65
23/09/2015,Japan,18,Jon Welsh,n,10
23/09/2015,Japan,12,Matt Scott,y,80
23/09/2015,Japan,3,WP Nel,y,70
23/09/2015,Japan,5,Jonny Gray,y,80
27/09/2015,USA,16,Kevin Bryce,n,2
27/09/2015,USA,11,Tim Visser,y,80
27/09/2015,USA,12,Pete Horne,y,55
27/09/2015,USA,13,Mark Bennett,y,80
27/09/2015,USA,17,Alasdair Dickinson,n,40
27/09/2015,USA,20,Fraser Brown,n,34
27/09/2015,USA,5,Grant Gilchrist,y,18
27/09/2015,USA,14,Sean Maitland,y,80
27/09/2015,USA,1,Ryan Grant,y,40
27/09/2015,USA,2,Ross Ford,y,78
27/09/2015,USA,21,Greig Laidlaw,n,28
27/09/2015,USA,10,Finn Russell,y,60
27/09/2015,USA,4,Richie Gray,y,80
27/09/2015,USA,8,Josh Strauss,y,80
27/09/2015,USA,6,Alasdair Strokosch,y,80
27/09/2015,USA,19,Tim Swinson,n,62
27/09/2015,USA,9,Henry Pyrgos,y,52
27/09/2015,USA,7,Ryan Wilson,y,46
27/09/2015,USA,15,Stuart Hogg,y,80
27/09/2015,USA,3,Jon Welsh,y,40
27/09/2015,USA,23,Matt Scott,n,25
27/09/2015,USA,18,WP Nel,n,40
27/09/2015,USA,22,Duncan Weir,n,20
03/10/2015,South Africa,7,Blair Cowan,y,80
03/10/2015,South Africa,11,Tim Visser,y,80
03/10/2015,South Africa,13,Richie Vernon,y,65
03/10/2015,South Africa,22,Pete Horne,n,15
03/10/2015,South Africa,1,Gordon Reid,y,50
03/10/2015,South Africa,17,Alasdair Dickinson,n,30
03/10/2015,South Africa,2,Fraser Brown,y,63
03/10/2015,South Africa,16,Ross Ford,n,17
03/10/2015,South Africa,14,Tommy Seymour,y,80
03/10/2015,South Africa,9,Greig Laidlaw,y,69
03/10/2015,South Africa,4,Richie Gray,y,80
03/10/2015,South Africa,6,Josh Strauss,y,50
03/10/2015,South Africa,23,Sean Lamont,n,17
03/10/2015,South Africa,21,Sam Hidalgo-Clyne,n,11
03/10/2015,South Africa,19,Tim Swinson,n,12
03/10/2015,South Africa,20,Ryan Wilson,n,30
03/10/2015,South Africa,8,David Denton,y,80
03/10/2015,South Africa,15,Stuart Hogg,y,63
03/10/2015,South Africa,18,Jon Welsh,n,17
03/10/2015,South Africa,12,Matt Scott,y,80
03/10/2015,South Africa,3,WP Nel,y,63
03/10/2015,South Africa,10,Duncan Weir,y,80
03/10/2015,South Africa,5,Jonny Gray,y,68
10/10/2015,Samoa,7,John Hardie,y,80
10/10/2015,Samoa,22,Pete Horne,n,4
10/10/2015,Samoa,13,Mark Bennett,y,80
10/10/2015,Samoa,17,Gordon Reid,n,5
10/10/2015,Samoa,1,Alasdair Dickinson,y,75
10/10/2015,Samoa,16,Fraser Brown,n,15
10/10/2015,Samoa,14,Sean Maitland,y,80
10/10/2015,Samoa,2,Ross Ford,y,65
10/10/2015,Samoa,11,Tommy Seymour,y,80
10/10/2015,Samoa,9,Greig Laidlaw,y,80
10/10/2015,Samoa,10,Finn Russell,y,80
10/10/2015,Samoa,4,Richie Gray,y,80
10/10/2015,Samoa,20,Josh Strauss,n,27
10/10/2015,Samoa,23,Sean Lamont,n,10
10/10/2015,Samoa,19,Tim Swinson,n,18
10/10/2015,Samoa,21,Henry Pyrgos,n,0
10/10/2015,Samoa,6,Ryan Wilson,y,53
10/10/2015,Samoa,8,David Denton,y,80
10/10/2015,Samoa,15,Stuart Hogg,y,70
10/10/2015,Samoa,18,Jon Welsh,n,0
10/10/2015,Samoa,12,Matt Scott,y,76
10/10/2015,Samoa,3,WP Nel,y,80
10/10/2015,Samoa,5,Jonny Gray,y,62
18/10/2015,Australia,6,Blair Cowan,y,67
18/10/2015,Australia,22,Richie Vernon,n,10
18/10/2015,Australia,7,John Hardie,y,80
18/10/2015,Australia,12,Pete Horne,y,70
18/10/2015,Australia,13,Mark Bennett,y,80
18/10/2015,Australia,17,Gordon Reid,n,33
18/10/2015,Australia,1,Alasdair Dickinson,y,47
18/10/2015,Australia,16,Fraser Brown,n,26
18/10/2015,Australia,14,Sean Maitland,y,80
18/10/2015,Australia,2,Ross Ford,y,54
18/10/2015,Australia,11,Tommy Seymour,y,62
18/10/2015,Australia,9,Greig Laidlaw,y,80
18/10/2015,Australia,10,Finn Russell,y,80
18/10/2015,Australia,4,Richie Gray,y,80
18/10/2015,Australia,20,Josh Strauss,n,13
18/10/2015,Australia,23,Sean Lamont,n,18
18/10/2015,Australia,19,Tim Swinson,n,13
18/10/2015,Australia,21,Henry Pyrgos,n,0
18/10/2015,Australia,8,David Denton,y,80
18/10/2015,Australia,15,Stuart Hogg,y,80
18/10/2015,Australia,18,Jon Welsh,n,5
18/10/2015,Australia,3,WP Nel,y,75
18/10/2015,Australia,5,Jonny Gray,y,67
06/02/2016,England,20,Blair Cowan,n,21
06/02/2016,England,23,Duncan Taylor,n,14
06/02/2016,England,6,John Barclay,y,59
06/02/2016,England,7,John Hardie,y,80
06/02/2016,England,13,Mark Bennett,y,80
06/02/2016,England,17,Gordon Reid,n,22
06/02/2016,England,1,Alasdair Dickinson,y,58
06/02/2016,England,14,Sean Maitland,y,80
06/02/2016,England,16,Stuart McInally,n,15
06/02/2016,England,2,Ross Ford,y,65
06/02/2016,England,11,Tommy Seymour,y,66
06/02/2016,England,9,Greig Laidlaw,y,80
06/02/2016,England,10,Finn Russell,y,80
06/02/2016,England,4,Richie Gray,y,80
06/02/2016,England,18,Zander Fagerson,n,11
06/02/2016,England,21,Sam Hidalgo-Clyne,n,0
06/02/2016,England,19,Tim Swinson,n,10
06/02/2016,England,8,David Denton,y,80
06/02/2016,England,15,Stuart Hogg,y,80
06/02/2016,England,12,Matt Scott,y,80
06/02/2016,England,3,WP Nel,y,69
06/02/2016,England,22,Duncan Weir,n,0
06/02/2016,England,5,Jonny Gray,y,70
13/02/2016,Wales,20,Blair Cowan,n,8
13/02/2016,Wales,12,Duncan Taylor,y,80
13/02/2016,Wales,6,John Barclay,y,72
13/02/2016,Wales,7,John Hardie,y,80
13/02/2016,Wales,13,Mark Bennett,y,80
13/02/2016,Wales,17,Gordon Reid,n,13
13/02/2016,Wales,1,Alasdair Dickinson,y,67
13/02/2016,Wales,16,Stuart McInally,n,13
13/02/2016,Wales,2,Ross Ford,y,67
13/02/2016,Wales,11,Tommy Seymour,y,80
13/02/2016,Wales,9,Greig Laidlaw,y,77
13/02/2016,Wales,10,Finn Russell,y,68
13/02/2016,Wales,4,Richie Gray,y,80
13/02/2016,Wales,18,Zander Fagerson,n,0
13/02/2016,Wales,14,Sean Lamont,y,80
13/02/2016,Wales,21,Sam Hidalgo-Clyne,n,3
13/02/2016,Wales,19,Tim Swinson,n,12
13/02/2016,Wales,8,David Denton,y,80
13/02/2016,Wales,23,Ruaridh Jackson,n,51
13/02/2016,Wales,15,Stuart Hogg,y,29
13/02/2016,Wales,3,WP Nel,y,80
13/02/2016,Wales,22,Duncan Weir,n,12
13/02/2016,Wales,5,Jonny Gray,y,68
27/02/2016,Italy,12,Duncan Taylor,y,80
27/02/2016,Italy,11,Tim Visser,y,74
27/02/2016,Italy,6,John Barclay,y,80
27/02/2016,Italy,7,John Hardie,y,80
27/02/2016,Italy,22,Pete Horne,n,16
27/02/2016,Italy,13,Mark Bennett,y,64
27/02/2016,Italy,17,Rory Sutherland,n,0
27/02/2016,Italy,1,Alasdair Dickinson,y,80
27/02/2016,Italy,18,Moray Low,n,0
27/02/2016,Italy,16,Stuart McInally,n,16
27/02/2016,Italy,2,Ross Ford,y,64
27/02/2016,Italy,14,Tommy Seymour,y,80
27/02/2016,Italy,9,Greig Laidlaw,y,80
27/02/2016,Italy,10,Finn Russell,y,80
27/02/2016,Italy,4,Richie Gray,y,79
27/02/2016,Italy,20,Josh Strauss,n,13
27/02/2016,Italy,23,Sean Lamont,n,6
27/02/2016,Italy,21,Sam Hidalgo-Clyne,n,0
27/02/2016,Italy,19,Tim Swinson,n,1
27/02/2016,Italy,8,Ryan Wilson,y,67
27/02/2016,Italy,15,Stuart Hogg,y,80
27/02/2016,Italy,3,WP Nel,y,80
27/02/2016,Italy,5,Jonny Gray,y,80
13/03/2016,France,5,Richie Gray,y,80
13/03/2016,France,8,Josh Strauss,y,61
13/03/2016,France,23,Sean Lamont,n,0
13/03/2016,France,21,Sam Hidalgo-Clyne,n,0
13/03/2016,France,19,Tim Swinson,n,2
13/03/2016,France,20,Ryan Wilson,n,19
13/03/2016,France,15,Stuart Hogg,y,80
13/03/2016,France,3,WP Nel,y,72
13/03/2016,France,4,Jonny Gray,y,78
13/03/2016,France,13,Duncan Taylor,y,80
13/03/2016,France,11,Tim Visser,y,80
13/03/2016,France,6,John Barclay,y,80
13/03/2016,France,7,John Hardie,y,80
13/03/2016,France,22,Pete Horne,n,74
13/03/2016,France,17,Rory Sutherland,n,0
13/03/2016,France,1,Alasdair Dickinson,y,80
13/03/2016,France,18,Moray Low,n,8
13/03/2016,France,16,Stuart McInally,n,12
13/03/2016,France,2,Ross Ford,y,68
13/03/2016,France,14,Tommy Seymour,y,80
13/03/2016,France,9,Greig Laidlaw,y,80
13/03/2016,France,12,Alex Dunbar,y,80
13/03/2016,France,10,Finn Russell,y,6
19/03/2016,Ireland,13,Duncan Taylor,y,80
19/03/2016,Ireland,11,Tim Visser,y,69
19/03/2016,Ireland,6,John Barclay,y,80
19/03/2016,Ireland,7,John Hardie,y,53
19/03/2016,Ireland,22,Pete Horne,n,17
19/03/2016,Ireland,17,Rory Sutherland,n,14
19/03/2016,Ireland,1,Alasdair Dickinson,y,66
19/03/2016,Ireland,18,Moray Low,n,12
19/03/2016,Ireland,16,Stuart McInally,n,30
19/03/2016,Ireland,2,Ross Ford,y,50
19/03/2016,Ireland,14,Tommy Seymour,y,80
19/03/2016,Ireland,9,Greig Laidlaw,y,80
19/03/2016,Ireland,12,Alex Dunbar,y,80
19/03/2016,Ireland,4,Richie Gray,y,80
19/03/2016,Ireland,19,Rob Harley,n,17
