date,year,coach,opposition,tournament,test,h / a,scotland irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
24/02/2024,2024,gt,england,6n,yes,h,6,5,-1,,w,30,21,9,schoeman,turner,"fagerson, z",gilchrist,cummings,ritchie,darge,dempsey,white,russell,van der merwe,tuipulotu,jones,steyn,kinghorn,ashman,hepburn,millar mills,skinner,christie,"horne, g",healy,redpath
09/03/2024,2024,gt,italy,6n,yes,a,6,10,4,,l,29,31,-2,schoeman,turner,"fagerson, z",gilchrist,cummings,christie,darge,dempsey,"horne, g",russell,van der merwe,redpath,jones,steyn,kinghorn,ashman,hepburn,millar mills,skinner,ritchie,"fagerson, m",price,rowe
16/03/2024,2024,gt,ireland,6n,yes,a,6,2,-4,,l,13,17,-4,schoeman,turner,"fagerson, z",gilchrist,cummings,christie,darge,dempsey,white,russell,van der merwe,mcdowall,jones,steyn,kinghorn,ashman,sutherland,sebastian,skinner,"fagerson, m","horne, g",redpath,rowe
06/07/2024,2024,gt,canada,tour,yes,a,6,21,15,,w,73,12,61,sutherland,"richardson, d",millar mills,williamson,young,"brown, g",crosbie,bayliss,warr,thompson,reed,mcdowall,currie,dobie,paterson,"smith, r",mcbeth,hurd,"johnson, e","fagerson, m",healy,steyn,mccann
12/07/2024,2024,gt,usa,tour,yes,a,6,18,12,,w,42,7,35,schoeman,ashman,walker,craig,cummings,ritchie,darge,"fagerson, m","horne, g",hastings,van der merwe,tuipulotu,jones,steyn,rowe,"smith, r",sutherland,millar mills,williamson,crosbie,dobie,thompson,currie
20/07/2024,2024,gt,chile,tour,yes,a,6,22,16,,w,52,11,41,mcbeth,"richardson, d",hurd,craig,"johnson, e","brown, g",ritchie,bayliss,warr,healy,reed,tuipulotu,steyn,dobie,rowe,harrison,schoeman,sebastian,williamson,darge,hastings,mcdowall,currie
27/07/2024,2024,gt,uruguay,tour,yes,a,6,17,11,,w,31,19,12,sutherland,ashman,sebastian,williamson,"brown, g",crosbie,darge,"fagerson, m","horne, g",healy,van der merwe,mcdowall,jones,rowe,paterson,harrison,schoeman,walker,"johnson, e",ritchie,dobie,hastings,steyn
02/11/2024,2024,gt,fiji,eoyt,yes,h,7,9,2,,w,57,17,40,schoeman,ashman,"fagerson, z",gilchrist,cummings,"fagerson, m",darge,dempsey,price,hastings,van der merwe,tuipulotu,jones,"graham, d",rowe,"richardson, d",sutherland,rae,williamson,"brown, g",dobie,jordan,mcdowall
10/11/2024,2024,gt,sa,eoyt,yes,h,7,2,-5,,l,15,32,-17,schoeman,ashman,"fagerson, z",gilchrist,cummings,"fagerson, m",darge,dempsey,white,russell,van der merwe,tuipulotu,jones,kinghorn,jordan,"richardson, d",sutherland,millar mills,williamson,bayliss,ritchie,dobie,mcdowall
16/11/2024,2024,gt,portugal,eoyt,yes,h,6,15,9,,w,59,21,38,bhatti,harrison,hurd,craig,samuel,crosbie,muncaster,bayliss,"horne, g",hastings,reed,mcdowall,hutchinson,"graham, d",jordan,matthews,sutherland,millar mills,"johnson, e",douglas,dobie,currie,rowe
24/11/2024,2024,gt,australia,eoyt,yes,h,6,8,2,,w,27,13,14,schoeman,ashman,"fagerson, z",gilchrist,cummings,ritchie,darge,"fagerson, m",white,russell,van der merwe,tuipulotu,jones,"graham, d",kinghorn,"richardson, d",sutherland,hurd,craig,bayliss,"horne, g",jordan,rowe
01/02/2025,2025,gt,italy,6n,yes,h,6,10,4,,w,31,19,12,schoeman,cherry,"fagerson, z","gray, j",gilchrist,ritchie,darge,"fagerson, m",white,russell,van der merwe,mcdowall,jones,"graham, d",kinghorn,ashman,sutherland,hurd,"brown, g",dempsey,"horne, g",jordan,rowe
