date,year,coach,opposition,tournament,test,h / a,italy irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10/11/2018,2018,cos,georgia,eoyt,yes,h,14,13,-1,,w,28,17,11,lovotti,ghiraldini,ferrari,zanni,budd,negri,polledri,steyn,tebaldi,allan,bellini,castello,campagnaro,benvenuti,sperandio,bigi,traore,pasquali,fuser,meyer,palazzani,canna,morisi
17/11/2018,2018,cos,australia,eoyt,yes,h,13,7,-6,,l,7,26,-19,lovotti,ghiraldini,ferrari,zanni,budd,negri,polledri,steyn,tebaldi,allan,bellini,castello,campagnaro,benvenuti,hayward,bigi,traore,pasquali,fuser,meyer,palazzani,canna,morisi
24/11/2018,2018,cos,nz,eoyt,yes,h,14,1,-13,,l,3,66,-63,lovotti,ghiraldini,ferrari,zanni,budd,negri,polledri,steyn,tebaldi,allan,sperandio,castello,campagnaro,benvenuti,hayward,bigi,traore,pasquali,fuser,meyer,palazzani,morisi,padovani
02/02/2019,2019,cos,scotland,6n,yes,a,15,7,-8,,l,20,33,-13,lovotti,ghiraldini,ferrari,sisi,budd,negri,steyn,parisse,palazzani,allan,campagnaro,castello,morisi,esposito,hayward,bigi,traore,pasquali,ruzza,tuivaiti,benvenuti,mckinley,padovani
09/02/2019,2019,cos,wales,6n,yes,h,15,4,-11,,l,15,26,-11,quaglio,ghiraldini,ferrari,sisi,budd,negri,steyn,parisse,palazzani,allan,esposito,morisi,campagnaro,padovani,hayward,bigi,traore,pasquali,ruzza,barbini,gori,mckinley,benvenuti
24/02/2019,2019,cos,ireland,6n,yes,h,15,2,-13,,l,16,26,-10,lovotti,ghiraldini,ferrari,ruzza,budd,tuivaiti,mbanda,steyn,tebaldi,allan,esposito,morisi,campagnaro,padovani,hayward,bigi,traore,pasquali,sisi,zanni,palazzani,mckinley,castello
09/03/2019,2019,cos,england,6n,yes,a,14,4,-10,,l,14,57,-43,lovotti,bigi,ferrari,ruzza,budd,negri,steyn,parisse,tebaldi,allan,esposito,campagnaro,morisi,padovani,hayward,ghiraldini,traore,pasquali,sisi,polledri,palazzani,mckinley,castello
16/03/2019,2019,cos,france,6n,yes,h,14,8,-6,,l,14,25,-11,lovotti,ghiraldini,pasquali,sisi,ruzza,steyn,polledri,parisse,tebaldi,allan,esposito,morisi,zanon,padovani,hayward,,traore,ferrari,zanni,negri,palazzani,mckinley,sperandio
10/08/2019,2019,cos,ireland,friendly,yes,a,14,3,-11,,l,10,29,-19,quaglio,fabiani,riccioni,zanni,budd,licata,mbanda,tuivaiti,palazzani,canna,bisegni,,benvenuti,esposito,padovani,zani,lovotti,ferrari,lazzaroni,giammarioli,braley,mckinley,minozzi
17/08/2019,2019,cos,russia,friendly,yes,h,13,20,7,,w,85,15,70,lovotti,bigi,pasquali,sisi,ruzza,steyn,polledri,parisse,tebaldi,allan,minozzi,morisi,campagnaro,bellini,hayward,zani,ferrari,riccioni,zanni,negri,braley,canna,padovani
30/08/2019,2019,cos,france,friendly,yes,a,13,8,-5,,l,19,47,-28,ferrari,bigi,riccioni,zanni,ruzza,steyn,polledri,parisse,tebaldi,allan,minozzi,morisi,campagnaro,bellini,hayward,zani,lovotti,pasquali,budd,negri,palazzani,canna,benvenuti
06/09/2019,2019,cos,england,friendly,yes,a,13,3,-10,,l,0,37,-37,quaglio,fabiani,ferrari,sisi,budd,negri,steyn,tuivaiti,braley,canna,padovani,benvenuti,bisegni,bellini,hayward,zani,lovotti,riccioni,ruzza,zanni,mbanda,palazzani,allan
22/09/2019,2019,cos,namibia,wc,yes,n,14,23,9,,w,47,22,25,quaglio,bigi,pasquali,zanni,ruzza,steyn,mbanda,parisse,tebaldi,allan,bellini,morisi,benvenuti,padovani,hayward,fabiani,ferrari,riccioni,budd,polledri,palazzani,canna,minozzi
26/09/2019,2019,cos,canada,wc,yes,n,14,22,8,,w,48,7,41,lovotti,bigi,ferrari,sisi,budd,negri,polledri,steyn,braley,allan,bisegni,hayward,campagnaro,benvenuti,minozzi,zani,quaglio,riccioni,ruzza,mbanda,palazzani,canna,bellini
04/10/2019,2019,cos,sa,wc,yes,n,14,5,-9,,l,3,49,-46,lovotti,bigi,ferrari,sisi,budd,steyn,polledri,parisse,tebaldi,allan,campagnaro,hayward,morisi,benvenuti,minozzi,zani,quaglio,riccioni,ruzza,zanni,negri,braley,canna
01/02/2020,2020,fs,wales,6n,yes,a,12,4,-8,,l,0,42,-42,lovotti,bigi,zilocchi,zanni,"cannone, n",polledri,negri,steyn,braley,allan,bellini,canna,morisi,"sarto, l",minozzi,zani,fischetti,riccioni,lazzaroni,budd,licata,palazzani,hayward
09/02/2020,2020,fs,france,6n,yes,a,12,6,-6,,l,22,35,-13,lovotti,bigi,zilocchi,budd,"cannone, n",polledri,negri,steyn,braley,allan,minozzi,canna,morisi,bellini,hayward,zani,fischetti,riccioni,tuivaiti,ruzza,licata,palazzani,bisegni
22/02/2020,2020,fs,scotland,6n,yes,h,13,9,-4,,l,0,17,-17,lovotti,bigi,zilocchi,zanni,"cannone, n",polledri,negri,steyn,braley,allan,minozzi,canna,morisi,bellini,hayward,zani,fischetti,riccioni,lazzaroni,budd,licata,palazzani,bisegni
24/10/2020,2020,fs,ireland,6n,yes,a,14,4,-10,,l,17,50,-33,fischetti,bigi,zilocchi,lazzaroni,"cannone, n",negri,steyn,polledri,violi,"garbisi, p",bellini,canna,morisi,padovani,hayward,lucchesi,ferrari,ceccarelli,sisi,meyer,mbanda,braley,mori
31/10/2020,2020,fs,england,6n,yes,h,14,3,-11,,l,5,34,-29,fischetti,bigi,zilocchi,lazzaroni,"cannone, n",negri,steyn,polledri,violi,"garbisi, p",bellini,canna,morisi,padovani,minozzi,lucchesi,ferrari,ceccarelli,sisi,meyer,mbanda,palazzani,mori
14/11/2020,2020,fs,scotland,eoyt,yes,h,14,7,-7,,l,17,28,-11,fischetti,bigi,zilocchi,lazzaroni,"cannone, n",negri,steyn,polledri,violi,"garbisi, p",bellini,canna,zanon,trulla,minozzi,ghiraldini,ferrari,ceccarelli,meyer,mbanda,varney,allan,mori
28/11/2020,2020,fs,france,tour,yes,a,14,4,-10,,l,5,36,-31,fischetti,bigi,zilocchi,lazzaroni,"cannone, n",mbanda,meyer,steyn,violi,"garbisi, p",sperandio,canna,zanon,trulla,minozzi,ghiraldini,ferrari,ceccarelli,stoian,lamaro,varney,allan,mori
05/12/2020,2020,fs,wales,tour,yes,a,14,9,-5,,l,18,38,-20,fischetti,bigi,zilocchi,lazzaroni,"cannone, n",mbanda,meyer,steyn,varney,"garbisi, p",ioane,canna,zanon,sperandio,trulla,ghiraldini,ferrari,ceccarelli,stoian,lamaro,palazzani,allan,mori
06/02/2021,2021,fs,france,6n,yes,h,14,4,-10,,l,10,50,-40,rimpelli,bigi,riccioni,lazzaroni,sisi,negri,meyer,lamaro,varney,"garbisi, p",ioane,brex,zanon,sperandio,trulla,lucchesi,fischetti,zilocchi,"cannone, n",ruzza,mbanda,palazzani,canna
13/02/2021,2021,fs,england,6n,yes,a,14,3,-11,,l,18,41,-23,lovotti,bigi,riccioni,lazzaroni,sisi,negri,meyer,lamaro,varney,"garbisi, p",ioane,canna,brex,sperandio,trulla,lucchesi,fischetti,zilocchi,"cannone, n",ruzza,palazzani,allan,mori
27/02/2021,2021,fs,ireland,6n,yes,h,14,6,-8,,l,10,48,-38,lovotti,bigi,riccioni,lazzaroni,sisi,negri,meyer,lamaro,braley,"garbisi, p",ioane,canna,brex,sperandio,trulla,lucchesi,traore,zilocchi,"cannone, n",mbanda,palazzani,mori,bellini
13/03/2021,2021,fs,wales,6n,yes,h,15,5,-10,,l,7,48,-41,fischetti,bigi,zilocchi,"cannone, n",sisi,negri,meyer,lamaro,varney,"garbisi, p",ioane,canna,brex,bellini,trulla,fabiani,lovotti,riccioni,lazzaroni,mbanda,violi,mori,padovani
20/03/2021,2021,fs,scotland,6n,yes,a,15,9,-6,,l,10,52,-42,fischetti,bigi,riccioni,"cannone, n",ruzza,negri,meyer,lamaro,varney,"garbisi, p",ioane,mori,brex,bellini,padovani,lucchesi,lovotti,zilocchi,favretto,mbanda,violi,canna,zanon
06/11/2021,2021,kc,nz,eoyt,yes,h,14,1,-13,,l,9,47,-38,fischetti,lucchesi,riccioni,fuser,sisi,negri,lamaro,giammarioli,varney,"garbisi, p",ioane,zanon,brex,mori,minozzi,bigi,nemer,ceccarelli,"cannone, n",ruzza,steyn,braley,canna
13/11/2021,2021,kc,argentina,eoyt,yes,h,14,8,-6,,l,16,37,-21,nemer,lucchesi,riccioni,"cannone, n",sisi,negri,lamaro,licata,varney,"garbisi, p",ioane,morisi,brex,padovani,minozzi,bigi,fischetti,ceccarelli,fuser,ruzza,pettinelli,fusco,mori
20/11/2021,2021,kc,uruguay,eoyt,yes,h,14,17,3,,w,17,10,7,fischetti,bigi,nemer,fuser,ruzza,negri,lamaro,steyn,braley,"garbisi, p",ioane,morisi,brex,bruno,padovani,faiva,traore,ceccarelli,sisi,licata,fusco,canna,tavuyara
06/02/2022,2022,kc,france,6n,yes,a,14,5,-9,,l,10,37,-27,fischetti,lucchesi,pasquali,"cannone, n",ruzza,negri,lamaro,halafihi,varney,"garbisi, p",ioane,zanon,brex,menoncello,padovani,faiva,nemer,zilocchi,fuser,pettinelli,zuliani,braley,marin
13/02/2022,2022,kc,england,6n,yes,h,14,4,-10,,l,0,33,-33,fischetti,lucchesi,ceccarelli,"cannone, n",ruzza,steyn,lamaro,halafihi,varney,"garbisi, p",ioane,zanon,brex,mori,padovani,faiva,traore,pasquali,zambonin,negri,pettinelli,fusco,marin
27/02/2022,2022,kc,ireland,6n,yes,a,14,5,-9,,l,6,57,-51,fischetti,lucchesi,ceccarelli,"cannone, n",ruzza,pettinelli,lamaro,halafihi,varney,"garbisi, p",ioane,marin,brex,bruno,padovani,faiva,nemer,pasquali,sisi,zuliani,steyn,fusco,zanon
12/03/2022,2022,kc,scotland,6n,yes,h,14,8,-6,,l,22,33,-11,fischetti,nicotera,ceccarelli,"cannone, n",ruzza,pettinelli,lamaro,halafihi,braley,"garbisi, p",ioane,marin,brex,bruno,padovani,bigi,nemer,pasquali,sisi,steyn,fusco,zanon,capuozzo
19/03/2022,2022,kc,wales,6n,yes,a,14,8,-6,,w,22,21,1,fischetti,nicotera,ceccarelli,fuser,ruzza,pettinelli,lamaro,halafihi,braley,"garbisi, p",ioane,marin,brex,padovani,capuozzo,bigi,traore,alongi,sisi,"cannone, n",steyn,fusco,zanon
25/06/2022,2022,kc,portugal,tour,yes,a,14,20,6,,w,38,31,7,fischetti,faiva,ferrari,sisi,zambonin,pettinelli,lamaro,giammarioli,fusco,da re,padovani,marin,brex,trulla,capuozzo,lucchesi,traore,neculai,fuser,ruzza,zuliani,albanese,zanon
01/07/2022,2022,kc,romania,tour,yes,a,14,17,3,,w,45,13,32,nemer,lucchesi,ferrari,"cannone, n",fuser,ruzza,zuliani,halafihi,"garbisi, a",allan,bruno,zanon,menoncello,padovani,capuozzo,nicotera,traore,neculai,sisi,lamaro,giammarioli,albanese,"garbisi, p"
