date,year,coach,opposition,tournament,test,h / a,italy irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
09/03/2024,2024,gq,scotland,6n,yes,h,10,6,-4,,w,31,29,2,fischetti,nicotera,ferrari,"cannone, n",ruzza,negri,lamaro,vintcent,page-relo,"garbisi, p",ioane,menoncello,brex,lynagh,capuozzo,lucchesi,spagnolo,zilocchi,zambonin,"cannone, l",varney,marin,mori
16/03/2024,2024,gq,wales,6n,yes,a,9,8,-1,,w,24,21,3,fischetti,nicotera,ferrari,"cannone, n",ruzza,negri,lamaro,"cannone, l",varney,"garbisi, p",ioane,menoncello,brex,lynagh,pani,lucchesi,spagnolo,zilocchi,favretto,vintcent,zuliani,page-relo,marin
05/07/2024,2024,gq,samoa,tour,yes,a,8,14,6,,l,25,33,-8,fischetti,lucchesi,ferrari,"cannone, n",ruzza,izekor,lamaro,vintcent,varney,"garbisi, p",ioane,menoncello,brex,lynagh,gallagher,zarantonello,spagnolo,zilocchi,iachizzi,zuliani,"cannone, l",page-relo,marin
12/07/2024,2024,gq,tonga,tour,yes,a,9,15,6,,w,36,14,22,fischetti,nicotera,riccioni,iachizzi,ruzza,zuliani,lamaro,"cannone, l",page-relo,"garbisi, p",ioane,menoncello,brex,trulla,capuozzo,lucchesi,spagnolo,ferrari,zambonin,"cannone, n",vintcent,"garbisi, a",marin
21/07/2024,2024,gq,japan,tour,yes,a,8,14,6,,w,42,14,28,fischetti,nicotera,riccioni,"cannone, n",zambonin,vintcent,lamaro,"cannone, l",page-relo,"garbisi, p",trulla,menoncello,brex,lynagh,capuozzo,lucchesi,spagnolo,ferrari,ruzza,zuliani,"garbisi, a",marin,zanon
09/11/2024,2024,gq,argentina,eoyt,yes,h,8,6,-2,,l,18,50,-32,spagnolo,lucchesi,riccioni,"cannone, n",ruzza,negri,lamaro,"cannone, l",page-relo,"garbisi, p",ioane,menoncello,brex,lynagh,capuozzo,nicotera,fischetti,ferrari,lamb,zuliani,"garbisi, a",allan,zanon
17/11/2024,2024,gq,georgia,eoyt,yes,h,10,12,2,,w,20,17,3,fischetti,nicotera,ferrari,"cannone, n",lamb,negri,lamaro,vintcent,"garbisi, a","garbisi, p",ioane,menoncello,brex,trulla,gallagher,lucchesi,spagnolo,ceccarelli,favretto,zuliani,fusco,marin,bertaccini
23/11/2024,2024,gq,nz,eoyt,yes,h,10,3,-7,,l,11,29,-18,fischetti,lucchesi,riccioni,ruzza,lamb,negri,zuliani,vintcent,page-relo,"garbisi, p",ioane,menoncello,brex,trulla,capuozzo,nicotera,spagnolo,ferrari,"cannone, n",izekor,"garbisi, a",marin,zanon
01/02/2025,2025,gq,scotland,6n,yes,a,10,6,-4,,l,19,31,-12,fischetti,nicotera,ferrari,lamb,ruzza,negri,lamaro,"cannone, l",page-relo,"garbisi, p",ioane,menoncello,brex,capuozzo,allan,lucchesi,rizzoli,riccioni,"cannone, n",zuliani,vintcent,"garbisi, a",gesi
08/02/2025,2025,gq,wales,6n,yes,h,10,11,1,,w,22,15,7,fischetti,nicotera,ferrari,"cannone, n",ruzza,negri,lamaro,"cannone, l",page-relo,"garbisi, p",ioane,menoncello,brex,capuozzo,allan,lucchesi,rizzoli,riccioni,lamb,zuliani,vintcent,"garbisi, a",trulla
23/02/2025,2025,gq,france,6n,yes,h,10,4,-6,,l,24,73,-49,fischetti,lucchesi,ferrari,"cannone, n",ruzza,negri,lamaro,"cannone, l",page-relo,"garbisi, p",gesi,menoncello,brex,capuozzo,allan,nicotera,spagnolo,zilocchi,favretto,zuliani,vintcent,"garbisi, a",trulla
09/03/2025,2025,gq,england,6n,yes,a,10,6,-4,,l,24,47,-23,fischetti,nicotera,riccioni,"cannone, n",ruzza,negri,lamaro,vintcent,varney,"garbisi, p",gallagher,menoncello,brex,ioane,capuozzo,lucchesi,spagnolo,ferrari,favretto,zuliani,"cannone, l",page-relo,allan
15/03/2025,2025,gq,ireland,6n,yes,h,10,3,-7,,l,17,22,-5,fischetti,lucchesi,ferrari,lamb,ruzza,negri,zuliani,"cannone, l",page-relo,"garbisi, p",ioane,menoncello,brex,capuozzo,allan,nicotera,spagnolo,zilocchi,"cannone, n",lamaro,vintcent,varney,marin
27/06/2025,2025,gq,namibia,tour,yes,a,10,25,15,,w,73,6,67,fischetti,nicotera,riccioni,"cannone, n",favretto,negri,zuliani,vintcent,fusco,da re,gesi,marin,menoncello,odogwu,trulla,di bartolomeo,spagnolo,hasa,zambonin,"cannone, l",varney,bertaccini,belloni
05/07/2025,2025,gq,sa,tour,yes,a,10,1,-9,,l,24,42,-18,fischetti,di bartolomeo,ferrari,"cannone, n",zambonin,izekor,zuliani,"cannone, l",fusco,da re,gesi,zanon,menoncello,lynagh,trulla,dimcheff,spagnolo,hasa,canali,vintcent,odiase,"garbisi, a",bertaccini
12/07/2025,2025,gq,sa,tour,yes,a,10,1,-9,,l,0,45,-45,fischetti,di bartolomeo,ferrari,"cannone, n",zambonin,negri,zuliani,vintcent,"garbisi, a",da re,trulla,zanon,menoncello,lynagh,belloni,dimcheff,spagnolo,hasa,canali,izekor,odiase,varney,bertaccini
08/11/2025,2025,gq,australia,eoyt,yes,h,10,7,-3,,w,26,19,7,fischetti,nicotera,ferrari,"cannone, n",zambonin,vintcent,zuliani,"cannone, l",varney,"garbisi, p",ioane,menoncello,brex,lynagh,capuozzo,di bartolomeo,spagnolo,riccioni,ruzza,izekor,page-relo,allan,marin
15/11/2025,2025,gq,sa,eoyt,yes,h,10,1,-9,,l,14,32,-18,fischetti,nicotera,riccioni,"cannone, n",zambonin,vintcent,zuliani,"cannone, l",varney,"garbisi, p",ioane,menoncello,brex,lynagh,capuozzo,di bartolomeo,spagnolo,ferrari,ruzza,favretto,odiase,page-relo,allan
22/11/2025,2025,gq,chile,eoyt,yes,h,10,18,8,,w,34,19,15,hasa,di bartolomeo,ferrari,"cannone, n",ruzza,izekor,lamaro,"cannone, l","garbisi, a",da re,ioane,marin,menoncello,belloni,capuozzo,dimcheff,fischetti,zilocchi,opoku gyamfi,zuliani,page-relo,brex,todaro
07/02/2026,2026,gq,scotland,6n,yes,h,10,9,-1,,w,18,15,3,fischetti,nicotera,ferrari,"cannone, n",zambonin,lamaro,zuliani,"cannone, l",fusco,"garbisi, p",ioane,menoncello,brex,lynagh,marin,di bartolomeo,spagnolo,hasa,ruzza,favretto,"garbisi, a",da re,pani
14/02/2026,2026,gq,ireland,6n,yes,a,9,5,-4,,l,13,20,-7,fischetti,nicotera,ferrari,"cannone, n",zambonin,lamaro,zuliani,"cannone, l",fusco,"garbisi, p",ioane,marin,menoncello,lynagh,pani,di bartolomeo,spagnolo,hasa,ruzza,favretto,odiase,"garbisi, a",odogwu
22/02/2026,2026,gq,france,6n,yes,a,10,3,-7,,l,8,33,-25,fischetti,nicotera,ferrari,"cannone, n",zambonin,lamaro,zuliani,"cannone, l",fusco,"garbisi, p",ioane,marin,menoncello,lynagh,capuozzo,dimcheff,spagnolo,zilocchi,ruzza,favretto,odiase,"garbisi, a",odogwu
07/03/2026,2026,gq,england,6n,yes,h,10,5,-5,,w,23,18,5,fischetti,nicotera,ferrari,"cannone, n",zambonin,lamaro,zuliani,"cannone, l","garbisi, a","garbisi, p",ioane,menoncello,brex,lynagh,pani,di bartolomeo,spagnolo,hasa,ruzza,favretto,fusco,marin,allan
14/03/2026,2026,gq,wales,6n,yes,a,10,12,2,,l,17,31,-14,fischetti,nicotera,hasa,"cannone, n",ruzza,lamaro,zuliani,"cannone, l",fusco,"garbisi, p",ioane,menoncello,brex,lynagh,pani,di bartolomeo,spagnolo,zilocchi,favretto,odiase,varney,marin,allan
04/07/2026,2026,gq,japan,nc,yes,a,10,12,2,,l,10,27,-17,fischetti,di bartolomeo,riccioni,"cannone, n",zambonin,ortombina,lamaro,"cannone, l",varney,"garbisi, p",ioane,menoncello,brex,faissal,pani,lucchesi,spagnolo,hasa,favretto,vintcent,fusco,marin,allan
11/07/2026,2026,gq,nz,nc,yes,a,10,2,-8,,l,17,47,-30,fischetti,di bartolomeo,riccioni,"cannone, n",zambonin,vintcent,lamaro,"cannone, l",varney,"garbisi, p",lynagh,menoncello,brex,faissal,allan,lucchesi,spagnolo,hasa,marini,ruzza,favretto,"garbisi, a",marin
18/07/2026,2026,gq,australia,nc,yes,a,10,8,-2,,l,10,57,-47,hasa,lucchesi,riccioni,marini,ruzza,favretto,lamaro,vintcent,"garbisi, a","garbisi, p",ioane,odogwu,brex,lynagh,pani,dimcheff,fischetti,neculai,zambonin,ortombina,fusco,da re,marin
