date,opposition,shirt,player,started,minutes
16/03/2019,Ireland,21,Aled Davies,n,24
16/03/2019,Ireland,11,Josh Adams,y,80
16/03/2019,Ireland,6,Josh Navidi,y,80
11/08/2019,England,18,Dillon Lewis,n,30
11/08/2019,England,1,Nicky Smith,y,50
11/08/2019,England,6,Aaron Wainwright,y,80
11/08/2019,England,15,Liam Williams,y,80
11/08/2019,England,2,Ken Owens,y,53
11/08/2019,England,9,Gareth Davies,y,53
11/08/2019,England,4,Adam Beard,y,68
11/08/2019,England,3,Tomas Francis,y,50
11/08/2019,England,22,Dan Biggar,n,46
11/08/2019,England,10,Gareth Anscombe,y,34
11/08/2019,England,8,Ross Moriarty,y,80
11/08/2019,England,14,George North,y,80
11/08/2019,England,5,Alun Wyn Jones,y,80
11/08/2019,England,13,Jonathan Davies,y,80
11/08/2019,England,7,Justin Tipuric,y,62
11/08/2019,England,16,Elliot Dee,n,27
11/08/2019,England,23,Owen Watkin,n,12
11/08/2019,England,17,Wyn Jones,n,30
11/08/2019,England,12,Hadleigh Parkes,y,68
11/08/2019,England,19,Jake Ball,n,12
11/08/2019,England,21,Aled Davies,n,27
11/08/2019,England,11,Josh Adams,y,80
11/08/2019,England,20,Aaron Shingler,n,18
17/08/2019,England,18,Dillon Lewis,n,33
17/08/2019,England,1,Nicky Smith,y,47
17/08/2019,England,6,Aaron Wainwright,y,41
17/08/2019,England,2,Ken Owens,y,80
17/08/2019,England,9,Gareth Davies,y,61
17/08/2019,England,15,Leigh Halfpenny,y,80
17/08/2019,England,7,James Davies,y,24
17/08/2019,England,22,Jarrod Evans,n,5
17/08/2019,England,3,Tomas Francis,y,47
17/08/2019,England,10,Dan Biggar,y,75
17/08/2019,England,8,Ross Moriarty,y,80
17/08/2019,England,14,George North,y,80
17/08/2019,England,5,Alun Wyn Jones,y,80
17/08/2019,England,13,Jonathan Davies,y,80
17/08/2019,England,16,Elliot Dee,n,15
17/08/2019,England,23,Owen Watkin,n,5
17/08/2019,England,17,Wyn Jones,n,33
17/08/2019,England,12,Hadleigh Parkes,y,75
17/08/2019,England,4,Jake Ball,y,65
17/08/2019,England,21,Aled Davies,n,19
17/08/2019,England,11,Josh Adams,y,80
17/08/2019,England,19,Aaron Shingler,n,39
17/08/2019,England,20,Josh Navidi,n,56
31/08/2019,Ireland,2,Ryan Elias,y,62
31/08/2019,Ireland,17,Rob Evans,n,40
31/08/2019,Ireland,20,Aaron Wainwright,n,18
31/08/2019,Ireland,3,Samson Lee,y,40
31/08/2019,Ireland,18,Leon Brown,n,40
31/08/2019,Ireland,4,Adam Beard,y,80
31/08/2019,Ireland,7,James Davies,y,80
31/08/2019,Ireland,10,Jarrod Evans,y,40
31/08/2019,Ireland,14,Owen Lane,y,80
31/08/2019,Ireland,11,Steffan Evans,y,47
31/08/2019,Ireland,22,Rhys Patchell,n,40
31/08/2019,Ireland,13,Scott Williams,y,80
31/08/2019,Ireland,15,Hallam Amos,y,80
31/08/2019,Ireland,16,Elliot Dee,n,18
31/08/2019,Ireland,12,Owen Watkin,y,80
31/08/2019,Ireland,5,Bradley Davies,y,47
31/08/2019,Ireland,21,Tomos Williams,n,33
31/08/2019,Ireland,1,Rhys Carre,y,40
31/08/2019,Ireland,19,Jake Ball,n,33
31/08/2019,Ireland,9,Aled Davies,y,47
