date,team,opposition,yellow_cards,red_cards
11/11/2017,fiji,italy,1,0
12/11/2016,scotland,australia,0,0
12/11/2016,australia,scotland,1,0
06/11/2021,italy,new_zealand,0,0
06/11/2021,new_zealand,italy,0,0
18/06/2016,new_zealand,wales,0,0
18/06/2016,wales,new_zealand,0,0
26/03/2021,france,scotland,1,0
26/03/2021,scotland,france,1,1
22/02/2020,italy,scotland,1,0
22/02/2020,scotland,italy,0,0
15/08/2026,bulls,new_zealand,1,0
15/08/2026,new_zealand,bulls,0,0
13/07/2024,south_africa,ireland,0,0
13/07/2024,ireland,south_africa,1,0
24/02/2018,scotland,england,0,0
24/02/2018,england,scotland,1,0
15/03/2025,italy,ireland,2,1
15/03/2025,ireland,italy,0,0
26/09/2015,italy,canada,0,0
26/09/2015,canada,italy,0,0
01/11/2025,south_africa,japan,0,0
01/11/2025,japan,south_africa,2,0
05/11/2022,wales,new_zealand,0,0
05/11/2022,new_zealand,wales,0,0
31/10/2020,wales,scotland,0,0
31/10/2020,scotland,wales,0,0
26/06/2015,argentina,french barbarians,0,0
26/06/2015,french barbarians,argentina,0,0
01/10/2016,argentina,new_zealand,0,0
01/10/2016,new_zealand,argentina,2,0
22/11/2025,wales,new_zealand,2,0
22/11/2025,new_zealand,wales,0,0
19/03/2016,france,england,1,0
19/03/2016,england,france,0,0
08/09/2018,australia,south_africa,0,0
08/09/2018,south_africa,australia,0,0
20/07/2019,south_africa,australia,1,0
20/07/2019,australia,south_africa,1,0
31/01/2025,france,wales,0,1
31/01/2025,wales,france,2,0
24/06/2017,fiji,scotland,2,0
24/06/2017,scotland,fiji,1,0
18/11/2017,wales,georgia,1,0
18/11/2017,georgia,wales,0,0
06/12/2020,england,france,0,0
06/12/2020,france,england,0,0
08/03/2020,scotland,france,0,0
08/03/2020,france,scotland,1,1
15/09/2018,new_zealand,south_africa,0,0
15/09/2018,south_africa,new_zealand,1,0
06/08/2022,argentina,australia,1,0
06/08/2022,australia,argentina,0,0
23/02/2019,wales,england,0,0
23/02/2019,england,wales,0,0
24/09/2023,wales,australia,0,0
24/09/2023,australia,wales,0,0
08/07/2017,new_zealand,british & irish lions,1,0
08/07/2017,british & irish lions,new_zealand,0,0
16/06/2018,japan,italy,1,0
16/06/2018,italy,japan,1,0
26/02/2022,scotland,france,0,0
26/02/2022,france,scotland,0,0
26/09/2019,england,usa,0,0
26/09/2019,usa,england,0,1
08/09/2023,france,new_zealand,0,0
08/09/2023,new_zealand,france,1,0
03/02/2018,france,ireland,0,0
03/02/2018,ireland,france,0,0
18/03/2023,ireland,england,0,0
18/03/2023,england,ireland,1,1
16/09/2017,new_zealand,south_africa,0,0
16/09/2017,south_africa,new_zealand,0,0
14/03/2015,wales,ireland,2,0
14/03/2015,ireland,wales,0,0
31/08/2024,south_africa,new_zealand,1,0
31/08/2024,new_zealand,south_africa,1,0
22/11/2025,ireland,south_africa,4,1
22/11/2025,south_africa,ireland,1,0
08/07/2023,south_africa,australia,0,0
08/07/2023,australia,south_africa,2,0
25/09/2021,new_zealand,south_africa,0,0
25/09/2021,south_africa,new_zealand,1,0
12/03/2023,scotland,ireland,0,0
12/03/2023,ireland,scotland,0,0
13/02/2022,italy,england,0,0
13/02/2022,england,italy,0,0
09/06/2018,canada,scotland,1,0
09/06/2018,scotland,canada,1,0
11/11/2017,ireland,south_africa,0,0
11/11/2017,south_africa,ireland,0,0
01/02/2019,france,wales,0,0
01/02/2019,wales,france,0,0
09/10/2019,wales,fiji,2,0
09/10/2019,fiji,wales,2,0
22/11/2024,france,argentina,0,0
22/11/2024,argentina,france,2,0
09/07/2022,australia,england,1,0
09/07/2022,england,australia,1,0
07/07/2021,australia,france,0,0
07/07/2021,france,australia,0,0
14/11/2020,new_zealand,argentina,0,0
14/11/2020,argentina,new_zealand,0,0
25/07/2015,south_africa,new_zealand,0,0
25/07/2015,new_zealand,south_africa,1,0
27/07/2019,australia,argentina,0,0
27/07/2019,argentina,australia,0,0
16/11/2024,scotland,portugal,0,0
16/11/2024,portugal,scotland,1,0
24/11/2018,wales,south_africa,0,0
24/11/2018,south_africa,wales,0,0
14/03/2026,france,england,1,0
14/03/2026,england,france,1,0
14/02/2026,ireland,italy,1,0
14/02/2026,italy,ireland,1,0
07/09/2019,randwick,argentina,0,0
07/09/2019,argentina,randwick,0,0
09/09/2023,italy,namibia,0,0
09/09/2023,namibia,italy,1,0
23/06/2018,south_africa,england,0,0
23/06/2018,england,south_africa,0,0
28/11/2020,argentina,new_zealand,0,0
28/11/2020,new_zealand,argentina,1,0
06/07/2024,argentina,france,0,0
06/07/2024,france,argentina,0,0
21/09/2019,france,argentina,0,0
21/09/2019,argentina,france,0,0
21/11/2020,argentina,australia,1,0
21/11/2020,australia,argentina,0,0
16/06/2017,new_zealand,samoa,0,0
16/06/2017,samoa,new_zealand,0,0
10/10/2015,england,uruguay,0,0
10/10/2015,uruguay,england,1,0
09/09/2017,australia,south_africa,0,0
09/09/2017,south_africa,australia,0,0
05/10/2023,new_zealand,uruguay,0,0
05/10/2023,uruguay,new_zealand,0,0
17/11/2018,ireland,new_zealand,0,0
17/11/2018,new_zealand,ireland,0,0
10/07/2021,england,canada,1,0
10/07/2021,canada,england,1,0
31/08/2024,argentina,australia,0,0
31/08/2024,australia,argentina,0,0
15/10/2023,england,fiji,0,0
15/10/2023,fiji,england,1,0
08/02/2025,england,france,0,0
08/02/2025,france,england,0,0
25/09/2021,australia,argentina,0,0
25/09/2021,argentina,australia,1,0
23/02/2025,italy,france,0,0
23/02/2025,france,italy,0,0
18/03/2017,france,wales,1,0
18/03/2017,wales,france,1,0
26/11/2022,wales,australia,2,0
26/11/2022,australia,wales,2,0
24/11/2018,ireland,usa,1,0
24/11/2018,usa,ireland,0,0
26/09/2015,south_africa,samoa,0,0
26/09/2015,samoa,south_africa,0,0
03/10/2019,ireland,russia,0,0
03/10/2019,russia,ireland,2,0
05/09/2015,england,ireland,0,0
05/09/2015,ireland,england,0,0
02/11/2019,england,south_africa,0,0
02/11/2019,south_africa,england,0,0
10/07/2022,georgia,italy,0,0
10/07/2022,italy,georgia,1,0
20/06/2025,british & irish lions,argentina,0,0
20/06/2025,argentina,british & irish lions,1,0
11/03/2017,england,scotland,0,0
11/03/2017,scotland,england,1,0
07/09/2024,argentina,australia,0,0
07/09/2024,australia,argentina,1,0
22/02/2025,england,scotland,0,0
22/02/2025,scotland,england,0,0
11/02/2024,ireland,italy,0,0
11/02/2024,italy,ireland,1,0
09/09/2023,england,argentina,0,1
09/09/2023,argentina,england,1,0
18/07/2026,fiji,scotland,1,0
18/07/2026,scotland,fiji,0,0
06/09/2025,australia,argentina,0,0
06/09/2025,argentina,australia,1,0
08/03/2025,ireland,france,2,0
08/03/2025,france,ireland,1,0
29/10/2022,japan,new_zealand,0,0
29/10/2022,new_zealand,japan,0,1
14/02/2015,ireland,france,1,0
14/02/2015,france,ireland,1,0
11/11/2017,england,argentina,0,0
11/11/2017,argentina,england,1,0
24/09/2022,south_africa,argentina,2,0
24/09/2022,argentina,south_africa,4,0
09/03/2019,england,italy,0,0
09/03/2019,italy,england,0,0
12/09/2021,south_africa,australia,2,0
12/09/2021,australia,south_africa,2,0
15/11/2025,italy,south_africa,1,0
15/11/2025,south_africa,italy,1,1
17/09/2016,australia,argentina,2,0
17/09/2016,argentina,australia,0,0
02/02/2019,ireland,england,0,0
02/02/2019,england,ireland,1,0
23/11/2025,scotland,tonga,0,0
23/11/2025,tonga,scotland,3,1
10/09/2016,new_zealand,argentina,0,0
10/09/2016,argentina,new_zealand,0,0
04/02/2017,scotland,ireland,0,0
04/02/2017,ireland,scotland,0,0
03/07/2021,ireland,japan,0,0
03/07/2021,japan,ireland,0,0
05/08/2023,scotland,france,0,1
05/08/2023,france,scotland,0,0
07/03/2026,scotland,france,1,0
07/03/2026,france,scotland,2,0
17/06/2017,japan,ireland,1,0
17/06/2017,ireland,japan,1,0
30/11/2024,ireland,australia,0,0
30/11/2024,australia,ireland,0,0
14/11/2020,england,georgia,0,0
14/11/2020,georgia,england,0,0
06/10/2018,argentina,australia,0,0
06/10/2018,australia,argentina,1,0
29/09/2019,australia,wales,0,0
29/09/2019,wales,australia,0,0
07/10/2023,england,samoa,0,0
07/10/2023,samoa,england,1,0
23/06/2018,argentina,scotland,0,0
23/06/2018,scotland,argentina,0,0
12/07/2024,usa,scotland,1,0
12/07/2024,scotland,usa,0,0
15/07/2023,new_zealand,south_africa,0,0
15/07/2023,south_africa,new_zealand,0,0
29/11/2020,ireland,georgia,0,0
29/11/2020,georgia,ireland,0,0
13/11/2020,ireland,wales,0,0
13/11/2020,wales,ireland,0,0
02/07/2022,new_zealand,ireland,1,0
02/07/2022,ireland,new_zealand,0,0
24/10/2020,france,wales,0,0
24/10/2020,wales,france,0,0
18/07/2026,new_zealand,ireland,1,0
18/07/2026,ireland,new_zealand,0,0
05/02/2022,scotland,england,0,0
05/02/2022,england,scotland,1,0
17/06/2017,south_africa,france,0,0
17/06/2017,france,south_africa,0,0
18/08/2018,australia,new_zealand,0,0
18/08/2018,new_zealand,australia,0,0
26/11/2016,wales,south_africa,0,0
26/11/2016,south_africa,wales,1,0
15/11/2024,ireland,argentina,2,0
15/11/2024,argentina,ireland,2,0
24/11/2018,france,fiji,0,0
24/11/2018,fiji,france,0,0
19/11/2022,wales,georgia,1,0
19/11/2022,georgia,wales,0,0
08/11/2024,ireland,new_zealand,0,0
08/11/2024,new_zealand,ireland,1,0
05/12/2020,ireland,scotland,0,0
05/12/2020,scotland,ireland,1,0
09/03/2024,italy,scotland,0,0
09/03/2024,scotland,italy,0,0
14/11/2021,france,georgia,0,0
14/11/2021,georgia,france,2,0
26/08/2017,argentina,south_africa,2,1
26/08/2017,south_africa,argentina,1,0
19/11/2016,italy,south_africa,1,0
19/11/2016,south_africa,italy,0,0
15/11/2025,wales,japan,0,1
15/11/2025,japan,wales,3,0
12/02/2022,france,ireland,0,0
12/02/2022,ireland,france,0,0
04/10/2015,argentina,tonga,0,0
04/10/2015,tonga,argentina,0,0
23/02/2020,england,ireland,0,0
23/02/2020,ireland,england,0,0
10/10/2015,australia,wales,2,0
10/10/2015,wales,australia,1,0
04/02/2017,england,france,1,0
04/02/2017,france,england,0,0
06/07/2024,south_africa,ireland,1,0
06/07/2024,ireland,south_africa,1,0
22/09/2019,england,tonga,0,0
22/09/2019,tonga,england,0,0
05/09/2015,france,scotland,0,0
05/09/2015,scotland,france,1,0
17/06/2017,australia,scotland,1,0
17/06/2017,scotland,australia,1,0
25/08/2018,argentina,south_africa,0,0
25/08/2018,south_africa,argentina,1,0
22/02/2020,wales,france,0,0
22/02/2020,france,wales,2,0
24/02/2018,ireland,wales,0,0
24/02/2018,wales,ireland,0,0
07/02/2026,england,wales,2,0
07/02/2026,wales,england,4,0
11/07/2026,fiji,england,1,1
11/07/2026,england,fiji,0,0
26/09/2019,italy,canada,0,0
26/09/2019,canada,italy,1,0
09/10/2019,scotland,russia,0,0
09/10/2019,russia,scotland,0,0
03/09/2022,new_zealand,argentina,1,0
03/09/2022,argentina,new_zealand,1,0
20/08/2016,australia,new_zealand,0,0
20/08/2016,new_zealand,australia,1,0
06/07/2024,new_zealand,england,0,0
06/07/2024,england,new_zealand,0,0
12/07/2025,portugal,ireland,0,0
12/07/2025,ireland,portugal,0,0
24/11/2024,scotland,australia,0,0
24/11/2024,australia,scotland,0,0
19/09/2015,france,italy,0,0
19/09/2015,italy,france,0,0
06/09/2019,scotland,georgia,1,0
06/09/2019,georgia,scotland,2,0
09/11/2024,england,australia,0,0
09/11/2024,australia,england,0,0
12/11/2016,ireland,canada,0,0
12/11/2016,canada,ireland,0,0
20/11/2021,wales,australia,1,0
20/11/2021,australia,wales,1,1
17/03/2018,wales,france,0,0
17/03/2018,france,wales,0,0
02/11/2024,england,new_zealand,0,0
02/11/2024,new_zealand,england,1,0
16/03/2024,ireland,scotland,1,0
16/03/2024,scotland,ireland,1,0
20/10/2023,argentina,new_zealand,0,0
20/10/2023,new_zealand,argentina,1,0
22/08/2015,italy,scotland,0,0
22/08/2015,scotland,italy,0,0
17/08/2019,new_zealand,australia,1,0
17/08/2019,australia,new_zealand,0,0
03/12/2016,england,australia,0,0
03/12/2016,australia,england,1,0
06/10/2023,france,italy,0,0
06/10/2023,italy,france,0,0
11/06/2016,argentina,italy,0,0
11/06/2016,italy,argentina,0,0
20/10/2019,japan,south_africa,0,0
20/10/2019,south_africa,japan,1,0
15/08/2015,argentina,south_africa,1,0
15/08/2015,south_africa,argentina,0,0
24/06/2017,japan,ireland,0,0
24/06/2017,ireland,japan,0,0
19/11/2016,ireland,new_zealand,0,0
19/11/2016,new_zealand,ireland,2,0
13/07/2024,argentina,france,0,0
13/07/2024,france,argentina,1,0
05/08/2023,new_zealand,australia,0,0
05/08/2023,australia,new_zealand,0,0
14/02/2021,ireland,france,0,0
14/02/2021,france,ireland,1,0
09/11/2024,italy,argentina,1,0
09/11/2024,argentina,italy,1,0
03/10/2015,south_africa,scotland,1,0
03/10/2015,scotland,south_africa,1,0
02/10/2015,new_zealand,georgia,0,0
02/10/2015,georgia,new_zealand,0,0
17/09/2022,argentina,south_africa,2,0
17/09/2022,south_africa,argentina,2,0
19/07/2024,queensland reds,wales,0,0
19/07/2024,wales,queensland reds,1,0
02/07/2022,australia,england,1,1
02/07/2022,england,australia,2,0
29/08/2015,ireland,wales,0,0
29/08/2015,wales,ireland,0,0
16/06/2017,tonga,wales,0,0
16/06/2017,wales,tonga,0,0
12/03/2022,italy,scotland,0,0
12/03/2022,scotland,italy,0,0
24/11/2018,scotland,argentina,0,0
24/11/2018,argentina,scotland,0,0
12/11/2016,england,south_africa,0,0
12/11/2016,south_africa,england,0,0
27/09/2015,scotland,usa,0,0
27/09/2015,usa,scotland,0,0
24/02/2024,scotland,england,1,0
24/02/2024,england,scotland,0,0
21/09/2019,new_zealand,south_africa,0,0
21/09/2019,south_africa,new_zealand,0,0
17/09/2016,new_zealand,south_africa,0,0
17/09/2016,south_africa,new_zealand,0,0
15/09/2018,australia,argentina,0,0
15/09/2018,argentina,australia,0,0
12/08/2023,france,scotland,0,0
12/08/2023,scotland,france,1,0
16/07/2022,south_africa,wales,0,0
16/07/2022,wales,south_africa,0,0
15/11/2025,ireland,australia,0,0
15/11/2025,australia,ireland,1,0
10/02/2018,ireland,italy,0,0
10/02/2018,italy,ireland,0,0
09/06/2018,south_africa,england,0,0
09/06/2018,england,south_africa,1,0
16/11/2024,france,new_zealand,0,0
16/11/2024,new_zealand,france,0,0
10/11/2018,france,south_africa,0,0
10/11/2018,south_africa,france,0,0
13/10/2019,japan,scotland,0,0
13/10/2019,scotland,japan,0,0
21/08/2021,argentina,south_africa,2,0
21/08/2021,south_africa,argentina,0,0
28/05/2017,england,barbarians,0,0
28/05/2017,barbarians,england,1,0
26/11/2016,italy,tonga,2,0
26/11/2016,tonga,italy,1,0
31/10/2015,new_zealand,australia,1,0
31/10/2015,australia,new_zealand,0,0
21/02/2026,england,ireland,2,0
21/02/2026,ireland,england,1,0
06/03/2026,ireland,wales,0,0
06/03/2026,wales,ireland,1,0
07/03/2020,england,wales,1,1
07/03/2020,wales,england,0,0
30/08/2019,france,italy,2,0
30/08/2019,italy,france,1,0
18/09/2015,england,fiji,0,0
18/09/2015,fiji,england,1,0
01/11/2025,england,australia,1,0
01/11/2025,australia,england,0,0
29/07/2023,australia,new_zealand,2,0
29/07/2023,new_zealand,australia,0,0
10/11/2024,scotland,south_africa,0,1
10/11/2024,south_africa,scotland,1,0
13/02/2016,france,ireland,0,0
13/02/2016,ireland,france,0,0
13/11/2021,scotland,south_africa,0,0
13/11/2021,south_africa,scotland,0,0
11/02/2017,wales,england,0,0
11/02/2017,england,wales,0,0
03/07/2021,new_zealand,tonga,0,0
03/07/2021,tonga,new_zealand,0,0
10/02/2024,scotland,france,0,0
10/02/2024,france,scotland,1,0
06/11/2021,wales,south_africa,1,0
06/11/2021,south_africa,wales,1,0
31/08/2019,georgia,scotland,0,0
31/08/2019,scotland,georgia,0,0
05/07/2025,south_africa,italy,0,0
05/07/2025,italy,south_africa,2,0
11/07/2015,south_africa,world xv,0,0
11/07/2015,world xv,south_africa,0,0
11/10/2015,argentina,namibia,1,0
11/10/2015,namibia,argentina,2,0
20/09/2023,italy,uruguay,2,0
20/09/2023,uruguay,italy,1,0
19/11/2016,wales,japan,1,0
19/11/2016,japan,wales,0,0
24/11/2024,england,japan,0,0
24/11/2024,japan,england,0,0
23/09/2015,france,romania,0,0
23/09/2015,romania,france,1,0
13/09/2025,new_zealand,south_africa,0,0
13/09/2025,south_africa,new_zealand,0,0
26/02/2023,france,scotland,0,1
26/02/2023,scotland,france,0,1
16/06/2018,south_africa,england,0,0
16/06/2018,england,south_africa,1,0
13/10/2019,wales,uruguay,0,0
13/10/2019,uruguay,wales,1,0
20/07/2024,south_africa,portugal,2,1
20/07/2024,portugal,south_africa,0,0
25/07/2015,argentina,australia,0,0
25/07/2015,australia,argentina,1,0
28/09/2019,japan,ireland,0,0
28/09/2019,ireland,japan,0,0
27/02/2022,ireland,italy,0,0
27/02/2022,italy,ireland,1,1
21/09/2023,france,namibia,0,0
21/09/2023,namibia,france,1,1
16/06/2018,australia,ireland,1,0
16/06/2018,ireland,australia,2,0
05/12/2020,wales,italy,1,0
05/12/2020,italy,wales,0,0
05/12/2020,australia,argentina,1,1
05/12/2020,argentina,australia,2,0
19/06/2022,england,barbarians,1,0
19/06/2022,barbarians,england,0,1
11/03/2022,wales,france,0,0
11/03/2022,france,wales,0,0
20/06/2026,south_africa,barbarians,2,0
20/06/2026,barbarians,south_africa,3,0
19/11/2022,england,new_zealand,0,0
19/11/2022,new_zealand,england,1,0
08/07/2023,argentina,new_zealand,1,0
08/07/2023,new_zealand,argentina,0,0
08/07/2015,samoa,new_zealand,0,0
08/07/2015,new_zealand,samoa,0,0
15/11/2025,england,new_zealand,1,0
15/11/2025,new_zealand,england,1,0
18/11/2017,france,south_africa,1,0
18/11/2017,south_africa,france,0,0
12/11/2016,wales,argentina,0,0
12/11/2016,argentina,wales,1,0
24/02/2024,ireland,wales,2,0
24/02/2024,wales,ireland,0,0
26/10/2019,england,new_zealand,0,0
26/10/2019,new_zealand,england,0,0
23/06/2018,new_zealand,france,0,0
23/06/2018,france,new_zealand,0,0
15/02/2026,wales,france,0,0
15/02/2026,france,wales,0,0
20/03/2021,scotland,italy,0,0
20/03/2021,italy,scotland,3,0
02/02/2020,france,england,0,0
02/02/2020,england,france,0,0
11/11/2017,france,new_zealand,1,0
11/11/2017,new_zealand,france,1,0
11/11/2017,wales,australia,0,0
11/11/2017,australia,wales,1,0
01/11/2025,scotland,usa,0,0
01/11/2025,usa,scotland,0,0
20/06/2015,argentina,french barbarians,0,0
20/06/2015,french barbarians,argentina,0,0
22/10/2016,new_zealand,australia,0,0
22/10/2016,australia,new_zealand,0,0
21/11/2015,barbarians,argentina,0,0
21/11/2015,argentina,barbarians,0,0
21/03/2015,england,france,1,0
21/03/2015,france,england,0,0
17/11/2018,france,argentina,0,0
17/11/2018,argentina,france,0,0
24/06/2017,new_zealand,british & irish lions,0,0
24/06/2017,british & irish lions,new_zealand,0,0
07/10/2023,wales,georgia,1,0
07/10/2023,georgia,wales,1,0
03/02/2024,wales,scotland,0,0
03/02/2024,scotland,wales,2,0
28/10/2023,new_zealand,south_africa,1,1
28/10/2023,south_africa,new_zealand,2,0
17/07/2015,new_zealand,argentina,0,0
17/07/2015,argentina,new_zealand,0,0
14/06/2016,chiefs,wales,0,0
14/06/2016,wales,chiefs,0,0
11/06/2016,new_zealand,wales,0,0
11/06/2016,wales,new_zealand,0,0
01/10/2015,wales,fiji,0,0
01/10/2015,fiji,wales,0,0
25/08/2018,new_zealand,australia,0,0
25/08/2018,australia,new_zealand,0,0
02/07/2022,argentina,scotland,0,0
02/07/2022,scotland,argentina,0,0
27/10/2023,argentina,england,0,0
27/10/2023,england,argentina,0,0
12/09/2021,new_zealand,argentina,0,0
12/09/2021,argentina,new_zealand,2,0
20/11/2021,scotland,japan,1,0
20/11/2021,japan,scotland,0,0
10/03/2017,wales,ireland,0,0
10/03/2017,ireland,wales,1,0
12/03/2016,england,wales,1,0
12/03/2016,wales,england,0,0
02/10/2021,south_africa,new_zealand,0,0
02/10/2021,new_zealand,south_africa,0,0
17/09/2023,south_africa,romania,0,0
17/09/2023,romania,south_africa,0,0
07/02/2026,italy,scotland,0,0
07/02/2026,scotland,italy,1,0
05/07/2025,maori all blacks,scotland,2,0
05/07/2025,scotland,maori all blacks,2,0
30/10/2015,south_africa,argentina,0,0
30/10/2015,argentina,south_africa,1,0
15/08/2015,ireland,scotland,0,0
15/08/2015,scotland,ireland,0,0
30/09/2023,argentina,chile,1,0
30/09/2023,chile,argentina,0,0
04/02/2023,england,scotland,0,0
04/02/2023,scotland,england,0,0
18/03/2023,france,wales,0,0
18/03/2023,wales,france,0,0
19/03/2022,france,england,0,0
19/03/2022,england,france,0,0
17/08/2019,france,scotland,0,0
17/08/2019,scotland,france,1,0
23/10/2020,scotland,georgia,0,0
23/10/2020,georgia,scotland,1,0
12/07/2025,argentina,england,1,0
12/07/2025,england,argentina,1,0
21/09/2024,australia,new_zealand,0,0
21/09/2024,new_zealand,australia,2,0
24/07/2021,south_africa,british & irish lions,0,0
24/07/2021,british & irish lions,south_africa,0,0
27/08/2016,argentina,south_africa,1,0
27/08/2016,south_africa,argentina,0,0
02/12/2017,wales,south_africa,0,0
02/12/2017,south_africa,wales,0,0
22/11/2025,italy,chile,0,0
22/11/2025,chile,italy,1,0
10/06/2017,argentina,england,0,0
10/06/2017,england,argentina,0,0
29/07/2023,south_africa,argentina,1,0
29/07/2023,argentina,south_africa,0,0
28/09/2019,argentina,tonga,0,0
28/09/2019,tonga,argentina,0,0
19/08/2023,france,fiji,0,0
19/08/2023,fiji,france,0,0
09/11/2025,wales,argentina,2,0
09/11/2025,argentina,wales,0,0
09/06/2018,australia,ireland,0,0
09/06/2018,ireland,australia,0,0
12/10/2019,ireland,samoa,0,1
12/10/2019,samoa,ireland,2,0
06/09/2025,new_zealand,south_africa,0,0
06/09/2025,south_africa,new_zealand,1,0
05/07/2025,argentina,england,0,0
05/07/2025,england,argentina,2,0
13/02/2021,england,italy,0,0
13/02/2021,italy,england,0,0
05/11/2016,barbarians,south_africa,0,0
05/11/2016,south_africa,barbarians,0,0
11/03/2018,wales,italy,2,0
11/03/2018,italy,wales,1,0
10/09/2023,south_africa,scotland,0,0
10/09/2023,scotland,south_africa,0,0
14/02/2026,scotland,england,0,0
14/02/2026,england,scotland,1,1
11/02/2017,italy,ireland,0,0
11/02/2017,ireland,italy,1,0
16/03/2024,france,england,0,0
16/03/2024,england,france,0,0
03/11/2018,ireland,italy,0,0
03/11/2018,italy,ireland,0,0
25/11/2017,scotland,australia,0,0
25/11/2017,australia,scotland,1,1
02/10/2021,argentina,australia,1,0
02/10/2021,australia,argentina,1,0
25/06/2016,new_zealand,wales,1,0
25/06/2016,wales,new_zealand,0,0
30/09/2019,scotland,samoa,0,0
30/09/2019,samoa,scotland,1,1
08/08/2026,argentina,south_africa,0,0
08/08/2026,south_africa,argentina,0,0
06/02/2016,scotland,england,0,0
06/02/2016,england,scotland,0,0
03/07/2021,wales,canada,0,0
03/07/2021,canada,wales,0,0
02/10/2019,france,usa,0,0
02/10/2019,usa,france,0,0
27/05/2018,england,barbarians,0,0
27/05/2018,barbarians,england,0,0
05/02/2017,italy,wales,1,0
05/02/2017,wales,italy,0,0
07/08/2021,new_zealand,australia,0,0
07/08/2021,australia,new_zealand,0,0
27/02/2021,wales,england,0,0
27/02/2021,england,wales,0,0
06/07/2024,canada,scotland,0,0
06/07/2024,scotland,canada,0,0
15/02/2015,scotland,wales,1,0
15/02/2015,wales,scotland,1,0
23/08/2025,argentina,new_zealand,0,0
23/08/2025,new_zealand,argentina,3,0
14/02/2016,italy,england,0,0
14/02/2016,england,italy,0,0
25/06/2016,argentina,france,1,0
25/06/2016,france,argentina,0,0
22/09/2023,argentina,samoa,0,0
22/09/2023,samoa,argentina,1,0
14/03/2015,england,scotland,0,0
14/03/2015,scotland,england,0,0
22/09/2019,ireland,scotland,1,0
22/09/2019,scotland,ireland,0,0
08/03/2025,scotland,wales,0,0
08/03/2025,wales,scotland,1,0
06/02/2021,italy,france,0,0
06/02/2021,france,italy,0,0
02/02/2024,france,ireland,1,1
02/02/2024,ireland,france,1,0
06/11/2021,ireland,japan,0,0
06/11/2021,japan,ireland,1,0
08/10/2016,south_africa,new_zealand,1,0
08/10/2016,new_zealand,south_africa,1,0
21/03/2015,italy,wales,2,0
21/03/2015,wales,italy,0,0
29/06/2022,maori all blacks,ireland,0,0
29/06/2022,ireland,maori all blacks,0,0
28/11/2020,wales,england,0,0
28/11/2020,england,wales,0,0
26/09/2015,england,wales,0,0
26/09/2015,wales,england,0,0
15/03/2025,france,scotland,2,0
15/03/2025,scotland,france,1,0
19/07/2025,argentina,uruguay,0,1
19/07/2025,uruguay,argentina,1,0
09/06/2018,argentina,wales,0,0
09/06/2018,wales,argentina,0,0
19/07/2024,new_zealand,fiji,0,0
19/07/2024,fiji,new_zealand,0,0
25/11/2017,italy,south_africa,0,0
25/11/2017,south_africa,italy,0,0
09/02/2019,scotland,ireland,0,0
09/02/2019,ireland,scotland,0,0
19/07/2025,usa,england,1,0
19/07/2025,england,usa,0,0
30/10/2021,wales,new_zealand,0,0
30/10/2021,new_zealand,wales,1,0
06/02/2016,france,italy,0,0
06/02/2016,italy,france,0,0
05/10/2019,england,argentina,0,0
05/10/2019,argentina,england,0,1
15/09/2023,new_zealand,namibia,0,1
15/09/2023,namibia,new_zealand,0,0
07/02/2021,wales,ireland,0,0
07/02/2021,ireland,wales,0,1
20/10/2019,wales,france,1,0
20/10/2019,france,wales,0,1
08/11/2025,ireland,japan,1,0
08/11/2025,japan,ireland,1,0
08/11/2025,france,south_africa,1,0
08/11/2025,south_africa,france,0,1
29/09/2018,south_africa,australia,1,0
29/09/2018,australia,south_africa,0,0
27/09/2025,south_africa,argentina,1,0
27/09/2025,argentina,south_africa,0,0
17/03/2018,italy,scotland,0,0
17/03/2018,scotland,italy,0,0
08/02/2020,scotland,england,0,0
08/02/2020,england,scotland,0,0
29/07/2023,scotland,italy,0,0
29/07/2023,italy,scotland,0,0
09/07/2022,south_africa,wales,0,0
09/07/2022,wales,south_africa,1,0
15/11/2025,france,fiji,1,0
15/11/2025,fiji,france,1,0
08/11/2025,england,fiji,0,0
08/11/2025,fiji,england,2,0
01/02/2020,ireland,scotland,0,0
01/02/2020,scotland,ireland,0,0
27/07/2024,uruguay,scotland,1,0
27/07/2024,scotland,uruguay,0,0
19/11/2016,england,fiji,0,0
19/11/2016,fiji,england,0,0
05/11/2016,wales,australia,1,0
05/11/2016,australia,wales,0,0
17/09/2023,england,japan,0,0
17/09/2023,japan,england,0,0
25/02/2023,wales,england,0,0
25/02/2023,england,wales,0,0
09/06/2018,new_zealand,france,0,0
09/06/2018,france,new_zealand,1,0
24/06/2017,australia,italy,1,0
24/06/2017,italy,australia,1,0
08/02/2025,italy,wales,2,0
08/02/2025,wales,italy,1,0
26/08/2023,ireland,samoa,0,0
26/08/2023,samoa,ireland,0,0
25/11/2017,france,japan,1,0
25/11/2017,japan,france,0,0
09/09/2023,ireland,romania,0,0
09/09/2023,romania,ireland,1,0
12/11/2016,france,samoa,0,0
12/11/2016,samoa,france,0,0
29/09/2023,new_zealand,italy,0,0
29/09/2023,italy,new_zealand,0,0
11/02/2023,scotland,wales,1,0
11/02/2023,wales,scotland,2,0
02/02/2019,scotland,italy,1,0
02/02/2019,italy,scotland,0,0
10/07/2021,wales,argentina,1,0
10/07/2021,argentina,wales,1,1
