date,team,opposition,yellow_cards,red_cards
19/08/2023,south_africa,wales,1,0
16/06/2018,argentina,wales,0,0
16/06/2018,wales,argentina,0,1
19/03/2022,ireland,scotland,0,0
19/03/2022,scotland,ireland,1,0
16/03/2019,italy,france,0,0
16/03/2019,france,italy,1,0
19/03/2016,wales,italy,0,0
19/03/2016,italy,wales,1,0
13/11/2021,ireland,new_zealand,0,0
13/11/2021,new_zealand,ireland,1,0
19/10/2019,england,australia,0,0
19/10/2019,australia,england,0,0
04/10/2025,argentina,south_africa,1,0
04/10/2025,south_africa,argentina,1,0
03/02/2024,italy,england,1,0
03/02/2024,england,italy,1,0
29/10/2022,scotland,australia,1,0
29/10/2022,australia,scotland,0,0
19/07/2025,new_zealand,france,0,0
19/07/2025,france,new_zealand,0,0
01/12/2018,barbarians,argentina,0,0
01/12/2018,argentina,barbarians,0,0
16/09/2017,australia,argentina,0,0
16/09/2017,argentina,australia,1,0
14/03/2026,ireland,scotland,0,0
14/03/2026,scotland,ireland,0,0
22/06/2024,japan,england,0,0
22/06/2024,england,japan,1,1
31/10/2020,france,ireland,1,0
31/10/2020,ireland,france,1,0
10/09/2023,wales,fiji,1,0
10/09/2023,fiji,wales,1,0
04/11/2017,barbarians,new_zealand,0,0
04/11/2017,new_zealand,barbarians,0,0
26/08/2023,england,fiji,0,0
26/08/2023,fiji,england,1,0
10/10/2015,samoa,scotland,0,0
10/10/2015,scotland,samoa,1,0
26/11/2016,england,argentina,2,1
26/11/2016,argentina,england,2,1
13/11/2021,italy,argentina,0,0
13/11/2021,argentina,italy,0,0
05/11/2022,italy,samoa,0,0
05/11/2022,samoa,italy,1,0
19/08/2017,south_africa,argentina,0,0
19/08/2017,argentina,south_africa,0,0
24/10/2020,ireland,italy,1,0
24/10/2020,italy,ireland,0,0
20/09/2015,new_zealand,argentina,2,0
20/09/2015,argentina,new_zealand,1,0
21/07/2024,japan,italy,0,0
21/07/2024,italy,japan,3,0
18/10/2020,new_zealand,australia,0,0
18/10/2020,australia,new_zealand,0,0
14/10/2023,wales,argentina,0,0
14/10/2023,argentina,wales,0,0
22/06/2024,south_africa,wales,1,0
22/06/2024,wales,south_africa,2,0
12/11/2022,france,south_africa,0,1
12/11/2022,south_africa,france,1,1
20/11/2021,england,south_africa,1,0
20/11/2021,south_africa,england,1,0
26/08/2017,new_zealand,australia,0,0
26/08/2017,australia,new_zealand,0,0
20/11/2021,france,new_zealand,0,0
20/11/2021,new_zealand,france,1,0
10/11/2018,italy,georgia,1,0
10/11/2018,georgia,italy,1,0
22/08/2015,france,england,0,0
22/08/2015,england,france,0,0
05/11/2016,ireland,new_zealand,0,0
05/11/2016,new_zealand,ireland,1,0
27/02/2016,england,ireland,2,0
27/02/2016,ireland,england,0,0
27/08/2016,new_zealand,australia,0,0
27/08/2016,australia,new_zealand,1,0
17/06/2017,fiji,italy,1,0
17/06/2017,italy,fiji,0,0
12/11/2022,wales,argentina,1,0
12/11/2022,argentina,wales,0,0
06/08/2022,south_africa,new_zealand,0,1
06/08/2022,new_zealand,south_africa,0,0
15/03/2015,italy,france,0,0
15/03/2015,france,italy,0,0
30/10/2021,scotland,tonga,1,0
30/10/2021,tonga,scotland,1,0
23/09/2023,england,chile,0,0
23/09/2023,chile,england,1,0
07/02/2016,ireland,wales,0,0
07/02/2016,wales,ireland,0,0
04/07/2026,fiji,wales,0,0
04/07/2026,wales,fiji,0,0
24/02/2019,italy,ireland,0,0
24/02/2019,ireland,italy,0,0
18/10/2015,ireland,argentina,0,0
18/10/2015,argentina,ireland,1,0
07/11/2021,scotland,australia,0,0
07/11/2021,australia,scotland,1,0
10/03/2019,ireland,france,0,0
10/03/2019,france,ireland,1,0
14/11/2021,wales,fiji,0,0
14/11/2021,fiji,wales,2,1
07/09/2019,ireland,wales,0,0
07/09/2019,wales,ireland,1,0
07/09/2019,new_zealand,tonga,0,0
07/09/2019,tonga,new_zealand,1,0
09/09/2017,new_zealand,argentina,1,0
09/09/2017,argentina,new_zealand,0,0
20/11/2022,france,japan,0,0
20/11/2022,japan,france,0,0
13/02/2016,wales,scotland,0,0
13/02/2016,scotland,wales,0,0
18/09/2021,australia,south_africa,1,0
18/09/2021,south_africa,australia,2,0
12/02/2022,wales,scotland,0,0
12/02/2022,scotland,wales,1,0
12/08/2023,england,wales,3,1
12/08/2023,wales,england,2,0
31/07/2021,south_africa,british & irish lions,1,0
31/07/2021,british & irish lions,south_africa,1,0
28/09/2019,south_africa,namibia,0,0
28/09/2019,namibia,south_africa,2,0
21/11/2020,england,ireland,0,0
21/11/2020,ireland,england,0,0
12/11/2022,england,japan,1,0
12/11/2022,japan,england,1,0
20/07/2019,argentina,new_zealand,0,0
20/07/2019,new_zealand,argentina,0,0
09/03/2019,scotland,wales,0,0
09/03/2019,wales,scotland,0,0
18/11/2017,england,australia,0,0
18/11/2017,australia,england,2,0
17/11/2024,wales,australia,0,0
17/11/2024,australia,wales,0,1
10/11/2024,wales,fiji,1,0
10/11/2024,fiji,wales,1,1
18/09/2021,argentina,new_zealand,0,0
18/09/2021,new_zealand,argentina,0,0
29/08/2015,scotland,italy,0,0
29/08/2015,italy,scotland,2,0
23/05/2015,paraguay,argentina,1,0
23/05/2015,argentina,paraguay,0,0
23/10/2021,usa,new_zealand,0,0
23/10/2021,new_zealand,usa,0,0
26/11/2016,ireland,australia,0,0
26/11/2016,australia,ireland,2,0
28/06/2025,south_africa,barbarians,0,0
28/06/2025,barbarians,south_africa,1,0
17/10/2015,south_africa,wales,0,0
17/10/2015,wales,south_africa,0,0
24/08/2019,england,ireland,1,0
24/08/2019,ireland,england,0,0
12/11/2022,ireland,fiji,0,0
12/11/2022,fiji,ireland,2,1
02/07/2021,south_africa,georgia,0,0
02/07/2021,georgia,south_africa,1,0
18/07/2025,samoa,scotland,0,0
18/07/2025,scotland,samoa,0,0
10/02/2019,england,france,0,0
10/02/2019,france,england,1,0
26/06/2016,canada,italy,1,0
26/06/2016,italy,canada,1,0
19/08/2023,italy,romania,1,0
19/08/2023,romania,italy,1,1
19/11/2016,france,australia,1,0
19/11/2016,australia,france,0,0
24/11/2018,england,australia,0,0
24/11/2018,australia,england,0,0
21/02/2026,wales,scotland,1,0
21/02/2026,scotland,wales,0,0
18/06/2016,south_africa,ireland,0,0
18/06/2016,ireland,south_africa,0,0
18/11/2017,scotland,new_zealand,0,0
18/11/2017,new_zealand,scotland,2,0
23/06/2017,samoa,wales,0,0
23/06/2017,wales,samoa,0,0
10/03/2018,ireland,scotland,0,0
10/03/2018,scotland,ireland,0,0
09/07/2022,new_zealand,ireland,2,1
09/07/2022,ireland,new_zealand,1,0
27/06/2026,barbarians,wales,0,0
27/06/2026,wales,barbarians,0,0
12/07/2025,fiji,scotland,0,0
12/07/2025,scotland,fiji,2,1
17/08/2019,italy,russia,0,0
17/08/2019,russia,italy,0,0
09/06/2018,japan,italy,0,0
09/06/2018,italy,japan,0,0
11/07/2026,australia,france,1,0
11/07/2026,france,australia,1,0
27/10/2018,new_zealand,australia,0,0
27/10/2018,australia,new_zealand,1,0
25/02/2017,scotland,wales,0,0
25/02/2017,wales,scotland,0,0
11/03/2023,italy,wales,2,0
11/03/2023,wales,italy,0,0
17/11/2018,scotland,south_africa,0,0
17/11/2018,south_africa,scotland,1,0
18/11/2017,italy,argentina,0,0
18/11/2017,argentina,italy,0,0
18/07/2026,australia,italy,0,0
18/07/2026,italy,australia,0,1
04/07/2026,argentina,scotland,1,0
04/07/2026,scotland,argentina,1,0
04/02/2023,wales,ireland,1,0
04/02/2023,ireland,wales,0,0
20/07/2024,chile,scotland,1,0
20/07/2024,scotland,chile,0,0
10/02/2024,england,wales,2,0
10/02/2024,wales,england,1,0
14/02/2015,england,italy,0,0
14/02/2015,italy,england,0,0
19/10/2019,new_zealand,ireland,1,0
19/10/2019,ireland,new_zealand,0,0
18/07/2026,south_africa,wales,0,0
18/07/2026,wales,south_africa,1,0
17/11/2018,england,japan,1,0
17/11/2018,japan,england,0,0
18/10/2015,australia,scotland,0,0
18/10/2015,scotland,australia,1,0
29/11/2025,wales,south_africa,2,0
29/11/2025,south_africa,wales,0,1
11/08/2019,england,wales,0,0
11/08/2019,wales,england,0,0
09/07/2022,argentina,scotland,1,0
09/07/2022,scotland,argentina,0,0
23/08/2025,south_africa,australia,1,0
23/08/2025,australia,south_africa,0,0
12/07/2025,south_africa,italy,1,1
12/07/2025,italy,south_africa,2,0
06/10/2019,new_zealand,namibia,2,0
06/10/2019,namibia,new_zealand,0,0
14/11/2017,france xv,new_zealand,0,0
14/11/2017,new_zealand,france xv,1,0
16/05/2015,uruguay,argentina,0,0
16/05/2015,argentina,uruguay,0,0
18/07/2026,argentina,england,3,0
18/07/2026,england,argentina,4,0
10/08/2024,australia,south_africa,1,0
10/08/2024,south_africa,australia,3,0
07/10/2017,argentina,australia,1,0
07/10/2017,australia,argentina,0,0
05/07/2024,samoa,italy,0,0
05/07/2024,italy,samoa,0,0
10/11/2018,wales,australia,0,0
10/11/2018,australia,wales,0,0
14/03/2021,scotland,ireland,0,0
14/03/2021,ireland,scotland,0,0
11/07/2026,new_zealand,italy,0,0
11/07/2026,italy,new_zealand,0,1
13/07/2021,australia,france,0,0
13/07/2021,france,australia,0,0
02/10/2019,new_zealand,canada,0,0
02/10/2019,canada,new_zealand,0,0
01/10/2016,south_africa,australia,0,0
01/10/2016,australia,south_africa,1,0
05/02/2023,italy,france,0,0
05/02/2023,france,italy,1,0
11/10/2015,italy,romania,0,0
11/10/2015,romania,italy,1,0
18/03/2017,ireland,england,0,0
18/03/2017,england,ireland,0,0
20/11/2021,italy,uruguay,1,0
20/11/2021,uruguay,italy,1,0
07/10/2015,south_africa,usa,0,0
07/10/2015,usa,south_africa,0,0
29/09/2018,argentina,new_zealand,0,0
29/09/2018,new_zealand,argentina,1,0
01/11/2019,new_zealand,wales,0,0
01/11/2019,wales,new_zealand,0,0
02/06/2018,south_africa,wales,0,0
02/06/2018,wales,south_africa,1,0
15/08/2015,new_zealand,australia,0,0
15/08/2015,australia,new_zealand,1,0
12/07/2025,new_zealand,france,1,0
12/07/2025,france,new_zealand,1,0
25/11/2017,ireland,argentina,0,0
25/11/2017,argentina,ireland,0,0
03/11/2018,japan,new_zealand,0,0
03/11/2018,new_zealand,japan,0,0
17/07/2021,new_zealand,fiji,0,0
17/07/2021,fiji,new_zealand,1,0
12/02/2023,england,italy,0,0
12/02/2023,italy,england,2,0
16/11/2025,scotland,argentina,1,0
16/11/2025,argentina,scotland,1,0
17/08/2024,new_zealand,argentina,1,0
17/08/2024,argentina,new_zealand,0,0
19/11/2016,scotland,argentina,0,0
19/11/2016,argentina,scotland,0,0
04/10/2019,south_africa,italy,0,0
04/10/2019,italy,south_africa,0,1
07/10/2017,south_africa,new_zealand,0,1
07/10/2017,new_zealand,south_africa,0,0
09/10/2015,new_zealand,tonga,1,0
09/10/2015,tonga,new_zealand,1,0
02/07/2022,japan,france,0,0
02/07/2022,france,japan,0,0
18/03/2017,scotland,italy,1,0
18/03/2017,italy,scotland,0,0
18/03/2023,scotland,italy,0,0
18/03/2023,italy,scotland,1,0
26/11/2016,france,new_zealand,0,0
26/11/2016,new_zealand,france,0,0
11/07/2026,japan,ireland,1,0
11/07/2026,ireland,japan,0,0
16/07/2022,australia,england,0,0
16/07/2022,england,australia,0,0
13/11/2022,scotland,new_zealand,1,0
13/11/2022,new_zealand,scotland,1,0
21/11/2020,wales,georgia,0,0
21/11/2020,georgia,wales,1,0
09/03/2025,england,italy,0,0
09/03/2025,italy,england,0,0
17/08/2019,south_africa,argentina,0,0
17/08/2019,argentina,south_africa,0,0
04/07/2026,new_zealand,france,1,0
04/07/2026,france,new_zealand,0,0
13/03/2016,scotland,france,0,0
13/03/2016,france,scotland,0,0
20/07/2024,uruguay,argentina,0,0
20/07/2024,argentina,uruguay,0,0
25/08/2023,new_zealand,south_africa,2,1
25/08/2023,south_africa,new_zealand,1,0
03/10/2015,england,australia,1,0
03/10/2015,australia,england,0,0
02/06/2017,rygbi gogledd cymru,wales,0,0
02/06/2017,wales,rygbi gogledd cymru,0,0
01/02/2020,wales,italy,0,0
01/02/2020,italy,wales,0,0
04/07/2026,south_africa,england,1,0
04/07/2026,england,south_africa,2,0
17/11/2024,italy,georgia,0,0
17/11/2024,georgia,italy,1,0
18/06/2016,japan,scotland,2,0
18/06/2016,scotland,japan,0,0
06/02/2022,france,italy,0,0
06/02/2022,italy,france,0,0
27/02/2016,italy,scotland,0,0
27/02/2016,scotland,italy,2,0
05/09/2021,australia,new_zealand,0,0
05/09/2021,new_zealand,australia,0,1
13/03/2021,england,france,0,0
13/03/2021,france,england,0,0
06/02/2015,wales,england,1,0
06/02/2015,england,wales,0,0
05/11/2022,ireland,south_africa,0,0
05/11/2022,south_africa,ireland,1,0
13/09/2025,australia,argentina,1,0
13/09/2025,argentina,australia,1,0
16/08/2025,argentina,new_zealand,1,0
16/08/2025,new_zealand,argentina,2,0
28/09/2024,new_zealand,australia,1,0
28/09/2024,australia,new_zealand,0,0
18/08/2018,south_africa,argentina,0,0
18/08/2018,argentina,south_africa,0,0
28/02/2015,scotland,italy,2,0
