date,year,coach,opposition,tournament,test,h / a,argentina irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
30/09/2023,2023,mc,chile,wc,yes,n,9,22,13,,w,59,5,54,sclavi,creevy,bello,petti,rubiolo,"gonzalez, ju",kremer,isa,cubelli,sanchez,imhoff,de la fuente,cinti,isgro,bogado,ruiz,vivas,gomez kodela,alemanno,"oviedo, j",bazan velez,"carreras, s",mallia
08/10/2023,2023,mc,japan,wc,yes,n,9,12,3,,w,39,27,12,gallo,montoya,gomez kodela,petti,lavanini,matera,kremer,"gonzalez, ju",bertranou,"carreras, s","carreras, m",chocobares,cinti,boffelli,mallia,creevy,sclavi,bello,alemanno,rubiolo,bazan velez,sanchez,moroni
14/10/2023,2023,mc,wales,wc,yes,n,8,7,-1,,w,29,17,12,gallo,montoya,gomez kodela,petti,lavanini,"gonzalez, ju",kremer,isa,cubelli,"carreras, s","carreras, m",chocobares,cinti,boffelli,mallia,creevy,sclavi,bello,alemanno,bruni,bazan velez,sanchez,moroni
20/10/2023,2023,mc,nz,wc,yes,n,7,2,-5,,l,6,44,-38,gallo,montoya,gomez kodela,petti,lavanini,"gonzalez, ju",kremer,isa,bertranou,"carreras, s","carreras, m",chocobares,cinti,boffelli,mallia,creevy,sclavi,bello,alemanno,bruni,bazan velez,sanchez,moroni
27/10/2023,2023,mc,england,wc,yes,n,7,5,-2,,l,23,26,-3,gallo,montoya,gomez kodela,petti,rubiolo,"gonzalez, ju",kremer,isa,cubelli,"carreras, s","carreras, m",de la fuente,cinti,boffelli,mallia,creevy,sclavi,bello,alemanno,bruni,bazan velez,sanchez,moroni
06/07/2024,2024,mc,france,tour,yes,h,7,4,-3,,l,13,28,-15,gallo,montoya,bello,alemanno,paulos,matera,kremer,"oviedo, j",bertranou,"carreras, s","carreras, m",de la fuente,moroni,delguy,bogado,ruiz,vivas,sordoni,molina,pedemonte,bazan velez,albornoz,orlando
13/07/2024,2024,mc,france,tour,yes,h,7,4,-3,,w,33,25,8,vivas,montoya,bello,molina,paulos,matera,kremer,"oviedo, j",bazan velez,"carreras, s","carreras, m",chocobares,moroni,delguy,"cordero, s",ruiz,gallo,sordoni,alemanno,rubiolo,bertranou,albornoz,orlando
20/07/2024,2024,mc,uruguay,tour,yes,a,7,17,10,,w,79,5,74,gallo,ruiz,bello,molina,rubiolo,moro,kremer,"oviedo, j",bertranou,albornoz,"carreras, m",de la fuente,chocobares,mendy,"cordero, s",calles,vivas,coria marchetti,alemanno,matera,garcia,"carreras, s",orlando
10/08/2024,2024,mc,nz,rc,yes,a,7,3,-4,,w,38,30,8,gallo,ruiz,bello,molina,rubiolo,matera,kremer,"gonzalez, ju",bertranou,"carreras, s","carreras, m",chocobares,cinti,moroni,mallia,creevy,vivas,sclavi,elias,lavanini,"oviedo, j",bazan velez,albornoz
17/08/2024,2024,mc,nz,rc,yes,a,6,3,-3,,l,10,42,-32,gallo,montoya,sordoni,kremer,rubiolo,matera,"gonzalez, ju","oviedo, j",bertranou,"carreras, s","carreras, m",chocobares,cinti,moroni,mallia,ruiz,vivas,sclavi,molina,lavanini,bazan velez,albornoz,delguy
31/08/2024,2024,mc,australia,rc,yes,h,6,9,3,,l,19,20,-1,gallo,montoya,sclavi,molina,rubiolo,matera,kremer,"gonzalez, ju",bertranou,"carreras, s","carreras, m",chocobares,cinti,"cordero, s",mallia,creevy,vivas,bello,petti,lavanini,"grondona, s",bazan velez,albornoz
07/09/2024,2024,mc,australia,rc,yes,h,7,8,1,,w,67,27,40,,,,,,,,,,,,,,,,,,,,,,,
21/09/2024,2024,mc,sa,rc,yes,h,7,1,-6,,w,29,28,1,gallo,montoya,sclavi,molina,rubiolo,matera,kremer,"oviedo, j",bertranou,albornoz,"carreras, m",chocobares,cinti,delguy,mallia,ruiz,calles,delgado,petti,"gonzalez, ju",garcia,"carreras, s",moroni
28/09/2024,2024,mc,sa,rc,yes,a,6,2,-4,,l,7,48,-41,gallo,montoya,sclavi,rubiolo,lavanini,"gonzalez, ju","grondona, s","oviedo, j",garcia,albornoz,"carreras, m",chocobares,moroni,isgro,"carreras, s",ruiz,calles,delgado,molina,matera,bazan velez,cinti,mallia
09/11/2024,2024,mc,italy,tour,yes,a,6,8,2,,w,50,18,32,gallo,montoya,sclavi,molina,rubiolo,"gonzalez, ju","grondona, s","oviedo, j",bertranou,albornoz,delguy,orlando,cinti,isgro,mallia,ruiz,calles,gomez kodela,alemanno,pedemonte,garcia,moroni,"cordero, s"
15/11/2024,2024,mc,ireland,tour,yes,a,5,3,-2,,l,19,22,-3,gallo,montoya,sclavi,petti,rubiolo,matera,"gonzalez, ju","oviedo, j",bertranou,albornoz,delguy,moroni,cinti,isgro,mallia,ruiz,calles,gomez kodela,molina,"grondona, s",garcia,"carreras, s",piccardo
22/11/2024,2024,mc,france,tour,yes,a,5,4,-1,,l,23,37,-14,gallo,montoya,sclavi,petti,rubiolo,matera,"gonzalez, ju","oviedo, j",garcia,albornoz,delguy,moroni,cinti,isgro,mallia,ruiz,calles,gomez kodela,molina,kremer,bazan velez,"carreras, s","carreras, m"
20/06/2025,2025,mc,lions,friendly,no,a,n/a,n/a,n/a,,w,28,24,4,vivas,montoya,sclavi,molina,rubiolo,matera,"gonzalez, ju","oviedo, j",garcia,albornoz,mendy,piccardo,cinti,isgro,"carreras, s",bernasconi,wenger,coria marchetti,"grondona, s",moro,benitez cruz,moroni,"cordero, s"
05/07/2025,2025,mc,england,tour,yes,h,5,6,1,,l,12,35,-23,vivas,montoya,delgado,paulos,rubiolo,matera,"gonzalez, ju",isa,bertranou,"carreras, s","cordero, s",piccardo,cinti,isgro,elizalde,bernasconi,gallo,coria marchetti,"grondona, s",moro,benitez cruz,roger,moroni
12/07/2025,2025,mc,england,tour,yes,h,6,5,-1,,l,17,22,-5,gallo,montoya,gomez kodela,petti,rubiolo,"grondona, s","gonzalez, ju",matera,benitez cruz,"carreras, s",mendy,piccardo,cinti,moroni,elizalde,bernasconi,vivas,delgado,paulos,isa,"grondona, b","moyano, a",roger
19/07/2025,2025,mc,uruguay,tour,yes,h,7,17,10,,w,52,17,35,vivas,montoya,gomez kodela,petti,rubiolo,matera,"grondona, b",moro,benitez cruz,roger,pernas,piccardo,moroni,isgro,elizalde,bernasconi,tetaz chaparro,coria marchetti,paulos,d'amorim,"moyano, a",sanchez valarolo,"cordero, s"
16/08/2025,2025,mc,nz,rc,yes,h,7,2,-5,,l,24,41,-17,vivas,montoya,delgado,molina,rubiolo,matera,kremer,"oviedo, j",garcia,albornoz,delguy,chocobares,cinti,isgro,mallia,ruiz,tetaz chaparro,sclavi,petti,"gonzalez, ju",benitez cruz,"carreras, s",piccardo
23/08/2025,2025,mc,nz,rc,yes,h,7,1,-6,,w,29,23,6,vivas,montoya,delgado,molina,rubiolo,matera,"gonzalez, ju","oviedo, j",garcia,albornoz,"carreras, m",chocobares,cinti,delguy,mallia,ruiz,tetaz chaparro,sclavi,petti,kremer,benitez cruz,"carreras, s",piccardo
06/09/2025,2025,mc,australia,rc,yes,a,7,6,-1,,l,24,28,-4,vivas,montoya,sclavi,molina,rubiolo,"gonzalez, ju",kremer,matera,garcia,"carreras, s","carreras, m",chocobares,cinti,delguy,mallia,ruiz,wenger,coria marchetti,petti,"oviedo, j","moyano, a",prisciantelli,elizalde
13/09/2025,2025,mc,australia,rc,yes,a,7,6,-1,,w,28,26,2,vivas,montoya,sclavi,petti,rubiolo,"gonzalez, ju",kremer,"oviedo, j",garcia,"carreras, s","carreras, m",chocobares,cinti,isgro,mallia,ruiz,wenger,coria marchetti,molina,matera,"moyano, a",piccardo,mendy
27/09/2025,2025,mc,sa,rc,yes,a,6,1,-5,,l,30,67,-37,vivas,montoya,sclavi,molina,paulos,matera,kremer,"oviedo, j",garcia,"carreras, s","carreras, m",chocobares,cinti,isgro,mallia,ruiz,wenger,coria marchetti,petti,rubiolo,"gonzalez, ju",benitez cruz,albornoz
04/10/2025,2025,mc,sa,rc,yes,a,6,1,-5,,l,27,29,-2,vivas,montoya,coria marchetti,petti,rubiolo,matera,kremer,"grondona, s",benitez cruz,prisciantelli,mallia,chocobares,piccardo,delguy,"carreras, s",ruiz,wenger,rapetti,molina,"gonzalez, ju","oviedo, j","moyano, a",isgro
09/11/2025,2025,mc,wales,tour,yes,a,6,12,6,,w,52,28,24,vivas,montoya,delgado,petti,kremer,matera,"gonzalez, ju","oviedo, j",benitez cruz,prisciantelli,"carreras, m",chocobares,piccardo,delguy,"carreras, s",ruiz,gallo,rapetti,alemanno,"grondona, s","moyano, a",mallia,isgro
16/11/2025,2025,mc,scotland,tour,yes,a,6,8,2,,w,33,24,9,vivas,montoya,delgado,petti,rubiolo,"grondona, s","gonzalez, ju","oviedo, j",benitez cruz,prisciantelli,"carreras, m",chocobares,moroni,isgro,mallia,ruiz,gallo,coria marchetti,elias,matera,"moyano, a","carreras, s",piccardo
23/11/2025,2025,mc,england,tour,yes,a,6,3,-3,,l,23,27,-4,gallo,montoya,delgado,petti,rubiolo,"gonzalez, ju",kremer,"grondona, s",benitez cruz,albornoz,delguy,piccardo,moroni,isgro,mallia,ruiz,wenger,rapetti,molina,matera,"oviedo, j","moyano, a","carreras, s"
04/07/2026,2026,mc,scotland,nc,yes,h,5,7,2,,l,38,47,-9,vivas,montoya,delgado,petti,alemanno,matera,"grondona, s","oviedo, j",garcia,albornoz,"carreras, m",sanchez valarolo,cinti,isgro,"carreras, s",ruiz,wenger,rapetti,molina,moro,"moyano, a",moroni,delguy
11/07/2026,2026,mc,wales,nc,yes,h,7,11,4,,w,35,21,14,wenger,montoya,rapetti,petti,alemanno,"grondona, s",kremer,"oviedo, j",garcia,albornoz,"carreras, m",piccardo,cinti,delguy,"carreras, s",ruiz,vivas,coria marchetti,molina,matera,benitez cruz,moroni,mendy
18/07/2026,2026,mc,england,nc,yes,h,7,5,-2,,l,24,31,-7,vivas,montoya,rapetti,petti,alemanno,"grondona, s",kremer,"oviedo, j",garcia,albornoz,"carreras, m",piccardo,moroni,delguy,"carreras, s",ruiz,wenger,delgado,elias,matera,moro,benitez cruz,cinti
08/08/2026,2026,mc,sa,rc,yes,h,7,1,-6,,l,10,17,-7,wenger,ruiz,moreno,petti,lavanini,matera,"grondona, b",moro,benitez cruz,"carreras, s",mendy,sanchez valarolo,cinti,isgro,prisciantelli,"oviedo, l",vivas,rapetti,elias,penoucos,scelzo,"moyano, a",moroni
29/08/2026,2026,mc,australia,rc,yes,h,7,8,1,,l,21,27,-6,wenger,ruiz,moreno,petti,lavanini,matera,"grondona, b",moro,benitez cruz,"carreras, s",mendy,sanchez valarolo,cinti,isgro,prisciantelli,"oviedo, l",martinez,rapetti,elias,penoucos,"moyano, a",roger,moroni
