date,team,opposition,venue,city,country,kickoff_utc,gmt_offset
23/02/2018,italy,france,Stade Vélodrome,Marseille,France,2018-02-23T20:00:00+00:00,1.0
04/07/2021,england,usa,Twickenham,London,England,2021-07-04T13:00:00+00:00,1.0
04/07/2021,usa,england,Twickenham,London,England,2021-07-04T13:00:00+00:00,1.0
10/07/2024,uruguay,france,Estadio Charrúa,Montevideo,Uruguay,2024-07-10T17:00:00+00:00,-3.0
10/07/2024,france,uruguay,Estadio Charrúa,Montevideo,Uruguay,2024-07-10T17:00:00+00:00,-3.0
16/08/2025,south_africa,australia,Emirates Airline Park,Johannesburg,South Africa,2025-08-16T15:10:00+00:00,2.0
16/08/2025,australia,south_africa,Emirates Airline Park,Johannesburg,South Africa,2025-08-16T15:10:00+00:00,2.0
23/11/2024,italy,new_zealand,Allianz Stadium,Turin,Italy,2024-11-23T20:10:00+00:00,1.0
23/11/2024,new_zealand,italy,Allianz Stadium,Turin,Italy,2024-11-23T20:10:00+00:00,1.0
21/10/2023,england,south_africa,Stade de France,Saint-Denis,France,2023-10-21T19:00:00+00:00,2.0
21/10/2023,south_africa,england,Stade de France,Saint-Denis,France,2023-10-21T19:00:00+00:00,2.0
04/10/2025,australia,new_zealand,Optus Stadium,Perth,Australia,2025-10-04T09:45:00+00:00,8.0
04/10/2025,new_zealand,australia,Optus Stadium,Perth,Australia,2025-10-04T09:45:00+00:00,8.0
