date,team,opposition,venue,city,country,kickoff_utc,gmt_offset
12/02/2017,france,scotland,Stade de France,Saint-Denis,France,2017-02-12T15:00:00+00:00,1.0
12/02/2017,scotland,france,Stade de France,Saint-Denis,France,2017-02-12T15:00:00+00:00,1.0
19/09/2015,ireland,canada,Millennium Stadium,Cardiff,Wales,2015-09-19T13:30:00+00:00,1.0
19/09/2015,canada,ireland,Millennium Stadium,Cardiff,Wales,2015-09-19T13:30:00+00:00,1.0
05/07/2025,new_zealand,france,Forsyth Barr Stadium,Dunedin,New Zealand,2025-07-05T08:05:00+00:00,11.0
05/07/2025,france,new_zealand,Forsyth Barr Stadium,Dunedin,New Zealand,2025-07-05T08:05:00+00:00,11.0
10/11/2018,england,new_zealand,Twickenham,London,England,2018-11-10T15:00:00+00:00,0.0
10/11/2018,new_zealand,england,Twickenham,London,England,2018-11-10T15:00:00+00:00,0.0
27/08/2022,australia,south_africa,Adelaide Oval,Adelaide,Australia,2022-08-27T05:30:00+00:00,9.5
27/08/2022,south_africa,australia,Adelaide Oval,Adelaide,Australia,2022-08-27T05:30:00+00:00,9.5
09/02/2019,italy,wales,Stadio Olimpico,Roma,Italy,2019-02-09T16:45:00+00:00,1.0
09/02/2019,wales,italy,Stadio Olimpico,Roma,Italy,2019-02-09T16:45:00+00:00,1.0
11/10/2020,new_zealand,australia,Sky Stadium,Wellington,New Zealand,2020-10-11T03:00:00+00:00,13.0
11/10/2020,australia,new_zealand,Sky Stadium,Wellington,New Zealand,2020-10-11T03:00:00+00:00,13.0
17/07/2021,wales,argentina,Principality Stadium,Cardiff,Wales,2021-07-17T14:00:00+00:00,1.0
17/07/2021,argentina,wales,Principality Stadium,Cardiff,Wales,2021-07-17T14:00:00+00:00,1.0
10/09/2016,australia,south_africa,Suncorp Stadium,Brisbane,Australia,2016-09-10T10:05:00+00:00,10.0
10/09/2016,south_africa,australia,Suncorp Stadium,Brisbane,Australia,2016-09-10T10:05:00+00:00,10.0
22/02/2026,france,italy,Stade Pierre-Mauroy,Villeneuve-d'Ascq,France,2026-02-22T15:10:00+00:00,1.0
22/02/2026,italy,france,Stade Pierre-Mauroy,Villeneuve-d'Ascq,France,2026-02-22T15:10:00+00:00,1.0
08/10/2023,japan,argentina,Stade de la Beaujoire,Nantes,France,2023-10-08T11:00:00+00:00,2.0
08/10/2023,argentina,japan,Stade de la Beaujoire,Nantes,France,2023-10-08T11:00:00+00:00,2.0
14/03/2026,wales,italy,Principality Stadium,Cardiff,Wales,2026-03-14T16:40:00+00:00,0.0
14/03/2026,italy,wales,Principality Stadium,Cardiff,Wales,2026-03-14T16:40:00+00:00,0.0
16/09/2023,wales,portugal,Stade de Nice,Nice,France,2023-09-16T15:45:00+00:00,2.0
16/09/2023,portugal,wales,Stade de Nice,Nice,France,2023-09-16T15:45:00+00:00,2.0
30/09/2023,scotland,romania,Stade Pierre-Mauroy,Lille,France,2023-09-30T19:00:00+00:00,2.0
30/09/2023,romania,scotland,Stade Pierre-Mauroy,Lille,France,2023-09-30T19:00:00+00:00,2.0
03/11/2018,wales,scotland,Principality Stadium,Cardiff,Wales,2018-11-03T14:45:00+00:00,0.0
03/11/2018,scotland,wales,Principality Stadium,Cardiff,Wales,2018-11-03T14:45:00+00:00,0.0
10/08/2019,australia,new_zealand,Optus Stadium,Perth,Australia,2019-08-10T09:45:00+00:00,8.0
10/08/2019,new_zealand,australia,Optus Stadium,Perth,Australia,2019-08-10T09:45:00+00:00,8.0
19/11/2022,italy,south_africa,Stadio Luigi Ferraris,Genova,Italy,2022-11-19T13:00:00+00:00,1.0
19/11/2022,south_africa,italy,Stadio Luigi Ferraris,Genova,Italy,2022-11-19T13:00:00+00:00,1.0
02/11/2024,scotland,fiji,Murrayfield,Edinburgh,Scotland,2024-11-02T17:40:00+00:00,0.0
02/11/2024,fiji,scotland,Murrayfield,Edinburgh,Scotland,2024-11-02T17:40:00+00:00,0.0
19/11/2022,ireland,australia,Aviva Stadium,Dublin,Ireland,2022-11-19T20:00:00+00:00,0.0
19/11/2022,australia,ireland,Aviva Stadium,Dublin,Ireland,2022-11-19T20:00:00+00:00,0.0
30/09/2017,argentina,new_zealand,Velez Sarsfield Stadium,Buenos Aires,Argentina,2017-09-30T22:30:00+00:00,-3.0
30/09/2017,new_zealand,argentina,Velez Sarsfield Stadium,Buenos Aires,Argentina,2017-09-30T22:30:00+00:00,-3.0
25/02/2017,ireland,france,Aviva Stadium,Dublin,Ireland,2017-02-25T16:50:00+00:00,0.0
25/02/2017,france,ireland,Aviva Stadium,Dublin,Ireland,2017-02-25T16:50:00+00:00,0.0
10/07/2021,ireland,usa,Aviva Stadium,Dublin,Ireland,2021-07-10T18:15:00+00:00,1.0
10/07/2021,usa,ireland,Aviva Stadium,Dublin,Ireland,2021-07-10T18:15:00+00:00,1.0
08/10/2019,south_africa,canada,Kobe Misaki Stadium,Kobe City,Japan,2019-10-08T10:15:00+00:00,9.0
08/10/2019,canada,south_africa,Kobe Misaki Stadium,Kobe City,Japan,2019-10-08T10:15:00+00:00,9.0
19/07/2025,south_africa,georgia,Mbombela Stadium,Mbombela,South Africa,2025-07-19T16:10:00+00:00,1.0
19/07/2025,georgia,south_africa,Mbombela Stadium,Mbombela,South Africa,2025-07-19T16:10:00+00:00,1.0
27/08/2023,france,australia,Stade de France,Saint-Denis,France,2023-08-27T15:45:00+00:00,2.0
27/08/2023,australia,france,Stade de France,Saint-Denis,France,2023-08-27T15:45:00+00:00,2.0
01/10/2023,australia,portugal,Stade Geoffroy-Guichard,Saint-Étienne,France,2023-10-01T15:45:00+00:00,2.0
01/10/2023,portugal,australia,Stade Geoffroy-Guichard,Saint-Étienne,France,2023-10-01T15:45:00+00:00,2.0
15/10/2023,france,south_africa,Stade de France,Saint-Denis,France,2023-10-15T19:00:00+00:00,2.0
15/10/2023,south_africa,france,Stade de France,Saint-Denis,France,2023-10-15T19:00:00+00:00,2.0
22/11/2020,scotland,france,Murrayfield,Edinburgh,Scotland,2020-11-22T15:00:00+00:00,0.0
22/11/2020,france,scotland,Murrayfield,Edinburgh,Scotland,2020-11-22T15:00:00+00:00,0.0
08/08/2026,japan,australia,Hanazono Rugby Stadium,"Osaka Prefecture, Higashiosaka City",Japan,2026-08-08T10:05:00+00:00,9.0
08/08/2026,australia,japan,Hanazono Rugby Stadium,"Osaka Prefecture, Higashiosaka City",Japan,2026-08-08T10:05:00+00:00,9.0
