date,year,opposition,h / a,eng irb,opp irb,irb difference,,higher/ lower,result,pts scored,pts conceded,difference,,tries scored,tries conceded,higher / lower,kick % success,eng cbs,opp cbs,higher / lower,eng dbs,opp dbs,higher / lower,eng off-loads,opp off-loads,higher / lower,eng kfh,opp kfh,higher / lower,eng penalties,opp penalties,higher / lower,coach,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,scotland,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,"youngs, t",cole,launchbury,parling,wood,robshaw,8,9,10,brown,twelvetrees,barritt,ashton,goode,,,,,,,,
,,ireland,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,"youngs, t",cole,launchbury,parling,haskell,robshaw,8,9,10,brown,twelvetrees,barritt,ashton,goode,,,,,,,,
,,france,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,launchbury,parling,lawes,robshaw,8,9,10,brown,barritt,tuilagi,ashton,goode,,,,,,,,
,,italy,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,"vunipola, m","youngs, t",cole,launchbury,parling,haskell,robshaw,8,9,10,brown,barritt,tuilagi,ashton,goode,,,,,,,,
,,wales,a,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,"vunipola, m","youngs, t",cole,launchbury,parling,croft,robshaw,8,9,10,brown,barritt,tuilagi,ashton,goode,,,,,,,,
,,argentina,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,webber,wilson,launchbury,attwood,wood,kvesic,8,9,10,strettle,twelvetrees,joseph,wade,brown,,,,,,,,
,,argentina,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,webber,wilson,launchbury,attwood,wood,kvesic,8,9,10,yarde,eastmond,joseph,may,brown,,,,,,,,
,,australia,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,"vunipola, m","youngs, t",cole,launchbury,lawes,wood,robshaw,8,9,10,yarde,twelvetrees,tomkins,ashton,brown,,,,,,,,
,,argentina,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,wilson,launchbury,lawes,wood,robshaw,8,9,10,foden,twelvetrees,tomkins,ashton,brown,,,,,,,,
,,nz,h,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,launchbury,lawes,wood,robshaw,8,9,10,foden,twelvetrees,tomkins,ashton,brown,,,,,,,,
,,france,a,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,launchbury,lawes,wood,robshaw,8,9,10,may,twelvetrees,burrell,nowell,brown,,,,,,,,
,,scotland,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,launchbury,lawes,wood,robshaw,8,9,10,may,twelvetrees,burrell,nowell,brown,,,,,,,,
,,ireland,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,wilson,launchbury,lawes,wood,robshaw,8,9,10,may,twelvetrees,burrell,nowell,brown,,,,,,,,
,,wales,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,wilson,launchbury,lawes,wood,robshaw,8,9,10,may,twelvetrees,burrell,nowell,brown,,,,,,,,
,,italy,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,"vunipola, m",hartley,wilson,launchbury,lawes,wood,robshaw,8,9,10,may,twelvetrees,burrell,nowell,brown,,,,,,,,
,,nz,a,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,webber,wilson,launchbury,parling,haskell,robshaw,8,9,10,may,eastmond,tuilagi,yarde,brown,,,,,,,,
,,nz,a,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,webber,wilson,launchbury,parling,wood,robshaw,8,9,10,yarde,twelvetrees,burrell,tuilagi,brown,,,,,,,,
,,nz,a,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,wilson,launchbury,lawes,wood,robshaw,8,9,10,yarde,eastmond,tuilagi,ashton,brown,,,,,,,,
,,nz,h,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,wilson,attwood,lawes,wood,robshaw,8,9,10,may,eastmond,barritt,rokoduguni,brown,,,,,,,,
,,sa,h,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,wilson,attwood,lawes,wood,robshaw,8,9,10,may,eastmond,barritt,watson,brown,,,,,,,,
,,samoa,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,webber,wilson,attwood,lawes,haskell,robshaw,8,9,10,may,farrell,barritt,watson,brown,,,,,,,,
,,australia,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,wilson,attwood,lawes,wood,robshaw,8,9,10,may,twelvetrees,barritt,watson,brown,,,,,,,,
06/02/2015,,wales,a,4,6,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,attwood,kruis,haskell,robshaw,vunipola,youngs,ford,may,burrell,joseph,watson,brown,youngs,vunipola,brookes,easter,croft,wigglesworth,cipriani,
14/02/2015,,italy,h,3,14,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,attwood,kruis,haskell,robshaw,8,9,10,may,burrell,joseph,watson,brown,,,,,,,,
