date,year,opposition,h / a,eng irb,opp irb,irb difference,,higher/ lower,result,pts scored,pts conceded,difference,,tries scored,tries conceded,higher / lower,kick % success,eng cbs,opp cbs,higher / lower,eng dbs,opp dbs,higher / lower,eng off-loads,opp off-loads,higher / lower,eng kfh,opp kfh,higher / lower,eng penalties,opp penalties,higher / lower,coach,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
17/08/2019,2019,wales,a,4,2,,,,l,,,,,,,,,,,,,,,,,,,,,,,,ej,,genge,cowan-dickie,cole,launchbury,itoje,lawes,ludlam,"vunipola, b",heinz,ford,cokanasiga,francis,joseph,watson,daly,george,marler,sinckler,kruis,singleton,youngs,farrell,tuilagi
24/08/2019,2019,ireland,h,5,3,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,george,sinckler,itoje,kruis,"curry, t",wilson,"vunipola, b","youngs, b",ford,may,farrell,tuilagi,cokanasiga,daly,cowan-dickie,vunipola,cole,lawes,wilson,heinz,francis,marchant
06/09/2019,2019,italy,h,3,13,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,george,cole,launchbury,lawes,"curry, t",wilson,"vunipola, b","youngs, b",farrell,may,francis,marchant,mcconnochie,watson,cowan-dickie,genge,sinckler,ewels,kvesic,heinz,ford,cokanasiga
22/09/2019,2019,tonga,n,3,15,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,george,sinckler,lawes,itoje,"curry, t",underhill,"vunipola, b","youngs, b",ford,may,farrell,tuilagi,watson,daly,cowan-dickie,genge,cole,kruis,ludlam,heinz,slade,joseph
26/09/2019,2019,usa,n,3,13,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,cowan-dickie,cole,launchbury,kruis,"curry, t",ludlam,"vunipola, b",heinz,ford,cokanasiga,francis,joseph,mcconnochie,daly,singleton,genge,sinckler,lawes,wilson,youngs,farrell,watson
05/10/2019,2019,argentina,n,3,10,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,george,sinckler,itoje,kruis,"curry, t",underhill,"vunipola, b","youngs, b",ford,may,farrell,tuilagi,watson,daly,cowan-dickie,vunipola,cole,lawes,ludlam,heinz,slade,nowell
19/10/2019,2019,australia,n,3,6,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,itoje,lawes,"curry, t",underhill,"vunipola, b","youngs, b",farrell,may,tuilagi,slade,watson,daly,cowan-dickie,marler,cole,kruis,ludlam,heinz,ford,joseph
26/10/2019,2019,nz,n,2,1,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,itoje,lawes,"curry, t",underhill,"vunipola, b","youngs, b",ford,may,farrell,tuilagi,watson,daly,cowan-dickie,marler,cole,kruis,wilson,heinz,slade,joseph
02/11/2019,2019,sa,n,1,2,,,,l,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,itoje,lawes,"curry, t",underhill,"vunipola, b","youngs, b",ford,may,farrell,tuilagi,watson,daly,cowan-dickie,marler,cole,kruis,wilson,spencer,slade,joseph
02/02/2020,2020,france,a,3,7,,,,l,17,24,,,,,,,,,,,,,,,,,,,,,,ej,,marler,george,sinckler,itoje,ewels,lawes,underhill,"curry, t","youngs, b",ford,daly,farrell,tuilagi,may,furbank,cowan-dickie,genge,stuart,kruis,ludlam,heinz,devoto,joseph
08/02/2020,2020,scotland,a,3,9,,,,w,13,6,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,itoje,kruis,ludlam,underhill,"curry, t",heinz,ford,daly,farrell,joseph,may,furbank,dunn,genge,stuart,launchbury,lawes,earl,"youngs, b",devoto
23/02/2020,2020,ireland,h,3,4,,,,w,24,12,,,,,,,,,,,,,,,,,,,,,,ej,,marler,george,sinckler,itoje,kruis,lawes,underhill,"curry, t","youngs, b",ford,joseph,farrell,tuilagi,may,daly,cowan-dickie,genge,stuart,launchbury,ewels,earl,heinz,slade
07/03/2020,2020,wales,h,3,6,,,,w,33,30,,,,,,,,,,,,,,,,,,,,,,ej,,marler,george,sinckler,itoje,kruis,lawes,wilson,"curry, t","youngs, b",ford,may,farrell,tuilagi,watson,daly,cowan-dickie,genge,stuart,launchbury,ewels,earl,heinz,slade
31/10/2020,2020,italy,h,3,14,,,,w,34,5,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,itoje,"hill, j","curry, t",underhill,"vunipola, b","youngs, b",farrell,may,slade,joseph,watson,furbank,dunn,genge,stuart,ewels,earl,robson,lawrence,thorley
14/11/2020,2020,georgia,h,3,12,,,,w,40,0,,,,,,,,,,,,,,,,,,,,,,ej,,genge,george,stuart,ewels,launchbury,itoje,"willis, j","vunipola, b","youngs, b",farrell,may,slade,lawrence,joseph,daly,dunn,"vunipola, m",sinckler,earl,"curry, t",robson,malins,marchant
21/11/2020,2020,ireland,h,2,5,,,,w,18,7,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,itoje,launchbury,"curry, t",underhill,"vunipola, b","youngs, b",farrell,may,slade,lawrence,joseph,daly,dunn,genge,stuart,"hill, j",earl,robson,ford,malins
28/11/2020,2020,wales,a,2,9,,,,w,24,13,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,itoje,launchbury,"curry, t",underhill,"vunipola, b","youngs, b",ford,may,farrell,slade,joseph,daly,cowan-dickie,genge,stuart,"hill, j","willis, j",earl,robson,watson
06/12/2020,2020,france,h,2,4,,,,w,22,19,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,itoje,launchbury,"curry, t",underhill,"vunipola, b","youngs, b",ford,may,farrell,slade,watson,daly,cowan-dickie,marler,stuart,"hill, j",earl,robson,malins,marchant
06/02/2021,2021,scotland,h,2,7,,,ranked higher,l,6,11,-5,,0,1,Lower,100,0,11,Lower,11,29,Lower,2,4,Lower,35,43,Lower,15,6,Higher,ej,,genge,george,stuart,itoje,"hill, j",wilson,"curry, t","vunipola, b","youngs, b",farrell,may,lawrence,slade,watson,daly,cowan-dickie,obano,williams,lawes,earl,robson,ford,malins
13/02/2021,2021,italy,h,3,14,,,ranked higher,w,41,18,23,,6,2,Higher,71,14,5,Higher,31,12,Higher,4,5,Lower,21,21,Equal,12,11,Higher,ej,,"vunipola, m",cowan-dickie,sinckler,itoje,"hill, j",lawes,"curry, t","vunipola, b","youngs, b",ford,may,farrell,slade,watson,daly,george,genge,stuart,ewels,earl,"willis, j",robson,malins
27/02/2021,2021,wales,a,3,7,,,ranked higher,l,24,40,-16,,2,4,Lower,71,4,10,Lower,19,10,Higher,2,0,Higher,24,36,Lower,14,9,Higher,ej,,"vunipola, m",george,sinckler,itoje,"hill, j",wilson,"curry, t","vunipola, b","youngs, b",ford,may,farrell,slade,watson,daly,cowan-dickie,genge,stuart,ewels,martin,earl,robson,malins
13/03/2021,2021,france,h,4,3,,,ranked lower,w,23,20,3,,2,2,Equal,100,10,9,Higher,28,29,Lower,8,6,Higher,31,32,Lower,12,8,Higher,ej,,"vunipola, m",cowan-dickie,sinckler,itoje,ewels,wilson,"curry, t","vunipola, b","youngs, b",ford,may,farrell,slade,watson,malins,george,genge,stuart,"hill, j",earl,robson,lawrence,daly
20/03/2021,2021,ireland,a,3,6,,,ranked higher,l,18,32,-14,,2,2,Equal,75,5,4,Higher,13,10,Higher,4,3,Higher,16,27,Lower,14,12,Higher,ej,,"vunipola, m",cowan-dickie,sinckler,itoje,ewels,wilson,"curry, t","vunipola, b","youngs, b",ford,may,farrell,lawrence,watson,daly,george,genge,stuart,"hill, j",martin,earl,robson,marchant
04/07/2021,2021,usa,h,3,16,,,ranked higher,w,43,29,14,,7,4,Higher,57,13,7,Higher,20,24,Lower,5,3,Higher,26,20,Higher,12,10,Higher,ej,,genge,langdon,heyes,mcinally,ewels,ludlow,underhill,chick,randall,"smith, m",malins,lawrence,slade,cokanasiga,steward,blamire,obano,davison,"hill, t","curry, b",ludlam,robson,umaga
10/07/2021,2021,canada,h,3,23,,,ranked higher,w,70,14,56,,10,2,Higher,100,12,2,Higher,40,11,Higher,7,4,Higher,18,19,Lower,14,16,Lower,ej,,genge,blamire,heyes,wells,ewels,ludlow,underhill,dombrandt,randall,"smith, m",radwan,kelly,slade,cokanasiga,steward,langdon,obano,"hill, p",chick,ludlam,robson,furbank,marchant
06/11/2021,2021,tonga,h,4,15,,,ranked higher,w,69,3,66,,11,0,Higher,64,14,2,Higher,39,13,Higher,8,3,Higher,17,21,Lower,9,19,Lower,ej,,genge,george,sinckler,itoje,"hill, j",lawes,underhill,"curry, t","youngs, b",furbank,radwan,tuilagi,slade,may,steward,blamire,marler,stuart,ewels,dombrandt,mitchell,smith,"atkinson, c"
13/11/2021,2021,australia,h,4,3,,,ranked lower,w,32,15,17,,2,0,Higher,89,5,3,Higher,18,20,Lower,9,3,Higher,31,23,Higher,9,18,Lower,ej,,rodd,george,sinckler,itoje,"hill, j",lawes,underhill,"curry, t","youngs, b","smith, m",may,farrell,slade,tuilagi,steward,blamire,davison,stuart,ewels,dombrandt,simmonds,quirke,malins
20/11/2021,2021,sa,h,3,1,,,ranked lower,w,27,26,1,,3,1,Higher,100,4,3,Higher,17,16,Higher,1,2,Lower,28,27,Higher,18,8,Higher,ej,,rodd,blamire,sinckler,itoje,"hill, j",lawes,underhill,"curry, t","youngs, b","smith, m",may,tuilagi,slade,marchant,steward,dolly,marler,stuart,ewels,dombrandt,simmonds,quirke,malins
05/02/2022,2022,scotland,a,3,7,,,ranked higher,l,17,20,-3,,1,1,Equal,80,3,5,Lower,8,17,Lower,7,3,Higher,32,27,Higher,10,13,Lower,ej,,genge,cowan-dickie,sinckler,itoje,isiekwe,ludlam,"curry, t",simmonds,"youngs, b","smith, m",marchant,slade,daly,malins,steward,george,marler,stuart,ewels,dombrandt,randall,ford,nowell
13/02/2022,2022,italy,a,4,14,,,ranked higher,w,33,0,33,,5,0,Higher,80,10,5,Higher,19,10,Higher,9,8,Higher,21,24,Lower,12,12,Equal,ej,,genge,george,stuart,ewels,isiekwe,itoje,"curry, t",dombrandt,randall,"smith, m",nowell,slade,marchant,malins,steward,cowan-dickie,marler,sinckler,chessum,simmonds,"youngs, b",ford,daly
26/02/2022,2022,wales,h,3,8,,,ranked higher,w,23,19,4,,1,3,Lower,75,2,5,Lower,19,20,Lower,6,14,Lower,24,19,Higher,13,13,Equal,ej,,genge,cowan-dickie,sinckler,itoje,ewels,lawes,"curry, t",dombrandt,randall,"smith, m",nowell,slade,daly,malins,steward,george,marler,stuart,isiekwe,simmonds,"youngs, b",ford,marchant
12/03/2022,2022,ireland,h,4,5,,,ranked higher,l,15,32,-17,,0,4,Lower,83,1,8,Lower,7,26,Lower,4,11,Lower,24,22,Higher,8,15,Lower,ej,,genge,george,sinckler,itoje,ewels,lawes,"curry, t",simmonds,randall,"smith, m",nowell,slade,marchant,malins,steward,blamire,marler,stuart,launchbury,dombrandt,"youngs, b",ford,daly
19/03/2022,2022,france,a,5,3,,,ranked lower,l,13,25,-12,,1,3,Lower,100,2,3,Lower,18,17,Higher,4,13,Lower,34,30,Higher,8,9,Lower,ej,,genge,george,stuart,itoje,isiekwe,lawes,underhill,simmonds,"youngs, b","smith, m",nowell,slade,marchant,steward,furbank,dolly,marler,sinckler,chessum,dombrandt,randall,ford,daly
02/07/2022,2022,australia,a,5,6,,,ranked higher,l,28,30,-2,,3,3,Equal,71,4,2,Higher,22,17,Higher,5,10,Lower,18,18,Equal,12,13,Lower,ej,,genge,george,stuart,itoje,"hill, j",lawes,"curry, t","vunipola, b",care,"smith, m",nowell,farrell,marchant,cokanasiga,steward,cowan-dickie,"vunipola, m",heyes,chessum,ludlam,jvp,porter,arundell
09/07/2022,2022,australia,a,6,5,,,ranked lower,w,25,17,8,,1,2,Lower,88,3,3,Equal,17,31,Lower,7,5,Higher,34,28,Higher,10,16,Lower,ej,,genge,george,stuart,itoje,"hill, j",lawes,underhill,"vunipola, b",jvp,"smith, m",nowell,farrell,porter,freeman,steward,cowan-dickie,"vunipola, m",heyes,chessum,ludlam,care,joseph,arundell
16/07/2022,2022,australia,a,5,6,,,ranked higher,w,21,17,4,,2,2,Equal,67,4,5,Lower,18,30,Lower,2,7,Lower,26,17,Higher,11,10,Higher,ej,,genge,george,stuart,chessum,"hill, j",lawes,ludlam,"vunipola, b",care,"smith, m",nowell,farrell,porter,freeman,steward,cowan-dickie,"vunipola, m",heyes,isiekwe,"willis, j",jvp,joseph,arundell
06/11/2022,2022,argentina,h,5,8,,,ranked higher,l,29,30,-1,,2,2,Equal,100,4,2,Higher,17,6,Higher,7,1,Higher,24,30,Lower,10,10,Equal,ej,,genge,cowan-dickie,sinckler,"coles, a","hill, j",itoje,"curry, t","vunipola, b","youngs, b","smith, m",nowell,farrell,tuilagi,cokanasiga,steward,singleton,"vunipola, m",heyes,ribbans,simmonds,"willis, j",jvp,slade
12/11/2022,2022,japan,h,5,10,,,ranked higher,w,52,13,39,,7,1,Higher,100,8,5,Higher,17,38,Lower,7,9,Lower,37,26,Higher,6,10,Lower,ej,,genge,cowan-dickie,sinckler,ribbans,"hill, j",itoje,"curry, t",simmonds,jvp,"smith, m",nowell,farrell,porter,may,steward,george,"vunipola, m",heyes,"coles, a","vunipola, b","youngs, b",slade,tuilagi
19/11/2022,2022,new zealand,h,5,3,,,ranked lower,d,25,25,0,,3,3,Equal,80,6,6,Equal,18,23,Lower,3,6,Lower,17,16,Higher,15,14,Higher,ej,,genge,cowan-dickie,sinckler,itoje,"hill, j",simmonds,"curry, t","vunipola, b",jvp,"smith, m",nowell,farrell,tuilagi,may,steward,george,"vunipola, m",stuart,ribbans,"willis, j","youngs, b",porter,slade
26/11/2022,2022,south africa,h,5,4,,,ranked lower,l,13,27,-14,,1,2,Lower,60,1,4,Lower,25,18,Higher,8,7,Higher,14,26,Lower,13,12,Higher,ej,,"vunipola, m",george,sinckler,itoje,"hill, j","coles, a","curry, t","vunipola, b",jvp,"smith, m",may,farrell,tuilagi,freeman,steward,cowan-dickie,genge,stuart,ribbans,simmonds,"youngs, b",slade,nowell
04/02/2023,2023,scotland,h,5,7,-2,False,higher,l,23,29,-6,Close (0-3),3,4,Lower,60,2,6,Lower,22,25,Lower,7,4,Higher,37,42,Lower,10,9,Higher,sb,,genge,george,sinckler,itoje,chessum,ludlam,"curry, b",dombrandt,jvp,"smith, m",ohc,farrell,marchant,malins,steward,walker,"vunipola, m",cole,isiekwe,earl,"youngs, b",lawrence,watson
12/02/2023,2023,italy,h,6,12,-6,False,higher,w,31,14,17,Close (0-3),5,2,Higher,50,4,6,Lower,21,41,Lower,5,12,Lower,30,23,Higher,7,14,Lower,sb,,genge,george,sinckler,itoje,chessum,ludlam,"willis, j",dombrandt,jvp,farrell,ohc,lawrence,slade,malins,steward,walker,"vunipola, m",cole,isiekwe,earl,mitchell,"smith, m",arundell
25/02/2023,2023,wales,a,6,9,-3,False,higher,w,20,10,10,Close (0-3),3,1,Higher,33,8,4,Higher,16,18,Lower,2,7,Lower,38,34,Higher,6,9,Lower,sb,,genge,george,sinckler,itoje,chessum,ludlam,"willis, j",dombrandt,jvp,farrell,watson,lawrence,slade,malins,steward,walker,"vunipola, m",cole,lawes,"curry, b",mitchell,"smith, m",arundell
11/03/2023,2023,france,h,6,2,4,False,lower,l,10,53,-43,Close (0-3),1,7,Lower,100,1,9,Lower,20,27,Lower,3,11,Lower,32,42,Lower,11,12,Lower,sb,,genge,george,sinckler,itoje,chessum,ludlam,"willis, j",dombrandt,jvp,"smith, m",watson,lawrence,slade,malins,steward,walker,"vunipola, m",cole,ribbans,"curry, b",mitchell,farrell,arundell
18/03/2023,2023,ireland,a,6,1,5,True,lower,l,16,29,-13,Close (0-3),1,4,Lower,100,1,10,Lower,15,34,Lower,4,3,Higher,33,34,Lower,13,7,Higher,sb,,genge,george,sinckler,itoje,ribbans,ludlam,"willis, j",dombrandt,jvp,farrell,arundell,tuilagi,slade,watson,steward,walker,"vunipola, m",cole,isiekwe,"curry, b",mitchell,"smith, m",marchant
05/08/2023,2023,wales,a,6,9,-3,False,higher,l,9,20,-11,Close (0-3),0,2,Lower,100,5,7,Lower,19,21,Lower,5,7,Lower,20,34,Lower,6,9,Lower,sb,,genge,blamire,stuart,ribbans,martin,ludlam,pearson,dombrandt,care,"smith, m",cokanasiga,porter,marchant,malins,steward,dan,rodd,sinckler,"hill, j","willis, t",jvp,ford,slade
12/08/2023,2023,wales,h,6,9,-3,False,higher,w,19,17,2,Close (0-3),1,2,Lower,100,5,5,Equal,18,14,Higher,3,6,Lower,31,17,Higher,12,12,Equal,sb,,marler,george,stuart,itoje,martin,lawes,earl,"vunipola, b",jvp,farrell,daly,lawrence,marchant,arundell,steward,dan,genge,cole,"hill, j","willis, j","youngs, b",ford,malins
19/08/2023,2023,ireland,a,6,1,5,True,lower,l,10,29,-19,Close (0-3),1,5,Lower,67,4,6,Lower,19,24,Lower,6,6,Equal,27,32,Lower,12,10,Higher,sb,,genge,george,stuart,itoje,ribbans,lawes,earl,"vunipola, b","youngs, b",ford,daly,tuilagi,marchant,watson,steward,dan,marler,sinckler,chessum,"willis, j",care,"smith, m",lawrence
26/08/2023,2023,fiji,h,6,9,-3,False,higher,l,22,30,-8,Close (0-3),3,3,Equal,75,5,6,Lower,20,27,Lower,3,7,Lower,33,21,Higher,10,7,Higher,sb,,genge,dan,cole,itoje,chessum,lawes,"willis, j",earl,mitchell,ford,may,tuilagi,lawrence,malins,steward,walker,marler,stuart,ribbans,ludlam,care,"smith, m",marchant
09/09/2023,2023,argentina,n,8,6,2,False,lower,w,27,10,17,Close (0-3),0,1,Lower,75,1,3,Lower,12,23,Lower,2,6,Lower,43,21,Higher,7,13,Lower,sb,,genge,george,cole,itoje,chessum,lawes,"curry, t",earl,mitchell,ford,daly,tuilagi,marchant,may,steward,dan,marler,stuart,martin,ludlam,care,"smith, m",lawrence
17/09/2023,2023,japan,n,6,14,-8,False,higher,w,34,12,22,Close (0-3),4,0,Higher,86,8,5,Higher,24,14,Higher,7,6,Higher,42,37,Higher,6,6,Equal,sb,,marler,george,sinckler,itoje,chessum,lawes,earl,ludlam,mitchell,ford,daly,tuilagi,marchant,may,steward,dan,genge,stuart,martin,"vunipola, b","youngs, b","smith, m",lawrence
23/09/2023,2023,chile,n,6,22,-16,False,higher,w,71,0,71,Close (0-3),11,0,Higher,73,15,3,Higher,28,18,Higher,8,8,Equal,25,14,Higher,11,12,Lower,sb,,rodd,dan,sinckler,ribbans,martin,ludlam,"willis, j","vunipola, b",care,farrell,malins,lawrence,daly,arundell,"smith, m",walker,marler,stuart,chessum,earl,"youngs, b",ford,marchant
07/10/2023,2023,samoa,n,6,14,-8,False,higher,w,18,17,1,Close (0-3),2,2,Equal,60,8,7,Higher,26,15,Higher,2,10,Lower,25,25,Equal,9,14,Lower,sb,,genge,george,cole,itoje,chessum,lawes,"curry, t",earl,mitchell,ford,may,farrell,tuilagi,marchant,steward,dan,marler,sinckler,martin,"vunipola, b",care,"smith, m",lawrence
15/10/2023,2023,fiji,n,6,10,-4,False,higher,w,30,24,6,Close (0-3),2,3,Lower,75,3,8,Lower,29,34,Lower,4,10,Lower,30,20,Higher,10,12,Lower,sb,,genge,george,cole,itoje,chessum,lawes,"curry, t",earl,mitchell,farrell,daly,tuilagi,marchant,may,"smith, m",dan,marler,sinckler,martin,"vunipola, b",care,ford,lawrence
21/10/2023,2023,sa,n,5,1,4,False,lower,l,15,16,-1,Close (0-3),0,1,Lower,100,0,3,Lower,14,15,Lower,4,2,Higher,41,29,Higher,11,8,Higher,sb,,marler,george,cole,itoje,martin,lawes,"curry, t",earl,mitchell,farrell,daly,tuilagi,marchant,may,steward,dan,genge,sinckler,chessum,"vunipola, b",care,ford,lawrence
27/10/2023,2023,argentina,n,5,7,-2,False,higher,w,26,23,3,Close (0-3),2,2,Equal,100,4,6,Lower,14,34,Lower,0,4,Lower,45,38,Higher,8,7,Higher,sb,,genge,dan,stuart,itoje,chessum,"curry, t",underhill,earl,"youngs, b",farrell,arundell,tuilagi,marchant,steward,"smith, m",george,rodd,cole,ribbans,ludlam,care,ford,lawrence
03/02/2024,2024,italy,a,5,11,-6,False,higher,w,27,24,3,Close (0-3),2,3,Lower,86,4,6,Lower,25,19,Higher,4,8,Lower,31,25,Higher,8,11,Lower,sb,,marler,george,stuart,itoje,chessum,roots,underhill,earl,mitchell,ford,daly,dingwall,slade,freeman,steward,dan,obano,cole,"coles, a",ccs,care,"smith, f",feyi-waboso
10/02/2024,2024,wales,h,5,8,-3,False,higher,w,16,14,2,Close (0-3),2,1,Higher,50,5,4,Higher,22,24,Lower,1,5,Lower,32,33,Lower,7,5,Higher,sb,,marler,george,stuart,itoje,chessum,roots,underhill,earl,mitchell,ford,daly,dingwall,slade,freeman,steward,dan,genge,cole,"coles, a",ccs,care,"smith, f",feyi-waboso
24/02/2024,2024,scotland,a,5,6,-1,False,higher,l,21,30,-9,Close (0-3),2,3,Lower,75,4,4,Equal,22,19,Higher,2,7,Lower,31,34,Lower,5,10,Lower,sb,,genge,george,cole,itoje,chessum,roots,underhill,earl,care,ford,daly,lawrence,slade,freeman,furbank,dan,marler,stuart,martin,ccs,spencer,"smith, f",feyi-waboso
09/03/2024,2024,ireland,h,5,2,3,False,lower,w,23,22,1,Close (0-3),3,2,Higher,33,8,2,Higher,25,18,Higher,9,6,Higher,23,28,Lower,10,8,Higher,sb,,genge,george,cole,itoje,martin,chessum,underhill,earl,mitchell,ford,freeman,lawrence,slade,feyi-waboso,furbank,dan,marler,stuart,ccs,dombrandt,care,"smith, m",daly
16/03/2024,2024,france,a,5,4,1,False,lower,l,31,33,-2,Close (0-3),4,3,Higher,100,7,7,Equal,18,36,Lower,2,10,Lower,34,37,Lower,10,5,Higher,sb,,genge,george,cole,itoje,martin,chessum,underhill,earl,mitchell,ford,daly,lawrence,slade,freeman,furbank,dan,marler,stuart,roots,dombrandt,care,"smith, m",tuilagi
22/06/2024,2024,japan,a,5,12,-7,False,higher,w,52,17,35,Close (0-3),8,2,Higher,75,8,5,Higher,22,33,Lower,7,10,Lower,29,17,Higher,16,13,Higher,sb,,rodd,george,cole,itoje,martin,ccs,underhill,earl,mitchell,"smith, m",freeman,lawrence,slade,feyi-waboso,furbank,dan,marler,stuart,ewels,"curry, t",randall,"smith, f",roebuck
06/07/2024,2024,nz,a,5,3,2,False,lower,l,15,16,-1,Close (0-3),2,2,Equal,,3,9,Lower,24,34,Lower,4,15,Lower,35,31,Higher,10,7,Higher,sb,,marler,george,stuart,itoje,martin,ccs,underhill,earl,mitchell,"smith, m",freeman,lawrence,slade,feyi-waboso,furbank,dan,baxter,cole,"coles, a","curry, t",spencer,"smith, f",sleightholme
13/07/2024,2024,nz,a,5,3,2,False,lower,l,17,24,-7,Close (0-3),2,2,Equal,100,4,6,Lower,16,28,Lower,3,2,Higher,29,36,Lower,11,6,Higher,sb,,baxter,george,stuart,itoje,martin,ccs,underhill,earl,mitchell,"smith, m",freeman,lawrence,slade,feyi-waboso,steward,dan,rodd,cole,"coles, a","curry, t",spencer,"smith, f",sleightholme
02/11/2024,2024,nz,h,5,3,2,False,lower,l,22,24,-2,Close (0-3),1,3,Lower,,,,Equal,,,Equal,,,Equal,,,Equal,,,Equal,sb,,genge,george,stuart,itoje,martin,ccs,"curry, t",earl,spencer,"smith, m",freeman,lawrence,slade,feyi-waboso,furbank,dan,baxter,cole,isiekwe,"curry, b",dombrandt,randall,ford
09/11/2024,2024,australia,h,5,9,-4,False,higher,l,37,42,-5,Close (0-3),5,5,Equal,,,,Equal,,,Equal,,,Equal,,,Equal,,,Equal,sb,,genge,george,stuart,itoje,martin,ccs,"curry, t",earl,spencer,"smith, m",freeman,slade,lawrence,feyi-waboso,furbank,cowan-dickie,baxter,cole,isiekwe,dombrandt,randall,ford,sleightholme
16/11/2024,2024,sa,h,7,1,6,True,lower,l,20,29,-9,Close (0-3),2,4,Lower,,,,Equal,,,Equal,,,Equal,,,Equal,,,Equal,sb,,genge,george,stuart,itoje,martin,ccs,underhill,earl,jvp,"smith, m",sleightholme,slade,lawrence,freeman,steward,cowan-dickie,baxter,cole,isiekwe,dombrandt,randall,ford,roebuck
24/11/2024,2024,japan,h,7,13,-6,False,higher,w,59,14,45,Close (0-3),9,2,Higher,,,,Equal,,,Equal,,,Equal,,,Equal,,,Equal,sb,,genge,george,stuart,itoje,martin,"curry, t",underhill,earl,jvp,"smith, m",sleightholme,slade,lawrence,freeman,furbank,cowan-dickie,baxter,aof,isiekwe,ccs,randall,"smith, f",roebuck
01/02/2025,2025,ireland,a,7,2,5,True,lower,l,22,27,-5,Close (0-3),3,4,Lower,75,9,10,Lower,32,25,Higher,3,9,Lower,38,31,Higher,11,8,Higher,sb,,genge,cowan-dickie,stuart,itoje,martin,"curry, t","curry, b",earl,mitchell,"smith, m",murley,slade,lawrence,freeman,steward,dan,baxter,heyes,chessum,ccs,"willis, t",randall,"smith, f"
08/02/2025,2025,france,h,7,4,3,False,lower,w,26,25,1,Close (0-3),4,3,Higher,60,8,9,Lower,31,25,Higher,5,9,Lower,46,37,Higher,6,8,Lower,sb,,genge,cowan-dickie,stuart,itoje,martin,"curry, t",earl,"willis, t",mitchell,"smith, f",sleightholme,slade,lawrence,freeman,"smith, m",george,baxter,heyes,chessum,ccs,"curry, b",randall,daly
22/02/2025,2025,scotland,h,6,7,-1,False,higher,w,16,15,1,Close (0-3),1,3,Lower,100,2,9,Lower,10,35,Lower,3,10,Lower,36,25,Higher,10,13,Lower,sb,,genge,cowan-dickie,stuart,itoje,chessum,"curry, t",earl,"willis, t",mitchell,"smith, f",sleightholme,slade,lawrence,freeman,"smith, m",george,baxter,heyes,"hill, t",ccs,"curry, b",randall,daly
09/03/2025,2025,italy,h,6,10,-4,False,higher,w,47,24,23,Close (0-3),7,3,Higher,86,11,5,Higher,36,22,Higher,12,4,Higher,30,32,Lower,14,11,Higher,sb,,genge,george,stuart,itoje,chessum,"curry, t",earl,"willis, t",mitchell,"smith, f",sleightholme,dingwall,lawrence,freeman,daly,cowan-dickie,baxter,heyes,"hill, t",ccs,"curry, b",jvp,"smith, m"
15/03/2025,2025,wales,a,6,12,-6,False,higher,w,68,14,54,Close (0-3),10,2,Higher,,6,5,Higher,21,25,Lower,6,5,Higher,33,24,Higher,9,10,Lower,sb,,genge,cowan-dickie,stuart,itoje,chessum,"curry, t","curry, b",earl,mitchell,"smith, f",daly,dingwall,freeman,roebuck,"smith, m",george,baxter,heyes,ccs,pollock,"willis, t",jvp,ford
21/06/2025,2025,france,h,6,4,2,False,lower,l,,,0,Close (0-3),,,,,,,,,,,,,,,,,,,,sb,,baxter,george,heyes,"coles, a",isiekwe,"hill, t","pepper, g","willis, t",spencer,ford,feyi-waboso,"atkinson, s",slade,roebuck,carpenter,dan,rodd,davison,ccs,kenningham,dombrandt,quirke,beard
05/07/2025,2025,argentina,a,6,5,1,False,lower,w,35,12,23,Close (0-3),,,,,,,,,,,,,,,,,,,,sb,,baxter,george,heyes,ewels,"coles, a","curry, b",underhill,"willis, t",spencer,ford,muir,"atkinson, s",slade,roebuck,steward,dan,rodd,aof,ccs,"pepper, g",dombrandt,jvp,murley
12/07/2025,2025,argentina,a,5,6,-1,False,higher,w,22,17,5,Close (0-3),a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,sb,,baxter,dan,heyes,ewels,"coles, a","curry, b",underhill,"willis, t",spencer,ford,muir,"atkinson, s",northmore,roebuck,steward,langdon,rodd,aof,ccs,"pepper, g",dombrandt,jvp,murley
