url,match_id,competition,season,competition_name,match_date,team,home_away,home_score_FT,away_score_FT,home_score_HT,away_score_HT,possession_pct,Tries,Metres_Gained,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Tackles_Attempted,Missed_Tackles,Turnovers_Won,Kicks_In_Play,Conversions,Conversion_Accuracy,Penalty_Goals,Penalty_Goal_Accuracy,Drop_Goals,Drop_Goal_Accuracy,Rucks_Won,Rucks_Lost,Rucks_Won_Pct,Mauls_Won,Lineouts_Won,Lineouts_Lost,Lineouts_Won_Pct,Scrums_Won,Scrums_Lost,Scrums_Won_Pct,Penalties_Conceded,Red_Cards,Yellow_Cards
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=101501&competitionId=210&seasonId=2016,101501,210,2016,Rugby World Cup,,England,home,35,11,18,8,59.0%,3,528,129,35,11,153,7,16,96,16,4,32,4,75.0%,4,75.0%,0,-,82,7,92.1%,4,7,1,87.5%,6,3,66.7%,12,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=101501&competitionId=210&seasonId=2016,101501,210,2016,Rugby World Cup,,Fiji,away,35,11,18,8,41.0%,1,315,79,16,2,99,5,17,138,35,11,34,1,0.0%,5,40.0%,0,-,55,2,96.5%,1,9,1,90.0%,7,0,100.0%,10,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7522&competitionId=3&seasonId=2016,7522,3,2016,International,Saturday 5 September 2015,England,home,21,13,12,3,50.0%,2,381,130,26,9,213,9,16,155,12,8,32,2,50.0%,3,100.0%,0,-,100,2,98.0%,7,14,0,100.0%,3,2,60.0%,6,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7522&competitionId=3&seasonId=2016,7522,3,2016,International,Saturday 5 September 2015,Ireland,away,21,13,12,3,50.0%,1,363,136,12,2,208,2,18,129,26,6,31,1,100.0%,2,100.0%,0,-,108,4,96.4%,2,11,1,91.7%,7,0,100.0%,5,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7521&competitionId=3&seasonId=2016,7521,3,2016,International,,France,home,25,20,15,6,50.0%,1,361,111,13,3,124,15,12,123,27,2,27,1,100.0%,7,85.7%,1,0,78,2,97.5%,5,11,0,100.0%,4,1,80.0%,8,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7521&competitionId=3&seasonId=2016,7521,3,2016,International,,England,away,25,20,15,6,50.0%,2,453,114,27,5,190,11,12,115,13,5,19,2,100.0%,3,66.7%,0,0,83,1,98.8%,2,9,4,69.2%,4,1,80.0%,12,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7520&competitionId=3&seasonId=2016,7520,3,2016,International,,England,home,19,14,12,9,49.0%,3,323,84,15,7,116,5,13,103,25,8,26,3,66.7%,0,-,0,-,65,3,95.6%,4,13,3,81.3%,5,2,71.4%,9,0,2
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7520&competitionId=3&seasonId=2016,7520,3,2016,International,,France,away,19,14,12,9,51.0%,1,430,115,25,5,134,21,18,93,15,7,25,1,0.0%,3,100.0%,0,-,68,4,94.4%,10,10,4,71.4%,7,0,100.0%,6,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=915053&competitionId=209&seasonId=2015,915053,209,2015,Six Nations,,England,home,55,35,27,15,43.0%,7,651,115,24,15,143,9,16,161,25,4,30,7,100.0%,3,66.7%,0,-,74,3,96.1%,4,10,1,90.9%,3,0,100.0%,9,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=915053&competitionId=209&seasonId=2015,915053,209,2015,Six Nations,,France,away,55,35,27,15,57.0%,5,708,147,25,14,169,17,12,104,24,7,26,5,40.0%,4,50.0%,0,-,101,8,92.7%,4,8,1,88.9%,5,2,71.4%,11,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=915042&competitionId=209&seasonId=2015,915042,209,2015,Six Nations,,England,home,25,13,10,13,46.0%,3,611,128,27,17,163,22,17,121,16,7,24,3,66.7%,3,66.7%,0,-,73,5,93.6%,6,14,1,93.3%,3,1,75.0%,10,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=915042&competitionId=209&seasonId=2015,915042,209,2015,Six Nations,,Scotland,away,25,13,10,13,54.0%,1,372,122,16,5,133,13,19,125,27,6,30,1,100.0%,2,100.0%,0,-,86,2,97.7%,7,10,0,100.0%,7,2,77.8%,8,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=915033&competitionId=209&seasonId=2015,915033,209,2015,Six Nations,,Ireland,home,19,9,9,3,59.0%,1,300,135,23,3,156,5,9,120,27,8,38,1,100.0%,5,80.0%,1,0,116,2,98.3%,5,11,1,91.7%,6,2,75.0%,8,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=915033&competitionId=209&seasonId=2015,915033,209,2015,Six Nations,,England,away,19,9,9,3,41.0%,0,501,124,27,10,120,8,23,160,23,4,23,0,-,3,66.7%,1,0,85,7,92.4%,4,10,3,76.9%,2,0,100.0%,13,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=915021&competitionId=209&seasonId=2015,915021,209,2015,Six Nations,,England,home,47,17,15,5,47.0%,6,530,106,19,9,155,10,9,164,26,11,27,6,66.7%,3,100.0%,0,-,71,2,97.3%,5,11,1,91.7%,6,1,85.7%,7,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=915021&competitionId=209&seasonId=2015,915021,209,2015,Six Nations,,Italy,away,47,17,15,5,53.0%,3,285,127,26,11,154,9,18,113,19,3,16,3,33.3%,2,0.0%,0,-,94,5,94.9%,0,7,3,70.0%,4,1,80.0%,10,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=915011&competitionId=209&seasonId=2015,915011,209,2015,Six Nations,,Wales,home,16,21,16,8,51.0%,1,224,109,14,2,121,6,11,135,21,10,32,1,100.0%,3,66.7%,1,0,83,5,94.3%,4,10,4,71.4%,6,2,75.0%,9,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=915011&competitionId=209&seasonId=2015,915011,209,2015,Six Nations,,England,away,16,21,16,8,49.0%,2,350,132,21,3,118,9,14,145,14,8,32,2,50.0%,4,75.0%,0,0,87,4,95.6%,9,9,2,81.8%,3,0,100.0%,9,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7487&competitionId=3&seasonId=2015,7487,3,2015,Internationals,,England,home,26,17,13,3,34.0%,2,203,50,8,2,71,3,9,157,25,8,30,2,100.0%,6,66.7%,1,0,33,3,91.7%,6,12,2,85.7%,9,2,81.8%,7,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7487&competitionId=3&seasonId=2015,7487,3,2015,Internationals,,Australia,away,26,17,13,3,66.0%,2,595,153,25,8,222,15,16,53,8,6,14,2,100.0%,1,100.0%,0,0,110,2,98.2%,2,8,1,88.9%,5,0,100.0%,12,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7481&competitionId=3&seasonId=2015,7481,3,2015,Internationals,,England,home,28,9,13,6,42.0%,3,375,86,24,7,142,7,13,162,13,5,27,3,66.7%,4,75.0%,0,-,52,4,92.9%,7,18,1,94.7%,7,0,100.0%,14,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7481&competitionId=3&seasonId=2015,7481,3,2015,Internationals,,Samoa,away,28,9,13,6,58.0%,0,417,138,13,4,166,15,12,85,24,6,24,0,-,4,75.0%,0,-,102,2,98.1%,3,9,3,75.0%,6,2,75.0%,13,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7459&competitionId=3&seasonId=2015,7459,3,2015,Internationals,,England,home,28,31,6,13,58.0%,3,378,113,22,8,141,2,12,105,1,7,18,3,66.7%,3,100.0%,0,0,82,4,95.3%,6,19,1,95.0%,4,0,100.0%,11,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7459&competitionId=3&seasonId=2015,7459,3,2015,Internationals,,South Africa,away,28,31,6,13,42.0%,3,237,82,1,3,57,4,14,128,22,11,25,3,66.7%,4,75.0%,1,0,60,2,96.8%,10,13,0,100.0%,3,0,100.0%,15,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7470&competitionId=3&seasonId=2015,7470,3,2015,Internationals,,England,home,21,24,14,11,46.0%,1,207,92,16,4,94,6,13,157,23,7,26,2,50.0%,3,100.0%,1,0,68,3,95.8%,10,11,0,100.0%,5,0,100.0%,10,0,0
