url,match_id,competition,season,team,home_away,player,Tries,Metres_Gained,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Try_Assists,Points_Scored,Tackles_Attempted,Missed_Tackles,Turnovers_Won,Kicks_In_Play,Conversions,Penalty_Goals,Drop_Goals,Throws_Won,Lineouts_Won,Lineout_Steals,Penalties_Conceded,Red_Cards,Yellow_Cards
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Roebuck,1,19,3,1,0,1,1,2,0,5,4,1,0,0,0,0,0,0,0,0,1,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Freeman,1,52,7,4,3,4,1,1,0,5,7,2,0,0,0,0,0,0,0,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Atkinson,0,5,8,3,0,6,0,1,0,0,11,4,0,2,0,0,0,0,0,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Murley,1,24,5,0,0,1,0,1,0,5,7,2,0,2,0,0,0,0,0,0,1,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Smith,0,27,7,1,0,14,0,1,0,7,9,1,0,4,2,1,0,0,0,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Spencer,0,0,0,0,0,38,0,0,0,0,3,2,0,9,0,0,0,0,0,0,1,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Earl,0,45,16,2,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Pepper,0,0,4,0,0,5,1,0,0,0,11,1,0,0,0,0,0,0,0,0,1,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Chessum,2,88,11,0,3,5,0,0,1,10,6,0,0,0,0,0,0,0,4,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Coles,1,7,3,0,0,3,0,0,0,5,11,1,0,0,0,0,0,0,5,0,1,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Itoje,0,8,9,0,0,5,1,0,0,0,11,1,2,0,0,0,0,0,1,0,1,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Heyes,0,1,1,0,0,1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,George,0,2,1,0,0,2,0,1,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Genge,0,29,13,5,0,3,1,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Cowan-Dickie,0,14,7,0,0,0,0,0,0,0,5,1,1,0,0,0,0,5,0,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Rodd,0,6,2,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Davison,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Cunningham-South,0,21,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Underhill,0,4,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,Pollock,0,13,5,1,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,209,2026,England,away,van Poortvliet,0,7,4,0,0,35,0,0,2,0,0,1,0,6,0,0,0,0,0,0,1,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,209,2026,Italy,home,Pani,0,21,6,2,0,5,1,2,0,0,2,1,0,4,0,0,0,0,0,0,1,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,209,2026,Italy,home,Lynagh,0,20,5,0,1,3,2,0,0,0,7,4,2,1,0,0,0,0,0,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,209,2026,Italy,home,Brex,0,5,4,1,0,5,0,2,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,209,2026,Italy,home,Menoncello,1,89,9,5,3,5,0,2,1,5,7,2,0,0,0,0,0,0,0,0,0,0,0
