url,match_id,team,shirt_number,player_name,role,capped
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,England,22,van Poortvliet,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre,947118,England,23,Smith,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,1,Fischetti,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,2,Nicotera,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,3,Ferrari,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,4,Cannone,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,5,Zambonin,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,6,Lamaro,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,7,Zuliani,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,8,Cannone,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,9,Garbisi,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,10,Garbisi,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,11,Ioane,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,12,Menoncello,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,13,Brex,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,14,Lynagh,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,15,Pani,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,16,Di Bartolomeo,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,17,Spagnolo,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,18,Hasa,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,19,Ruzza,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,20,Favretto,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,21,Fusco,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,22,Marin,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,Italy,23,Allan,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,1,Genge,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,2,George,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,3,Heyes,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,4,Itoje,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,5,Coles,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,6,Pepper,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,7,Underhill,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,8,Earl,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,9,Spencer,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,10,Smith,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,11,Murley,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,12,Atkinson,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,13,Freeman,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,14,Roebuck,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,15,Daly,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,16,Cowan-Dickie,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,17,Rodd,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,18,Davison,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,19,Chessum,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,20,Cunningham-South,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,21,Pollock,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,22,van Poortvliet,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-italy-v-england-match-centre,947115,England,23,Smith,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,1,Genge,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,2,Cowan-Dickie,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,3,Heyes,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,4,Itoje,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,5,Chessum,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,6,Curry,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,7,Earl,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,8,Pollock,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,9,Mitchell,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,10,Ford,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,11,Arundell,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,12,Dingwall,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,13,Lawrence,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,14,Freeman,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,15,Steward,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,16,George,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,17,Rodd,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,18,Davison,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,19,Coles,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,20,Pepper,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,21,Underhill,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,22,van Poortvliet,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,England,23,Smith,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,1,Loughman,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,2,Sheehan,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,3,Furlong,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,4,McCarthy,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,5,Ryan,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,6,Beirne,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,7,van der Flier,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,8,Doris,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,9,Gibson-Park,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,10,Crowley,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,11,Lowe,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,12,McCloskey,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,13,Ringrose,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,14,Baloucoune,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,15,Osborne,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,16,Kelleher,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,17,O'Toole,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,18,Bealham,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,19,Timoney,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,20,Prendergast,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,21,Casey,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,22,Frawley,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-ireland-match-centre,947110,Ireland,23,O'Brien,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,1,McBeth,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,2,Turner,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,3,Fagerson,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,4,Brown,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,5,Cummings,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,6,Ritchie,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,7,Darge,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,8,Dempsey,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,9,White,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,10,Russell,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,11,Dobie,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,12,Tuipulotu,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,13,Jones,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,14,Steyn,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,15,Jordan,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,16,Cherry,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,17,Schoeman,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,18,Millar-Mills,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,19,Williamson,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,20,Fagerson,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,21,Horne,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,22,Hastings,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,Scotland,23,Graham,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,1,Genge,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,2,Cowan-Dickie,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,3,Heyes,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,4,Itoje,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,5,Chessum,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,6,Pepper,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,7,Underhill,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,8,Earl,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,9,Mitchell,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,10,Ford,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,11,Arundell,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,12,Dingwall,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,13,Freeman,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,14,Roebuck,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,15,Steward,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,16,George,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,17,Rodd,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,18,Davison,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,19,Coles,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,20,Curry,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,21,Pollock,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,22,Spencer,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-scotland-v-england-match-centre,947108,England,23,Smith,replacement,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,1,Genge,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,2,George,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,3,Heyes,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,4,Coles,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,5,Chessum,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,6,Pepper,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,7,Underhill,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,8,Earl,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,9,Mitchell,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,10,Ford,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,11,Arundell,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,12,Dingwall,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,13,Freeman,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,14,Roebuck,starter,True
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-england-v-wales-match-centre,947106,England,15,Steward,starter,True
