player_name,slug,url,position,caps,age,height_cm,weight_kg,career_mins,avg_mins_per_game,england_wins,england_draws,england_losses,status
Ben Youngs,ben-youngs,https://www.englandrugby.com/follow/england-men/senior-men/ben-youngs,,,,,,,,,,,error_403
Owen Farrell,owen-farrell,https://www.englandrugby.com/follow/england-men/senior-men/owen-farrell,,,,,,,,,,,error_403
Jonny May,jonny-may,https://www.englandrugby.com/follow/england-men/senior-men/jonny-may,,,,,,,,,,,error_403
Manu Tuilagi,manu-tuilagi,https://www.englandrugby.com/follow/england-men/senior-men/manu-tuilagi,,,,,,,,,,,error_403
Jack Nowell,jack-nowell,https://www.englandrugby.com/follow/england-men/senior-men/jack-nowell,,,,,,,,,,,error_403
Dan Cole,dan-cole,https://www.englandrugby.com/follow/england-men/senior-men/dan-cole,,,,,,,,,,,error_403
Brad Shields,brad-shields,https://www.englandrugby.com/follow/england-men/senior-men/brad-shields,,,,,,,,,,,not_found
Nathan Hughes,nathan-hughes,https://www.englandrugby.com/follow/england-men/senior-men/nathan-hughes,,,,,,,,,,,not_found
Ben Te'o,ben-teo,https://www.englandrugby.com/follow/england-men/senior-men/ben-teo,,,,,,,,,,,not_found
Joe Cokanasiga,joe-cokanasiga,https://www.englandrugby.com/follow/england-men/senior-men/joe-cokanasiga,,,,,,,,,,,error_403
Dan Robson,dan-robson,https://www.englandrugby.com/follow/england-men/senior-men/dan-robson,,,,,,,,,,,not_found
Courtney Lawes,courtney-lawes,https://www.englandrugby.com/follow/england-men/senior-men/courtney-lawes,,,,,,,,,,,error_403
Harry Williams,harry-williams,https://www.englandrugby.com/follow/england-men/senior-men/harry-williams,,,,,,,,,,,not_found
Mako Vunipola,mako-vunipola,https://www.englandrugby.com/follow/england-men/senior-men/mako-vunipola,,,,,,,,,,,not_found
Chris Ashton,chris-ashton,https://www.englandrugby.com/follow/england-men/senior-men/chris-ashton,,,,,,,,,,,not_found
Dylan Hartley,dylan-hartley,https://www.englandrugby.com/follow/england-men/senior-men/dylan-hartley,,,,,,,,,,,not_found
Alec Hepburn,alec-hepburn,https://www.englandrugby.com/follow/england-men/senior-men/alec-hepburn,,,,,,,,,,,not_found
Charlie Ewels,charlie-ewels,https://www.englandrugby.com/follow/england-men/senior-men/charlie-ewels,,,,,,,,,,,error_403
Zach Mercer,zach-mercer,https://www.englandrugby.com/follow/england-men/senior-men/zach-mercer,,,,,,,,,,,not_found
Danny Care,danny-care,https://www.englandrugby.com/follow/england-men/senior-men/danny-care,,,,,,,,,,,not_found
Alex Lozowski,alex-lozowski,https://www.englandrugby.com/follow/england-men/senior-men/alex-lozowski,,,,,,,,,,,not_found
Ted Hill,ted-hill,https://www.englandrugby.com/follow/england-men/senior-men/ted-hill,,,,,,,,,,,not_found
Joe Marler,joe-marler,https://www.englandrugby.com/follow/england-men/senior-men/joe-marler,,,,,,,,,,,not_found
Chris Robshaw,chris-robshaw,https://www.englandrugby.com/follow/england-men/senior-men/chris-robshaw,,,,,,,,,,,not_found
Danny Cipriani,danny-cipriani,https://www.englandrugby.com/follow/england-men/senior-men/danny-cipriani,,,,,,,,,,,not_found
Mike Brown,mike-brown,https://www.englandrugby.com/follow/england-men/senior-men/mike-brown,,,,,,,,,,,not_found
