url,match_id,competition,season,team,home_away,player,Tries,Metres,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Turnovers_Won,Points
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre#stats,947118,209,2026,England,away,Rodd,,6,2,,,1,1,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre#stats,947118,209,2026,England,away,Davison,,,1,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre#stats,947118,209,2026,England,away,Cunningham-South,,21,2,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre#stats,947118,209,2026,England,away,Underhill,,4,1,,,,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre#stats,947118,209,2026,England,away,Pollock,,13,5,1,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre#stats,947118,209,2026,England,away,van Poortvliet,,7,4,,,35,,,2,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre#stats,947118,209,2026,England,away,Smith,1,30,3,2,,2,,,,9
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Smith,,71,5,1,,5,,,,8
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Freeman,1,6,3,,,2,,,,5
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Lawrence,,21,4,1,1,5,2,2,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Slade,,32,4,,1,1,,2,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Sleightholme,,,,,,3,,2,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Smith,,27,5,2,,17,,,,3
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Mitchell,,16,3,,,37,,1,1,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Willis,,20,5,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Earl,,30,12,3,,2,,,,
