date,tournament,home_team,away_team,home_score,away_score,result,elo_home,elo_away,elo_diff,form5_home,form5_away,pdiff5_home,pdiff5_away,rest_days_home,rest_days_away,rank_prev_home,rank_prev_away,coach_tenure_home,coach_tenure_away,avg_age_home,avg_age_away,n_hist_home,n_hist_away,combo_avg_home,combo_avg_away,combo_min_home,combo_min_away,combo_front_row_home,combo_locks_home,combo_back_row_home,combo_lineout_unit_home,combo_halfbacks_home,combo_inside_backs_home,combo_back_three_home,combo_spine_home,combo_front_row_away,combo_locks_away,combo_back_row_away,combo_lineout_unit_away,combo_halfbacks_away,combo_inside_backs_away,combo_back_three_away,combo_spine_away,cards5_home,cards5_away
2016-03-19,6n,wales,italy,67.0,14.0,w,1600.5,1322.8,277.7,0.5,0.2,1.0,-16.4,7,7,4,14,17,16,26.93,27.92,17,16,2.75,1.5,0.0,0.0,4,0,1,0,7,9,1,0,0,1,6,0,2,0,3,0,0.0,0.0
2016-06-11,tour,new_zealand,wales,39.0,21.0,w,1735.0,1586.3,148.7,1.0,0.6,27.8,9.6,224,13,1,5,12,19,27.13,26.43,12,19,0.875,3.5,0.0,0.0,2,2,1,1,0,0,1,0,0,5,0,1,9,10,3,0,0.6,0.0
2016-06-11,tour,argentina,italy,30.0,24.0,w,1556.3,1313.9,242.3,0.6,0.0,14.4,-29.0,225,84,4,14,12,17,25.56,26.82,12,17,0.875,0.5,0.0,0.0,0,1,0,0,5,1,0,0,2,0,0,0,2,0,0,0,0.8,0.2
2016-06-18,tour,new_zealand,wales,36.0,22.0,w,1747.7,1573.5,174.2,1.0,0.4,24.8,5.2,7,7,1,6,13,20,27.13,26.95,13,20,2.375,3.75,0.0,0.0,3,6,2,6,1,1,0,0,1,7,1,0,10,11,0,0,0.6,0.0
2016-06-25,tour,new_zealand,wales,46.0,6.0,w,1758.1,1563.2,194.9,1.0,0.2,20.0,0.6,7,7,1,6,14,21,27.24,26.54,14,21,1.75,4.5,0.0,0.0,0,7,0,7,0,0,0,0,0,8,2,1,11,12,1,1,0.4,0.0
2016-08-20,rc,south_africa,argentina,30.0,23.0,w,1623.7,1530.8,92.9,0.6,0.4,3.0,-7.0,56,56,3,5,14,15,26.79,26.03,14,15,1.375,1.875,0.0,0.0,0,7,0,0,2,2,0,0,2,2,0,1,7,0,3,0,0.6,0.8
2016-08-27,rc,argentina,south_africa,26.0,24.0,w,1519.1,1635.4,-116.3,0.4,0.8,-5.6,4.8,7,7,9,3,16,15,26.25,27.04,16,15,2.875,2.25,1.0,0.0,3,3,1,2,8,1,4,1,0,8,1,1,3,3,1,1,0.8,0.6
2016-09-10,rc,new_zealand,argentina,57.0,22.0,w,1799.4,1531.2,268.2,1.0,0.6,25.2,-3.0,14,14,1,9,17,17,27.59,25.91,17,17,4.375,2.75,0.0,0.0,5,10,5,9,3,1,2,0,4,2,3,1,9,2,0,1,0.4,0.8
2016-09-17,rc,new_zealand,south_africa,41.0,13.0,w,1807.8,1603.4,204.4,1.0,0.6,28.6,2.2,7,7,1,3,18,17,27.69,27.36,18,17,4.625,1.75,0.0,0.0,6,11,0,10,4,2,3,1,1,2,3,1,5,1,1,0,0.4,0.6
2016-10-01,rc,argentina,new_zealand,17.0,36.0,l,1502.8,1818.8,-316.0,0.2,1.0,-16.6,31.4,14,14,7,1,19,19,26.21,26.58,19,19,3.25,1.5,0.0,0.0,6,3,4,2,10,1,0,0,7,0,0,0,1,0,4,0,0.6,0.4
2016-10-08,rc,south_africa,new_zealand,15.0,57.0,l,1610.0,1828.6,-218.6,0.4,1.0,-4.2,27.2,7,7,4,1,19,20,27.78,27.48,19,20,2.0,4.5,0.0,0.0,3,4,5,3,0,0,1,0,8,12,0,11,2,1,2,0,0.4,0.6
2016-11-12,eoyt,wales,argentina,24.0,20.0,w,1515.2,1511.8,3.3,0.0,0.2,-22.0,-9.6,7,7,5,9,23,22,27.29,26.09,23,22,2.75,4.5,0.0,2.0,2,9,0,0,8,0,3,0,2,6,5,4,12,3,2,2,0.2,0.0
2016-11-12,eoyt,italy,new_zealand,10.0,68.0,l,1346.8,1821.2,-474.3,0.4,0.8,-19.2,21.0,139,7,13,1,20,23,27.07,25.93,20,23,0.125,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.8
2016-11-19,eoyt,scotland,argentina,19.0,16.0,w,1531.3,1498.7,32.6,0.6,0.2,3.6,-3.4,7,7,9,6,22,23,26.56,26.58,22,23,2.625,5.5,0.0,3.0,0,2,0,0,14,1,4,0,3,7,6,5,13,4,3,3,0.4,0.2
2016-11-19,eoyt,italy,south_africa,20.0,18.0,w,1341.2,1569.6,-228.4,0.4,0.2,-22.2,-16.8,7,7,13,4,21,21,26.95,27.04,21,21,0.625,0.875,0.0,0.0,0,1,2,0,1,1,0,0,5,0,0,0,1,1,0,0,0.6,0.4
2016-11-26,eoyt,wales,south_africa,27.0,13.0,w,1534.4,1555.2,-20.8,0.4,0.2,-14.2,-16.0,7,7,6,4,25,22,27.25,26.16,25,22,3.75,1.125,1.0,0.0,3,10,1,1,9,1,4,1,1,1,0,1,6,0,0,0,0.4,0.2
2017-02-05,6n,italy,wales,7.0,33.0,l,1345.7,1558.2,-212.5,0.6,0.6,-10.4,-8.6,71,71,13,6,23,26,27.07,26.6,23,26,2.375,3.0,0.0,0.0,5,3,0,2,4,3,2,0,0,3,1,0,13,2,5,0,1.0,0.4
2017-02-25,6n,scotland,wales,29.0,13.0,w,1555.4,1559.5,-4.1,0.6,0.8,5.6,8.4,13,14,7,5,26,28,26.71,27.03,26,28,3.5,4.875,0.0,2.0,0,16,3,0,0,4,5,0,2,5,3,2,15,4,6,2,0.2,0.2
2017-03-18,6n,scotland,italy,29.0,0.0,w,1558.5,1289.0,269.5,0.6,0.0,0.4,-24.8,7,7,5,14,28,27,26.71,27.16,28,27,2.5,3.75,0.0,1.0,0,3,2,0,2,6,7,0,7,4,1,3,7,5,2,1,0.4,0.6
2017-06-10,tour,italy,scotland,13.0,34.0,l,1281.1,1566.4,-285.3,0.0,0.6,-30.2,0.8,84,84,15,5,28,29,26.45,27.24,28,29,1.125,0.5,0.0,0.0,0,0,0,0,8,1,0,0,0,0,1,0,3,0,0,0,0.2,0.4
2017-08-19,rc,south_africa,argentina,37.0,15.0,w,1601.7,1477.0,124.7,0.6,0.2,10.4,-2.8,56,56,6,9,26,28,26.16,26.62,26,28,1.25,4.375,0.0,0.0,0,3,0,0,2,2,3,0,1,6,0,5,17,4,1,1,0.2,1.0
2017-08-26,rc,argentina,south_africa,23.0,41.0,l,1461.8,1616.9,-155.2,0.2,0.8,-6.6,15.2,7,7,9,5,29,27,26.69,26.18,29,27,2.125,1.875,0.0,0.0,5,6,0,2,2,0,2,0,1,4,1,1,1,3,4,0,1.0,0.2
2017-09-09,rc,new_zealand,argentina,39.0,22.0,w,1867.1,1441.6,425.5,1.0,0.2,24.2,-7.6,14,14,1,10,29,30,27.1,26.1,29,30,1.5,2.5,0.0,0.0,1,3,0,2,5,1,0,0,1,10,0,0,6,3,0,0,0.4,1.0
2017-09-16,rc,new_zealand,south_africa,57.0,0.0,w,1869.9,1637.2,232.7,1.0,0.9,25.2,17.0,7,7,1,3,30,29,26.95,26.17,30,29,6.5,2.75,0.0,0.0,0,19,4,16,10,2,0,1,1,5,0,2,2,5,6,1,0.2,0.2
2017-09-30,rc,argentina,new_zealand,10.0,36.0,l,1424.1,1881.3,-457.2,0.2,1.0,-13.2,35.6,14,14,10,1,32,31,26.73,26.76,32,31,3.125,1.75,0.0,0.0,3,7,1,0,7,6,1,0,1,0,0,0,11,2,0,0,1.2,0.2
2017-10-07,rc,south_africa,new_zealand,24.0,25.0,l,1623.1,1886.4,-263.3,0.6,1.0,-3.4,25.2,7,7,3,1,31,32,26.18,27.25,31,32,3.0,2.875,0.0,0.0,0,11,0,0,5,7,1,0,2,0,5,0,12,3,1,0,0.2,0.6
2017-11-18,eoyt,scotland,new_zealand,17.0,22.0,l,1588.2,1871.8,-283.6,0.8,0.8,11.2,19.8,7,7,6,1,33,35,26.47,27.41,33,35,2.125,3.375,0.0,0.0,0,2,0,0,6,8,1,0,0,4,1,0,14,5,3,0,0.6,0.6
2017-11-18,eoyt,italy,argentina,15.0,31.0,l,1291.3,1396.3,-105.0,0.2,0.0,-11.4,-19.6,7,7,14,10,32,35,27.04,26.83,32,35,1.75,4.25,1.0,0.0,4,4,1,1,1,1,1,1,2,8,0,3,20,1,0,0,0.6,1.0
2017-11-25,eoyt,wales,new_zealand,18.0,33.0,l,1569.7,1878.6,-309.0,0.6,0.8,3.4,9.4,7,7,7,1,35,36,27.33,26.84,35,36,4.375,3.25,0.0,0.0,6,9,1,1,18,0,0,0,1,0,0,0,15,6,4,0,0.4,1.0
2017-11-25,eoyt,italy,south_africa,6.0,35.0,l,1267.7,1591.0,-323.3,0.2,0.3,-8.8,-18.4,7,7,13,5,33,34,26.61,26.84,33,34,2.25,2.5,0.0,0.0,5,5,0,2,2,2,0,2,0,14,0,0,1,1,4,0,0.6,0.4
2017-12-02,eoyt,wales,south_africa,24.0,22.0,w,1560.3,1601.7,-41.4,0.6,0.5,0.8,-1.2,7,7,7,5,36,35,26.63,25.76,36,35,0.5,2.375,0.0,0.0,0,1,2,0,0,0,1,0,0,15,0,0,2,2,0,0,0.2,0.4
2018-02-03,6n,wales,scotland,34.0,7.0,w,1570.5,1616.0,-45.5,0.6,0.6,-2.4,6.0,63,70,7,6,37,35,26.77,27.73,37,35,0.25,1.625,0.0,0.0,0,2,0,0,0,0,0,0,0,3,1,1,8,0,0,0,0.2,0.4
2018-03-11,6n,wales,italy,38.0,14.0,w,1573.7,1237.6,336.0,0.4,0.0,-0.4,-26.0,15,16,6,14,40,37,26.38,26.78,40,37,0.0,2.125,0.0,0.0,0,0,0,0,0,0,0,0,2,3,1,2,4,0,3,2,0.0,0.2
2018-03-17,6n,italy,scotland,27.0,29.0,l,1232.5,1599.4,-366.9,0.0,0.6,-27.6,0.0,6,7,14,5,38,39,26.79,27.46,38,39,2.875,5.375,0.0,0.0,3,4,0,3,5,1,4,3,1,2,9,0,21,0,10,0,0.4,0.0
2018-06-02,tour,south_africa,wales,20.0,22.0,l,1591.5,1582.5,9.0,0.4,0.6,-1.6,7.2,182,77,5,7,36,42,24.87,24.89,36,42,0.0,0.125,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4
2018-06-09,tour,argentina,wales,10.0,23.0,l,1411.1,1595.6,-184.5,0.2,0.6,-9.8,2.2,196,7,9,7,37,43,25.92,25.17,37,43,2.375,0.625,0.0,0.0,4,8,0,0,0,7,0,0,0,1,0,0,2,2,0,0,0.8,0.6
2018-06-16,tour,argentina,wales,12.0,30.0,l,1395.1,1611.6,-216.5,0.2,0.8,-7.2,6.0,7,7,9,5,38,44,25.93,25.41,38,44,5.875,0.375,0.0,0.0,5,9,1,1,22,8,1,0,0,2,0,0,0,0,1,0,0.4,0.6
2018-06-23,tour,argentina,scotland,15.0,44.0,l,1379.6,1619.3,-239.7,0.2,0.6,-7.4,6.2,7,7,10,6,39,42,25.76,25.75,39,42,4.875,0.25,0.0,0.0,0,12,1,3,23,0,0,0,0,0,0,0,1,1,0,0,0.2,0.2
2018-08-18,rc,south_africa,argentina,34.0,21.0,w,1591.7,1363.5,228.2,0.4,0.2,-1.0,-10.6,56,56,5,10,40,40,26.42,26.23,40,40,1.375,2.25,0.0,0.0,2,6,1,0,2,0,0,0,0,13,2,0,1,0,2,0,0.0,0.0
2018-08-25,rc,argentina,south_africa,32.0,19.0,w,1355.9,1599.3,-243.5,0.0,0.6,-16.4,2.0,7,7,10,6,41,41,26.1,26.59,41,41,2.75,2.375,0.0,0.0,1,10,3,2,2,1,3,0,3,7,2,2,3,1,1,0,0.0,0.0
2018-09-08,rc,new_zealand,argentina,46.0,24.0,w,1917.5,1391.1,526.4,1.0,0.2,28.4,-12.0,14,14,1,10,42,42,26.77,26.68,42,42,0.125,6.625,0.0,0.0,0,0,0,0,0,0,1,0,6,11,0,3,24,4,4,1,0.2,0.0
2018-09-15,rc,new_zealand,south_africa,34.0,36.0,l,1919.2,1551.5,367.7,1.0,0.4,24.6,-1.8,7,7,1,7,43,43,26.98,27.04,43,43,5.375,2.375,0.0,0.0,1,5,9,0,20,6,2,0,0,9,1,3,4,2,0,0,0.2,0.2
2018-09-29,rc,argentina,new_zealand,17.0,35.0,l,1414.0,1901.9,-487.9,0.4,0.8,-9.4,21.6,14,14,9,1,44,44,26.72,27.07,44,44,4.375,2.625,0.0,0.0,7,13,5,5,4,0,0,1,0,6,0,0,6,7,2,0,0.0,0.0
2018-10-06,rc,south_africa,new_zealand,30.0,32.0,l,1591.0,1905.7,-314.6,0.6,0.8,1.6,18.2,7,7,5,1,45,45,26.51,27.54,45,45,3.5,5.25,0.0,0.0,1,11,2,0,6,7,1,0,2,7,0,1,21,8,3,0,0.6,0.2
2018-11-03,eoyt,wales,scotland,21.0,10.0,w,1627.0,1635.4,-8.3,1.0,0.6,11.6,9.6,140,133,5,7,45,43,26.59,26.4,45,43,1.5,0.625,0.0,0.0,0,6,2,3,1,0,0,0,0,4,0,1,0,0,0,0,1.0,0.2
2018-11-17,eoyt,scotland,south_africa,20.0,26.0,l,1630.7,1594.4,36.3,0.6,0.6,18.4,2.6,7,7,7,5,45,48,27.75,26.39,45,48,5.75,2.75,0.0,0.0,0,5,0,2,23,4,12,0,4,3,2,0,0,10,3,0,0.2,0.4
2018-11-24,eoyt,wales,south_africa,20.0,11.0,w,1667.9,1618.7,49.2,1.0,0.6,19.0,3.4,7,7,3,5,48,49,26.58,26.36,48,49,1.0,3.7142857142857144,0.0,1.0,1,1,0,1,3,2,0,0,5,4,3,1,1,11,nan,1,0.6,0.4
2018-11-24,eoyt,scotland,argentina,14.0,9.0,w,1606.3,1369.7,236.7,0.4,0.2,9.6,-10.2,7,7,6,9,46,48,27.2,26.31,46,48,1.25,6.0,0.0,0.0,1,8,0,0,0,0,1,0,2,15,0,7,7,6,8,3,0.0,0.0
